,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X600703.SH,X000100.SZ,X300003.SZ,X600271.SH,X002236.SZ,X000157.SZ,X002007.SZ,X300124.SZ,X000625.SZ,X002008.SZ,X300142.SZ,X002179.SZ,X600177.SH,X000977.SZ,X600498.SH,X002371.SZ,X600066.SH,X300146.SZ,X600487.SH,X002506.SZ,X600867.SH,X000050.SZ,X600776.SH,X002241.SZ,X600522.SH,X600183.SH,X600118.SH,X600566.SH,X600089.SH,X600372.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0356689533826776,0,0,0,0,0,0.217998892485066,0,0,0,0,0,0,0.000384726896337412,0.145692949310406,0,0.0570526826439998,0,0,0,0,0,0,0,0,0,0,0,0.133622601009411,0,0,0,0,0,0,0,0,0,0,0,0.000793305337353018,0.0549838371197714,0,0,0,0,0,0,-0.0140025429776811,0,0,-0.0145479430510317,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.216584770812719,0,0,0,0,0,0,0,0.340472747632686,0,0,0,0,0.152052437793934,0,0,0,0,0,0.101835068827585,0,0,0.0355240138102741,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.12590528611057,0,0,0,0,0,0,0,0,-0.0132192999161814,0.0485613677078316,0,0,0,0,0,0
X000651.SZ,0,0,0,3.46944695195361e-18,0,0,0.125252972306725,0,0,0,0,0.317191026299202,0,0,0.0484608009790253,0.0519529525377714,0.0312138660709592,0,0,0,0,0,0,0,0,0,0,0.056418071639291,0,0,0,0,0,0,0,0,0,0,0.0520073255695156,0,0,0,0,0,0,0,0.120588666857345,0,0,0,0,-0.0345562499074315,0,0,0,0,0,0,0
X600104.SH,0,0,0.0341206056833853,0,0,0,0,0,0,0,0,0.0426656905063635,0.11593622992661,0,0.149112404596738,0,0,0,0,0,0,0,0,0,0,0,0,0.169394441898465,0,0,0,0,0.00342433378843652,0,0.0617165428868349,0.055859741160513,0,0,0,0,0,0,0.0401572421496291,0,0,0,0,0,0,0.00835937040637324,0,0,0,0,0,0,0.0431604135525601,0,0
X600276.SH,0,0,0.132728364268056,0,0,0,0,0,0,0,0,0,0,0.130183561548999,0.0255777729241331,0.00293482787480707,0.0845779776948818,0,0,0,0,0.157478918824341,0,0,0,0,0,0,0.01400969667505,0,0,0,0,0,0,0,0.0417282740191627,0,-0.133996885716644,0,0,0.0557069490378066,0.0165208351690847,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155105936763846,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.177219098497765,0.0477748120151393,0,0,0,0,0,0,0,0,0.211875425693486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264142058392044,0,0,-0.00240288256177612,0,0,0,0,0,0,0,0,0,0,-0.00314909322556669,0,0,0,0,-0.0408446984340952,0,0
X002304.SZ,0,0.331895934533401,0.0549294063444241,0,0,0,0,0,0,0,0,0,0,0.0424766650704324,0,0.122521268811182,0,0,0.017492495669,0,0,0,0,0,0,0.0929236440912729,0,0,0,0,0,0,0.0361164401842199,0,8.67361737988404e-19,0,0,0,-0.0187153552347345,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000293170780653805,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10283222473993,0,0,0,0,0,0,0,0.0412400831541559,0,0,0,0,0,0.0802099451604377,0.112048836903022,0,0,0,0.1078251521701,0,0,0.146616223822573,0,0,0.155538231162671,0,0,0,0,0,0,-0.0572094071865656,-0.0707854055280572,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.033280889624208,0,0,0,0,0,0,0,0,0,0,0,0,0.238887973265693,0,0,0.0156715516212521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.218188417763735,0,0,0,0.087071862842518,0,0,0,0,0,0,-0.0265845938229993,0,0,0,0,0,0,0
X000568.SZ,0,0.315601099971823,0,0,0,0,0,0,0,0,0,0,0.190288640539087,0.03670995124694,0.0183647676550905,0.118521862434961,0,0,0.0824104224897423,0.0544650002521127,0,0,0,0,0,0,0,0.0494595327948356,0,0,0,0,0,0,0,0.00659762514355808,0,0,0,0.0454899371269439,0,0,0,0,0,0,0,0,0,0,0,-0.0200828005883988,0,0,0,0,-0.00762808959717999,0,0
X600690.SH,0,0.133368161013528,0,0,0,0.3013967255626,0,0,0,0,0,0,0.0558828849589363,0,0,0,0,0,0,0,0,0,0.0687317364660785,0,0.104050321611944,0,0.113234029313091,0.131833803444312,0,0,0,0,7.44617689153043e-06,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208293767449789,0,0
X600031.SH,0,0,0.290443989008437,0,0,0,0,0,0,0,0,0,0.147046765483079,0,0,0,0.047188665981507,0,0.0645138463953034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0680334262975296,0,0,0,0,0,0,0,0.290091497622527,0,0,0.0139338322578969,0,-0.00983645962430408,0.0849024264233976,0,0,0,0,0,0
X000338.SZ,0,0,0,0.167424898804609,0,0,0,-0.0751930462907117,0,0.10440601239472,0,0.40991761116228,0,0,0.236846734799475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125037805246146,0,0,-0.131504736677636,0,0,0,0,0,0,0,0.0368947895132759,0,0,0,0,-0.112300256918255,0.050972318708497,0,0,0,0,0,0
