,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X000559.SZ,X600118.SH,X600066.SH,X000157.SZ,X600372.SH,X002475.SZ,X002236.SZ,X600089.SH,X600741.SH,X000338.SZ,X002292.SZ,X002241.SZ,X000568.SZ,X300124.SZ,X600839.SH,X600177.SH,X002465.SZ,X002294.SZ,X000869.SZ,X600867.SH,X000800.SZ,X300003.SZ,X002074.SZ,X000977.SZ,X600582.SH,X600525.SH,X002129.SZ,X600498.SH,X000581.SZ,X000550.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.120321124914402,0,0,0,0,0.115878009420295,0,0,0,0,0,0,0,0,0,0,0.289290871899944,0,0,0,0,0.139147027069351,0,0,0.0506756024579796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014715564063296,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.0888980463130169,0,0.0674660303560769,0,0,0,0,0,0,0,0,-0.0181022933373364,0.564252633582041,0,0,0.249706030916099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138611805772537,0,0,0.0559780830785607,0,0.0807411633522629,0,0,0.0159969132271419,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0148342491387415,0,0,0,0.00437360389435567,0,0,0,0,0,0,0,0,0.309478502843378,0.040683077754564,0.0280321611653186,0,0,0.00368124061739881,0,0.0611983901799143,0,0,0,0,0,0.222030798538858,0,0,0,0,0,0,0,-0.154226463871946,0,-0.00436237026736063,-0.0390767192612923,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.22201120381757,0,0,0.164048899878757,0,0,0,0,0,0,0,0,0.180920974638267,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.00409615820256241,0,0,0,0,0.126822279030497,0,0.0158395421458553,0,-0.022039238736258,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.153904361676274,0.252122366760623,-0.0193993136262941,0,0,0,0,0,-0.120637656632383,0,0,0,0.0171335689111992,0,0,-0.0533521015110747,0,0,0.0943610481096991,0,0,0.253908993649075,0,0,0,0,0,0,0,0.0173538327487633,0,-0.0901353724019807,0,0,0,0,0,0,0,0,0,-0.0265165532597884,-0.0733993001714132,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.058830154756063,0,0,0,0,0,0,0,0,0.227357823521957,0,0,0,0,0,0,0,0,-0.0302883620610182,0,0,0,0,0.353902754442215,0,0.0898082636843846,0,0,0,0,0,0,0,0,0,0,0,0,0.0382314476940392,0,0,0.0783871883299603,0,-0.0176583625523589,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0986938352846382,0.188743760556619,0,0,0,0.0685434757539292,0,0.010913549504457,0,0,0,0,0,0.272507794726708,0,0,0,0,0,0.138470596633901,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0532402974056267,0,0,0,0.0497916298757039,0,0,0.0237209897963665,0,0,0,0,0,0,0
X002304.SZ,0,0.297343444155431,0,0,0.0443394390245034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229492452023277,0,0,0,0,0.16917434384959,0,0,0,0.0291055949773848,-0.0491120153359009,0,0,0,0,0,0,0,-0.00163286820718077,1.73472347597681e-18,0.000812791210487631,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204563946870386,0.265033215330914,0.0355165604795789,0.0417290941295708,0,0,0,0,0.309335588763874,0,0,0,0.0564258362520671,0,0,0,0,0.0232287467428345,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-0.0119185442689802,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.0305170660275648,0,0,0,0,0,0,0,0.0640339600175013,0.0589762319980739,-2.71050543121376e-20,0,0,0.120844608985298,0.0384212650017591,0,0,0,0.233721201489308,0.114497228508487,0,0,0.0990663046424971,0,0,0.0227056373057198,0,0,0,0,0.014024386499676,0,0,0,0,0,0,0,0,0,0,0,0.0219877657132936,0,0,0,0,0,0,0
