,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X002241.SZ,X600271.SH,X600741.SH,X600066.SH,X000568.SZ,X000100.SZ,X600118.SH,X002292.SZ,X600031.SH,X002236.SZ,X002475.SZ,X002074.SZ,X000559.SZ,X600177.SH,X002506.SZ,X600372.SH,X300003.SZ,X000338.SZ,X000157.SZ,X300124.SZ,X002456.SZ,X002085.SZ,X000050.SZ,X002007.SZ,X002180.SZ,X600867.SH,X002249.SZ,X002294.SZ,X002426.SZ,X600089.SH,X000869.SZ,X002049.SZ,X002465.SZ,X002508.SZ,X600699.SH,X002179.SZ,X600522.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.306253219855652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552280096849949,0,0,0,0,0,0,0,0,0,0.0506219670478306,0,0.0489528384184847,0.0773558209506973,0,0,0,-0.0238823957574766,0,0,-0.110372927509989,0,0,0,0,0,0.0994196466026196,0,-0.0761479269074977,0.0379615030952455,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0588711202105772,0,0,0.136093938287718,0,0,0,0.0328543081463646,0,0,0,0,0,0,0,0,0,0.101209587987397,0,0,0,-0.00688050816164797,0,0,0,0,0,0,0,0.0571865805877042,0,0,0,0,0,0,0,0,0,0,0,-0.0143238638528816,0,0,0,0.148145798427449,-0.00943084616392481,-0.0066946908971217,0,0,0,0.0176689110308103,0,0
X002415.SZ,0,0,0,0,0.164599220976212,0,0,0,0,0,0,0,0,0,0,0,0,0.093182136061879,0,0,0.093678028751142,0,0.113190706504827,0,0,0,0,0,0,0,0,0,0,0.0431396842007485,0,0,0,0.0260020437405483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272872503650291,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.274799377486281,0,0,0,0,0.10182089952506,0.0106369976969278,0.00650740803252946,0.0264346121584332,0,0,0,0,0,0,0,0,0,0,0,0,0.0696200919115917,0,0,0,0,0,0,0,0.0118110423098511,0,-0.0149472514821275,0,0,0,0.0825445410369855,0,0,0,0,0,0,0,0,0.00870885957027548,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.779884460065108,0,0,0,0,0,0,0,0,-0.0400143884515588,0,0,0.350442302494751,0,0,0,0,0,0,0,0,0,-0.0462365463118511,0,0.0612192964032496,0,0,0,0,0,-0.0168456264000563,0,-0.0797623607305412,0,0,0,0,0,0,0,0,0,0,0,0.0394911682867182,0,0,0,-0.000360482160865502,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0490347195734653,-0.00686953638888893,0,0,0,0.0855587320155898,0,0,0,0,0,0,0,0,0,0,0,0.125666943397358,0,0,0,-0.0352848403502902,0.0465173367806425,0,0,0,-0.0196539725385487,0,0,0,0.0206057998831738,0,0,0.0318668607458229,0,0,0,0,0,0,0,-0.019974317591356,0,0.161687951566606,0,0,0,0,0
X000725.SZ,-0.0206153612359522,0,0,0,-0.0144151733221871,0,0,0,0,0,0.0782298902258989,0,0,0,0,0,0.220465370992836,0,0.0562220405544503,0,0,0,0,0.162418585191765,0,0,0,0,0.0781392491770235,0,0,0.0317790154076655,0,0.0307723819128614,0.0318125357206086,-0.0023725738822156,0,0,0,0,0,0,0,0.055694275456758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0282338692499281,0,0,0,0,0.124580766891701,0,0,0.106971715243055,0,0,0,0,0,0,0,0,0,0.197927900780521,0,-0.0757235276380954,0,0.102432134714503,-0.0516152396792,0,0,0,0,0,0,0.0213719345828545,0,0,0,0,0,0.00174619509781716,0,0,0.0747544821305978,0,0,0,0,0,0,0,0.00440380272009104,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.268106938711833,0,0,0,0.13061231113542,0,0,0,0,0,0,0,0,0,0,0,0.13513799192995,0,0.205226962170959,0,0,0.0218187476979454,0,0,0,0,0,0,0,-0.0520903409852114,0.0125658473719987,0,0.0473777778598459,0,0,0,0,0,0,0.133710068019242,0,0,0,0,0,0,0,-0.0538813988085592,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.185400929006997,0,0,0,0,0,0,0,0,0,0,0,-0.0411371491549535,0,0,0,0,0,0,0,0,0,-0.00757556910741739,0,0,0,0,0,0,0,0.0652636608849415,0.0140372133793781,0.043146173226647,0,0,0,0,0,0.0804502332180299,0,0,0.0632597483009123,0.0560799257503183,0.0945361431458039,0,0,0,0,0.022148289670721,0,0,0,0,0,0
