,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600741.SH,X000568.SZ,X000338.SZ,X002475.SZ,X002241.SZ,X000100.SZ,X600066.SH,X002236.SZ,X600118.SH,X600271.SH,X002456.SZ,X601877.SH,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600522.SH,X002007.SZ,X002085.SZ,X600089.SH,X000981.SZ,X300003.SZ,X002508.SZ,X002294.SZ,X600867.SH,X600699.SH,X000559.SZ,X002180.SZ,X000066.SZ,X002292.SZ,X000623.SZ,X300136.SZ,X600498.SH,X002074.SZ,X002426.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0840885750817467,0,0,0,0,0,0.00927178287692065,0,0,0,0,0.159807090718982,0,0,0,0,0,0.195314832670363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.00284651700795892,0,0,0,0,0,0,-0.0107670163751502,0.00684545046322997,0,0,0,0,0,0
X600104.SH,0,0,-0.0440341823194327,0,0,-0.0788123334472176,0,-0.024351197433829,0,0,0,0,0,0.807356508737552,0,0,0,0,0,0,0,0,0,0.1741543844449,0,0,0,0,0,0,0,0,0,0,0,0.106736063768495,0,0,-0.0793549398001817,0,0,-0.0785634693106175,-0.0731649561599947,-0.0103821804864778,-0.14357829626463,0.0273010242367842,-0.0972886768401982,0,0,-0.0288725451807071,0,0.00091699038467538,0,0,0,0,0,0
X002415.SZ,0,0,0,0.109776086178291,0,0,0,0.047315550977585,0,0,0,0,0,0,0,0.0688147587093213,0,0,0,-0.0786125645919854,0.0856582448618491,0.015252813431669,0,0,0,0,0,0,0,0,0,0,0,-0.142417758350493,0,-0.0328369688235127,0,0,0,0,0.0624161769284528,0,0.241615177615032,0,0,0,-0.0533086087671893,0,0,-0.0117608170707209,-0.00788585150163039,0.00451515876189061,0,0,0,0,0,0
X000651.SZ,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0868585998792119,0.563310287471454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360279614804934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283801708426399,0,0,0.533210523922412,-0.0665602889805807,0.262984763104068,0,0,0,0,0,0.0205621943375596,0,0,0,0,0,0
X000858.SZ,0.0730424925102191,0,0,0.0101155489405999,0,0,0,0,0.00263614900830759,0,0,0.122733161574701,0.00628500103572621,0,0.236793551279734,0,0,0,0,0.0374072420303432,0,0,0,0,0.0969270797839846,0,0,0,0,0,0,0,0,-0.0471708460190577,0,0,0,0,0,0,0,0,0,0,0.132364348259413,0,0,0,-0.0200338021646404,0,0,0.00837278825266297,0,0,0,0,0,0
X002304.SZ,0,0.129179773522485,0,0.186315782998248,0,0,0,0,0,0,0,0,0,0.0853619144192149,0,0,0,0,0,0,0,0,0,0.0553052907440964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275637347422554,0,0,0,0,0,0,0,-0.133721779338182,0.0116013782339024,-0.00419980843216157,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0539476066956427,0,0,0.070193401988965,0,0,0,0.177880409992222,-0.0708891114053642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287142508529632,0,0,0,0,0,0,0,-0.0817760840220853,0.0246512966221163,-0.00415643760250444,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0976967664005706,0,0,0,0,0,0.108288862310202,0,0,0,0,0.266197825219155,0,-0.282353324612093,0,0.319366330878895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109875944045618,0,0,-0.0627031316000613,0.0168611581565162,0,0,0,0,0,0.129904271162232,0,0.0110352899675723,-0.0330692839790059,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0954962354530119,0,0,0,0.0142929850063219,0,0,0,0,0.0996734832540071,0.444339825385647,0,0,0,0,0,0,0,0.0738801406860951,0,-0.0350585640207598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104505418112191,0,0,0,0,0,0,0,-0.00246001985663141,0,0,0,0,0,0
X000063.SZ,0.10272474442796,0,0,0.23823989409986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213444670234755,0,0,0,0,0,0,0,0,0,0,0,0.00669919643968341,0.0207533056580218,0,0,0,0,0.190715775535521,0,0,0,0,-0.0294545155887375,0,0.107369223763642,0,0,0,-0.014568469749294,0.0152463146923252,0,0,0,0,0,0
