,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X002241.SZ,X600271.SH,X002236.SZ,X000338.SZ,X002456.SZ,X600118.SH,X600177.SH,X002085.SZ,X000157.SZ,X002292.SZ,X600372.SH,X300124.SZ,X000623.SZ,X000559.SZ,X002007.SZ,X002426.SZ,X300003.SZ,X600867.SH,X002294.SZ,X002180.SZ,X600089.SH,X600522.SH,X002506.SZ,X601877.SH,X000981.SZ,X002074.SZ,X600498.SH,X002508.SZ,X000869.SZ,X000550.SZ,X300136.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0714875341630675,0,0,0.348439643384389,0,0,0.0243709867173159,0,0.00854783950797503,0,0,0.0561080669865754,0,0.0223562693437912,0,0,0,0,0,0.0178726567212574,0.0694156400555254,0,0,0,0,0,0,0,0.0440190378404572,0,0,-0.076751883982243,0,0,0,0,0,0,0,0,0,0,0.0266646581581566,0,0,0,0.0480427514864758,0,0,0,0.0240178840566758,0,0,0,0,0,0
X600104.SH,0,0,-0.00686659356629398,0,0,0,0,0,0,0.042472946010803,0,0,0,0,0,0,0.106649832965888,0.144780243542214,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00421356060358322,0,0,0.0645847665315511,0,0,0,0,0,0,0.118994374479291,0.11230145897661,0,0,0,0,-0.209913901137422,0,0,0,-0.0559326113068544,0.0915753331027958,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.0164290082708435,0,0,0,-0.0316327466603536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207438230520965,0,0,0.091384869461935,0,0,0,-1.0842021724855e-19,0,0,0,0.195586891334902,0,0,0.00256732065701493,0,0,0,0.0448891266752898,0,0,-0.0423806584106913,0.0894989126299897,-0.0421174866751513,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,-0.174069323758074,0,0,0,0.185235290807452,0.189326934197832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051493885768437,0,0,0,-0.0657810177922287,0.0824823503420628,0,0,0,0,0.269854577320634,0,0,0.364657678999993,0,-0.0223140368729452,0,0,0,0,0.00435604930578573,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0170541828020443,0,0,0,0,0.0622543702256981,0.0716470650353425,0.43547858084734,0,0,0,0,0,0,0,0,0,0.0494212192533105,0,0,0.0626753539260048,0,0.0251852985683944,0,0.0530313632916133,0,0,0.0334143743950143,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0417805802282057,0,0.0634636741700193,-2.16840434497101e-19,0,0,0,0,0.054195076357058,0,0,0,0,0,0
X600276.SH,0,0,0.0446502288736516,0,0,0,0,-0.0147730082690147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297125423682555,0,0,-0.0305461769709356,0,0,0,0,0.0553358812633166,0,0,0,0,0,0.263035660369917,0.0406929479151978,0,0,0,0.102685156224533,0.215099700844868,0,0,0,0,-0.11530953285219,0,0,0,-0.000819992936574637,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.374092142934262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000298278889481638,0,0,0.0141322589757036,0,0.0855902243990981,0,0,0.081477571519298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023537619072278,0.00192624162086365,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904693290011458,0,0,0,0,0,0,-6.93889390390723e-18,0.0539273867997963,0,0,0,0,0,0,0,0.0638041053510102,0,0,0,0,0.0574742188884143,0,0,0,0,0,0,0.103970628839293,0,0.106734724356901,-0.0316877802167973,0,0.125427316679116,0,0,0,-0.0503120464352391,-0.00729163253114712,0,0,0,0,0,0
X000625.SZ,0,0.0361410075429273,0.0858027148489953,0,0.0715650577125806,0,0,0,0,0,0,0.253468530561549,0,0,0,0,0,0,0,0,0,-0.00810473319382289,0,0,0,0.0508103686744425,0,0,0,0,0,0.22828587617135,0,0,0,-0.059322537357494,-0.0814846660521352,0,0,0,0.0618270792415176,-2.16840434497101e-19,0.0267140890199759,0,0,0,0,0,0,0,0.0607388189207697,0,0.0828211857714984,0,0,0,0,0
X000063.SZ,0,0,0.0252863524269085,0,0,0,0,0,0,0,0,0,0.0140530095195012,0.0265436796442086,0,0,0,0.0516246288205119,0,0,0.148384992395611,0,0,0,0,0,0,0,0,0.243091364185689,0,0,0,0,0.160924696504381,0,0,0,0,0,0,-0.0237982760790623,0,0,0.098790544991446,0,0.0172324055308252,-0.0728815856338132,0,0,-0.0490317354216365,-0.0451303834121769,0,0,0,0,0,0
