,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X600031.SH,X000725.SZ,X000063.SZ,X000596.SZ,X300014.SZ,X002129.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002180.SZ,X002241.SZ,X600702.SH,X601877.SH,X000977.SZ,X300142.SZ,X000157.SZ,X600741.SH,X600522.SH,X000733.SZ,X002074.SZ,X600584.SH,X000799.SZ,X002236.SZ,X600460.SH,X000066.SZ,X600183.SH,X300003.SZ,X601799.SH,X600884.SH,X002007.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.113478352856616,0,0.00637756287170116,0,0,0.237280392462576,0,0.0749149292588998,0,0,0,0,0,0.0441392415092174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610467704494946,0,0,0,0,-0.0723830944935559,0,0,0,0,0.0805391334716633,0,0,0,0.0684919584573771,0,0,0,0,0,0,0.00859324353307663,-0.00743165131332092,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0694390819800196,0.107359666505796,0,0.607355962532152,0.0433545628771627,0,0.217860851645607,0,0,0.0673281704079353,0,0,0.0382814490675619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029340415001784,0.00393576192877138,0,0,0,0,0,0
X000568.SZ,0,0.526554835307895,0,0,0,0,0.324703978629624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391302804226721,0,0,0,-0.17455042864616,0,0.0193894288772626,0,0,0,0,0,-0.0476443699047764,0,0,0,-0.115973249149707,-0.0113788448161332,0,0,0,0,0,0,0.219861525085405,0,-0.0259947599412476,-0.0902868674166209,0,0,0,0,-0.0115244674158023,0,0,0,0,0,0
X002415.SZ,0,0.295628710631123,0,0,6.93889390390723e-18,0,0,0,0.0601131446487527,0,0,0,0,0,0,0,0.0519312502454752,0,0,0,0.203860711143982,0,0,0,0.0166273194998126,0,0,0,0,0,-0.180290590174394,-0.101655270603756,0.0190951488394866,0,0,0,-0.0838831913029337,0,0,0.0215846922734596,0,0.153399413757331,0,0,0,0,0,0,-0.0698195385805486,-0.0254324492648858,0,0.0231358645324684,-0.0324697548408965,0,0,0,0,0,0
X600809.SH,0,0,0.0472265853783031,0.0878169220548488,0,0,0.164212657976319,0,0,0,0,0,0.105365571565495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699480513180322,0,0,0,0.265962067686427,0,0,-0.0132269745434727,-0.0319382488321164,0,0.0297295653940391,0,0,0.0908429727466637,0,0.0134050142904988,-0.00996028539091826,0,0,0,0,0,0
X600276.SH,0,0,0.0764768504725291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109260709692601,0,0.00849397535583034,0,0,-0.141640567849407,0,0,0,0.216430264799811,-0.0310537274527983,0,0,0.00954686093380626,0,0,0,0.138893544697523,0,0,0,0,0,0.0189008783293059,0,-0.0501414562265956,0.0459647443421922,0,0,0,0,0,0
X002304.SZ,0,0.3035862695753,0.351868097762188,0,0,0,0,0,0,0,0,0,0,0,0,0.246376672539628,0,0,0,0,-0.015922574582189,0,0,0.0290721162630763,0,0,0,0,0,-0.044700314351689,0,0,0,-0.0365972214675819,0,0,0,0,0,0,0,0,0,-0.0343126742470104,0,-0.0346155739592536,-0.0273631160881842,0,0,0.021020356172893,0,-0.0154036356555503,0.015109284452293,0,0,0,0,0,0
X600690.SH,0,0,0.0481662896258566,0.0671999950664158,0.0133216057036266,0,0.0122040075379354,0,0,0,0,0,0.221024394397121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125670424699409,0,0,0,0,0,0,-0.0481490747796374,0,0,0.0496143895953293,0,0.044531444792952,0,0,0,0.00948568321729532,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.420509553232108,0,0,0,0,0,0.0753452468458163,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148617968655379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536285180167207,0,-0.0111804249206088,0,0,0,0,0,0
X000651.SZ,0,0.167592897761434,0,0,0,0,0,0.152240739570439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025630868061314,0,0,0,0,0,0,0,0,0.0139862811338623,0,0.013722283337908,0,0,0,0,0,0.0242634160813818,0,0,0,0,0,0,-0.00882216460097628,0,0,0.0733872310456073,0,0,-0.0052411709136823,0,0,0,0,0,0
