,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X600690.SH,X000725.SZ,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000568.SZ,X601877.SH,X600271.SH,X600703.SH,X000100.SZ,X002236.SZ,X300003.SZ,X300124.SZ,X000625.SZ,X600809.SH,X002008.SZ,X600487.SH,X600498.SH,X000596.SZ,X000661.SZ,X002007.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600566.SH,X600177.SH,X002456.SZ,X600089.SH,X600066.SH,X300146.SZ,X002506.SZ,X002180.SZ,X600522.SH,X600372.SH,X002129.SZ,X002508.SZ,X600867.SH,X300136.SZ,X000977.SZ,X600183.SH,X002241.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.12420368750044,0,0.0348759676226022,0,0,0.0409157509131588,0,0,0,0,0.180498325920814,0,0,0,0,0,0.039582088207823,0,0,0.169578088757779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911658941129326,0,0,0,0,0.0205468732476696,0,0.00973321815236237,0.00923389588988737,0,0,0,0,-0.0423334134006717,0.0519395142187453,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0359113410432321,0,0,0.0189205017356042,0,0,0,0.107200185208665,0,0,0,0,0,0.0852271793079542,0,0,0,0.208246369836617,0,0,0,0,0,0,0,0,0,0.0065570165544866,0,0.0369769076912117,0,0,0.161728389870568,0,0,0.0153691048689578,-0.06292356172835,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.166878912335692,0,0,-0.0802267087026046,0,0,8.67361737988404e-19,0,0,0.0936914747275781,0,0,0,0.691895504443703,0,0,0,0,0,0,0,0,0.112153609880833,-0.173813959832561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182806737023977,-0.0189370437349303,-0.00845389335371551,0,0,0,0,0,0,0
X000651.SZ,0,0.00200434158406497,0.0489957654888686,0,0.0234096291199309,0,0,0.235168549088711,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113321516069061,0,0,0,0,0.0527339815967171,0,0,0,0,0,0.0446608770996891,0,0,0,0,0,0,0,0,0,0,0,0.0997351504821098,0,-0.0296580727480473,0,0,0,0,0,-0.00672766244691209,0,0,0,0,0,0,0
X000858.SZ,0.174153166436446,0,0.000910306466361473,0,0,0.0157731911296896,0.0674924363309982,0,0,0,0,0,0.0978272614811925,0,0.331888853229945,0,0,0,0,0,0,0,0,0,0.0507488555640327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00314879247192157,0.00615195700358207,0,0,0,0,0.00223385441126843,0,0,0,0,0,0,0
X600276.SH,0.389548151281055,0,0,0,0,0,0,0.0251902074924647,0,0,0,0,-0.0778805496295329,0,0,0.046953665575869,0,0.128096639636692,0,0,0.339510822362018,-0.397860856721085,0,0,0.0293751039188181,0,0.154721329880973,0,0,0,0,0,0,0.100811229000471,0,0,0,0,0.0510367728632436,0,0,0.196083139397522,0,-0.241043753455345,0.109531800413541,0,0,0,0,0,0,4.33680868994202e-19,0.079540626461382,0,0,0,-0.00705645042907729,0,0
X002304.SZ,0.0117453694446243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178661176491022,0,0,0,0.00399743004426779,0,0.190670996350351,0,0,0,0,0,0,0.270416969951874,0,0,0,0,0,0,0,0,0,0,0.0763184636231078,0,0,0,0,-0.182703197223433,0.147224574579692,0,0,0,0,0,0,-0.0219652326312292,0,0,0,0,-0.0532822357233819,0,0
X600690.SH,0,0,0,0,0,0.00351929196076089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729993086185815,0.00406128291269165,0,0,0,0,0,0.124200839634218,0,0.0506887458789646,0,0.114343033649327,0,0,0,0,0,0,0,0,0,0.387427818252137,0,0,0,0,0,0,0.0140120184015192,-0.0376094783793089,0,0,0,0.0199556915724962,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0477135010391029,0.0666579165074379,0,0.00435312140026646,0,0.00882740370751144,0.0626719128236104,0,0,0.14517360739468,0.0541213455238897,0,0,0.0918746544205617,0,0,0,0,0,0,0,0,0,0,0.0219126665719406,0,0.00243809345632044,0,0,0,0,0,0,0,0,0,0.0693293880539455,0.065839586868428,0,0,0,0,0.00349792194006795,0.0136222227857585,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722979100079846,0.00857908079627606,0,0,0,0,0,0,0,0.320812362892171,0.30969604034516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00895783125438526,0,0,0,0,0,0,0,0,0,0.0149009001761671,-0.0276655125557132,0,0,0,0.125376554325773,0,0
