,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X600690.SH,X000725.SZ,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000568.SZ,X601877.SH,X600271.SH,X600703.SH,X300124.SZ,X000100.SZ,X002236.SZ,X000625.SZ,X300003.SZ,X600809.SH,X600487.SH,X002008.SZ,X600498.SH,X000596.SZ,X000661.SZ,X002007.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600566.SH,X300146.SZ,X600177.SH,X600089.SH,X600066.SH,X002456.SZ,X002180.SZ,X002506.SZ,X600867.SH,X600522.SH,X002508.SZ,X600372.SH,X002129.SZ,X300136.SZ,X002241.SZ,X002223.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0817683844065173,0,0,0,0,0,0,0,0.0452316252337244,0,0,0,0,0,0,0,0.0413328524141422,0.216902470242942,0,0,0,0,0,0,0,0,0,0,0.0420104654107437,0,0,0,0,0,0,0.00487485508498987,0,0,0,0,0.0791276345900022,0,0,0,0,-0.0448559022769939,0.0495045824841276,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0811488579481379,0,0,0,0,0,0,0,0,0,0,0.0298773680978143,0,0,0,0,0,0.113592277442384,0,0,0.148002250298299,0,0,0,0.189047033179555,0,0,0,0,-0.0990592204750371,0,0,0,0,0.00912089259894113,0,0,0,0,0,0,0.0354250869809058,0,-0.036378547475857,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.10780839796168,0,0,-0.00815835915111622,0,0,0,0,0,0.0734593729976563,0,-0.0378632644636373,0,0,0.723622603288269,0,0,0,0,0,0,0,0,-0.191425738919213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,-0.00854650516096665,0,0,0,0,0,0,0
X000651.SZ,0,0.0213029895218932,0.0230340226257753,0,0,0,0,0.266920281304369,0,0,0,0,0,0,0,0,0,0,0.047707224121431,0.0289936669210098,0,0,-0.0380595587601453,0,0.0258798848794629,0,0,0,0,0,0,0.0540355507039667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111194567017752,0,0,0,0,0,-0.0051303748114874,-0.0104623670231307,0,0,0,0,0,0
X000858.SZ,0.0831208326669103,0,0,0,0,0.0491270054340905,0.0602088432024706,0,0,0,0,0,0.0937853427781997,0,0.306649885569629,0,0,0,0,0,0,0,0,0.066089063132901,0,0.0537657279932239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206303391247862,0,0,0,0,0.0279746203633516,0,0,0,0,-0.00219791644414543,0,0,0,0,0,0,0
X600276.SH,0.157323919981308,0,0,0,0,0,0,0,0,0,0,0,-0.228794736143114,0,0,0,0,0.0626827091325872,0,0,0,0,0.371521899737428,0,0,0,0,0,0,0,0,0,0,0.0589420657944116,0.0241219729902977,0,0,0,0,0,0,0,0,0.137198646039812,0,-0.0848186190947637,0,0,0.35206029309349,0,0,0,0.0429371043801111,0,0,0,-0.0825362630304437,0,0
X002304.SZ,0.150321593248026,0,0,0,0.44923191861604,0,0,0,0,0,0,0,0,0,0.173007662269879,0,0,0,0,0,0,0,0.174819444088557,0,0,0,0,0.0484091973425184,0,0,0,0,0,0,0.0200380467908442,0,0,0,0,0,0,0,-0.00132800094739615,0,0,-0.165493623184781,0,0,0,0,0,-0.0033200117893164,-0.0108723207669817,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875117815511187,0,0.0256472840212582,0,0.0620193600065049,0,0,0.225702288235328,0,0.0402726971807758,0,0,0,0,0,0,0,0,0,0,0.262344305144322,0,0,0,0,0,0.00767788935222598,0,0.0134938530068522,-0.0367762499551668,0,0,0,0.0192138184565603,0,0
X000725.SZ,0,0,0.0122133138922146,0,0,0,0,0,0,0.0620662911607962,0,0,0,0,0,0.0805248178829343,0,0,0,0.146646232962226,0.0729661019757156,0,0,0,0,0,0,0,0,0,0,0,0,0.0474726782674804,0,0,0,0,0.0391140979416749,0,0,0,0,0,0,0,0.0446735534252031,0,0.0320906169469529,0,0,0,0.0224214858992424,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592393723372421,0.00725219055656783,0,0,0,0,0,0,0.270314334486742,0,0.22798120278006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137361709216827,0,0.0293129270243216,0,-1.73472347597681e-18,0,0,0,0,0.0158740848147264,-0.0249145910187554,0,0,0,0.126350114601789,0,0
