,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002475.SZ,X002304.SZ,X000651.SZ,X000063.SZ,X300124.SZ,X600104.SH,X002371.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000596.SZ,X002129.SZ,X000625.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000977.SZ,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X002241.SZ,X601877.SH,X600584.SH,X000157.SZ,X600741.SH,X000661.SZ,X600522.SH,X002074.SZ,X002180.SZ,X000733.SZ,X000066.SZ,X300003.SZ,X600702.SH,X600460.SH,X300142.SZ,X300146.SZ,X002007.SZ,X000800.SZ,X002463.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.248603170897443,0,8.67361737988404e-19,0.114130205624872,0,0,0,0,0,0,0,0,0.00798305071116349,0,0,0,0,0,0,0.0142217912163488,0,0,0,0,-0.0291651228047981,0.0128187299879767,0,-0.0121876522792791,0,-0.115934796853802,0,0,0,0,0,0,0,0,0.0173628151209067,0,0,0.133515297444685,0,0,0,0,0,0,0,0,-0.0037989654701649,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.261225110505176,0,0.0615450612618604,0,0,0,0,0,0,0,0,0,0,0.0597757180127633,0,0,0,0,0,0,0,0,-0.0169362132672827,0.0183135485897366,0,-0.0150551318943433,0,0,0,0,0,0,0,0,0,0,0,0.0107108723501048,0,0.181193006442507,0.00566051445152743,0,0,0,0,0,0,0,-0.0458201500353885,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0296625954727149,0,0,-0.15383844518925,0,0,0,0,0,-0.153799286262268,0.291478464956062,0,0,0.190175473995254,-0.0207060808311531,0,0,0,0.292952525339853,0,0,0,0.00698473508073429,0,0,0,-0.114864012681603,0,0.118727232484159,0,0.103356351918525,0,0,0.0946377507792675,0,0.147191882288755,0,0,-0.148157684380515,0,0,0,-0.0197255387287294,0,0,0,0,0,0
X000568.SZ,0,0.325488730482458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755218158866266,0,-0.0390058748865225,0,0,0,-0.0740351315725047,0,-0.0486558627113424,0,0,0.0483236490060069,0,0,0,0,0,0,0,-0.0384255696273311,0,0,0,0,0,0.310384156555971,0,0,0,0,0,0,-0.0707756419882347,0,-0.00501739204696643,-0.0222238934853427,0,0,0,0,0,0
X600276.SH,0,0,0.0378829587989613,0,0,0,0,-0.000429543197218674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19072350654167,0.035604347920947,0,0,0.118968809196697,0,0,0,0,0,0,0,0.078008604552016,0,0,0,0,0,0,0,0,0.0896524438852847,0.207608514861627,0,-0.333542851407506,0.0167269602419573,0,0.00934900722341173,0,0,0,0,0,0,0
X600809.SH,0,0.0334038042982243,0,0.139603187426634,0,0,0,0,0,0.0343128802663536,0.0551460636950298,0,0,0,0,0,0,0,-0.194606952676018,0,0,0,0,0.144538120210177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0902958119938856,0,1.73472347597681e-18,0,0,0,0,0,-0.00830641292622936,0,0,0,0.520897197562461,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.252915767762594,0,0,0.02854736484009,0.496698046657333,0.188838296648045,0,0,0,0,0,0,0.0987055816950313,-0.246560089799762,0,0,0,0,0,0,0,0.04301951877334,0,0.000473058790933306,-0.0220233800551072,0,0,0,0,0,0,0,0,0,0,0,-0.14851592256988,0,0,0,0,0,0,0,0,0,0.0733191999028742,0.0984833170522335,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0374620358887994,0,0.045240369186868,0,0.690707317223592,0,0.195520257477697,0,0,0,0,0,0,0,-0.00752214796359274,0,0,0,0,-0.163150386151659,0,0,-0.0128168783546052,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.012543244037037,0,0.0947314754984884,0.0955510358187207,0,0,0.0409225920010095,-0.0262859490168359,0,0,0,0,0,0.0381750833345466,0,0,0,0,-0.0259484172028744,0,0,0,0,0,0,-0.0562551333153142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111161142523331,0,0,0,0,0,0,0,0,0,-0.0257094477667934,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0831680417051717,0,0,0,0,0,0,0.201619001009619,0.272300301339869,0,0,0,0,0,0,0.0537488288880625,0,0,-0.440741144999828,0,0,0,-0.0228802765703276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391923698799786,0,0,0,0,0,0,0,0,0.0417398442926181,0,0,0,0,0,0,0
