,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X600741.SH,X000661.SZ,X600703.SH,X300003.SZ,X002241.SZ,X000596.SZ,X002236.SZ,X600183.SH,X601877.SH,X002007.SZ,X300142.SZ,X000100.SZ,X000157.SZ,X300124.SZ,X000066.SZ,X002179.SZ,X000625.SZ,X300014.SZ,X600271.SH,X000977.SZ,X300136.SZ,X002463.SZ,X002008.SZ,X002456.SZ,X600177.SH,X002371.SZ,X002506.SZ,X600584.SH,X600066.SH,X002180.SZ,X600867.SH,X600487.SH,X600498.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-8.67361737988404e-19,0,0,0,0,0,0.115237320385077,0,0,0,0.556479811624973,0,0,0,0,0,0,0,0.0542664054654712,0,0.0570377798985582,0,0,0,0,0,0,0,0,-0.0186419730857623,0,0,-0.0931936129131087,0,0,0,0,0,0,0,0,0,0,0,0.0257585949708403,0,0,0,0,0,-0.0147209948690469,0.011078085056738,0,0,0,-0.0247465658668519,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0594225204811637,0,0,0,0.497019287963562,0,0,0,0.0563353821201361,0,0,0,0.0275449788195216,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.00194339934320634,0,0,0,0,0.0230348750164265,0,0,0,0.0586812769575999,0,0.0150500263790926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182137472943958,0,0
X600276.SH,0.0459479809509069,0.0298799849370277,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.118930375883187,0,0,0,0,0,0.200746448522697,0,0.0184996448428437,0,0,0,0,0.0134660680687627,0,0,0,0.0661589654426871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00865952122175223,0,0,0,0,0,0.0134569875665399,-0.032460484523128,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,-0.0193945138648593,0,0,0,0.213833737991629,0,0,0,0,0,0,0,0,0,-0.0369084780921974,0.0743942984302794,0,0,0,0,0,0.0139090420737908,0,-0.207425182081255,0,0,0,0,-0.183668515351349,0,0,0,0,0,0,0,0.0824790682082429,0,0.20174780512023,0,0,0,3.92998828147566e-05,-0.00582977690053728,0,0,0,0.0767784569443878,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479545905962229,0,0.111824050038686,0,0,0,0,0.0326235202859304,-0.00940251883719261,0,0,0,0,0,0,0,0,0,0,-0.0324137314947,0,0,0,0,0,0,0,0,0,0.090369988426286,-0.119209391180144,0,0,0,-0.0342594012380023,0,0
X600104.SH,0,0,0,0,-0.00445784838488463,0,0,0,0,0,0.0732032091238921,0,0,0,0,0.0824924099149511,0.174351027630168,0,0.0441396052634197,0,0,0,0,0,0.0607731912821108,0,0,0,0,0,0,0,0,0,0,0,0,0.00408809721372219,0,0,0,-0.000844551180029285,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.00421056185074256,0.00183592993794735,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.516151132062199,0,0,0,0,0,0.199150696880259,0,0,0,0.0246683339006145,0,0,0,0,0,0,0,0,0.231715530966982,-0.247428964383907,0,-0.108656990030409,0,0,0,0,0,0,0,0,0,0,0,0,0.106379086266171,0,0,0,0,0,0,0,0,0.132441344334996,0,0,0,0.142378049107518,0,0
X002475.SZ,0.116517663589176,0,0,0,0,0,0,0,0.131664083948071,0,0,0,-1.38777878078145e-17,-0.068048677177869,0.141556686048732,0.047641026515282,0,0,0,0,0.0738977866974252,0,0,0,0,0,0,0,0,0,0.183086992135852,0,0,0,0,-0.106016512276908,0.0268196213919145,0,0.526675162013371,0.00334457199946317,0,0,0,0,0,0,0,0,0,-0.0661447934264823,0,0.0159595589142308,0.0317754367054547,0,0,0,0,0,0
X002304.SZ,0.266512656212739,0.0188005174318937,0,0,0,0,0.138058614648483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064259961880505,0.0020459134644584,0.043060491257541,0.0641198589999229,0,0,0,0,0,0,0,0,-0.00797718699204234,0,0,0,0,0,0,0,-0.0102143147696987,0,0,0,0,0.125874410082727,0,0,0,0,0,0.0261236330454067,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0414098420423084,0,0,0,0,0,0,0.0368099038345228,0,0,0,0,0,0.218546129521117,0.128676020636274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213584570852334,0,0,0.185120248722115,0,0,0,0,0,0,0,0,0,0.113977262988526,0.0486614771789033,0,0,0,0.0072607594253521,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0333376164539902,0,0,0,0,0,0,0,0,0,0,0.0867658289609237,0,0,0,0,0,0,0.0804440270358086,0,0,0.0238321592196977,0,0,0,0.0038336262643122,0,0.0325690552620939,0,0,0.0113404924199537,0,0,0,0.0705283659196755,0,0,0,0,0,0.123484096016354,0,0,0.0355950135498406,0,0,0,0,0,0
X000568.SZ,0.249282058304756,0.495399071924475,0,0,0,0,0,0,0,0.0165445287745472,0,0,0,0,0,0.0647096906892325,0,0.0525751867494834,0,0,0,0,-0.0431989640773406,0,0,0,0,0,0,0,0,0,0.083965431302558,0,0,0,0,0,-0.138732505891083,0,0,0.017915494826058,0,0,0,0.0438385115818403,0,0,0,0,0,0,0,0,0,0,0.00995293728617844,0,0
X600031.SH,0,0,0,0,0,0,0,0.169177971172427,0,0,0,0,0,0,0.0901261070962169,0.0582875636172322,0,0,0,0,0,0.034469360777976,0,0,0,0,0,0,0,0,0,0,0,0.0530113702924082,0,0.0388752339881149,0,0.00597094125428454,0,0,0,-0.0123310574159045,0,0,0,0,0,0,0,0,0,-0.0325104023758137,0.0407774890046451,0,0,0,-0.00767985092431695,0,0
