,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X002236.SZ,X600809.SH,X000100.SZ,X300003.SZ,X300124.SZ,X002008.SZ,X000625.SZ,X600487.SH,X000596.SZ,X002456.SZ,X000661.SZ,X600498.SH,X600776.SH,X002007.SZ,X000157.SZ,X000050.SZ,X300142.SZ,X002179.SZ,X300146.SZ,X600066.SH,X600177.SH,X600522.SH,X000977.SZ,X600867.SH,X300136.SZ,X600089.SH,X600372.SH,X002241.SZ,X600566.SH,X002180.SZ,X002129.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.0249555520668355,0.0708789904561892,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,8.67361737988404e-19,0,0,0.0140903365837469,0,0,0,0,0,0,0,0.0937435193480015,-0.000830445299150711,0,0,0,0,0,0.0393710442769652,0,0,0,0,0.0128551101184639,0.0192920595430879,0,0,0,0,0,0.119628377200875,0,0,-0.0038818362267507,0.00515598337888627,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.113944118476465,0,0,0,0,0.0165042580544915,0,0,0,0,0.0822572486950209,0,0.389448822474041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0235739980291807,0.0569167233013756,0,0,0,0.045285896229699,0,0
X600104.SH,0,0,0,0.197266541789987,0,0,0,0,0,0.081191083350732,0,0,0.120018203262139,0,0.229879977593781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192046332774865,0,0,0,0,0,0,0,0,0,0,0,0,0.196616151134297,0,0.141848810471359,0,0.0320232526530481,0.00730838572489413,-0.0706983069734256,0,0,0,-0.0132673982388716,0,0
X000858.SZ,0,0.0467940122663367,0,0,0,0.0300071580556422,0.0853425752706241,0,0,0,0,0,0,0.28820534421488,0,0,0,0,0.0930753543598394,0.0722537799365222,0,0,0,0,0,0,0.0459578268074419,0,0,0,0.00387959805157475,0,0,0.0213901641588284,0,0,0,0,0,0,0,0,0.00864737800686785,0,0,0,0,0,0,0,0,-0.0141386397098038,0,0,0,0,-0.00257025966731099,0,0
X000651.SZ,0,0,0.241710501692118,0,0,0,0,0,0,0.032863602187673,0,0,0,0.0749345935783187,0.0853285683782546,0,0,0,0.0573780077527177,0,0,0,0,0,0.0745243717582813,0,0,0,0,0,0.00467823797960991,0,0,0,0,0,0,0,0,0,0,0,0.0177881111601274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.219403547256631,0,0,0,0,0,0.00284231543909863,0,0,0,0,-0.305259754247838,0,0,0,0.304149321524266,0,0,0,0,0,0.35147317509851,0,0,0,0,0.115702372507093,0,0.190182464280017,0,0,0,0,0,0,0,0.000851088853999862,0,0,0,0,0,0,0,0,0,0.0843379058899271,0,0,0,0,0.0439153927769764,0.0531410174229761,0,0,0,0.0365773742180594,0,0
X002304.SZ,0,0,0,0.229723478087246,0,0,0,0,0,0.106458565139037,0,0,0,0,0,0,0,0,0,0,0,0.0703772665952446,0.212570463537792,0,0,0,0.0349015953104198,0,0,0,0,0,0,0.000748359624064034,0,0,0.241807502529697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236291349016218,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0685263734327336,0,0,0,0,0,0.129107341950481,0.123964618403784,0,0,0.312448682559653,0,-0.0481649751194359,0,0,0,0,0.0113746358000094,0,0,0,0,0,0.242649708309068,0,0.0791392262929982,0,0.00925974115424471,0,0,0,0,0.00476642694452991,0,0,0,0.0364766347636431,0,0,0,0,0,0.0132966770144431,0,0,0,-0.0421707224185526,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537586294863391,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.354762929865186,0,0,0,0,0,0,0,0,0,0,0.0477187765254299,0.0842041571415927,0.047644030584536,0,0,0,0,0,0,0,0,0.00541753022834469,-1.73472347597681e-18,0,0,0,0.142688475895935,0,0
X600690.SH,0,0.0165038149846747,0.100139492895034,0,0.252540283233941,0,0,0,0,0,0,0,0,0,0.132534090365935,0,0,0,0.0787571212058176,0,0,0.0012688673752788,0,0,0,0,0,0,0,0,-0.00361395082346139,0,0,-0.0529013012049373,0,0.151104464665728,0,0,0,0,0.0517786402884208,0,0,0,0,0,0,0,0,0,0,0.0126500206187589,-0.0439100427130594,0,0,0,0,0,0
