,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600271.SH,X600031.SH,X600118.SH,X002475.SZ,X600177.SH,X002292.SZ,X002456.SZ,X000559.SZ,X000338.SZ,X600372.SH,X002007.SZ,X300003.SZ,X000157.SZ,X002506.SZ,X600867.SH,X002180.SZ,X002074.SZ,X600522.SH,X300124.SZ,X002085.SZ,X002294.SZ,X600089.SH,X002426.SZ,X600487.SH,X601877.SH,X002508.SZ,X600498.SH,X000050.SZ,X002249.SZ,X002465.SZ,X000869.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.198591697181495,0,0,0,0,0.121578498179056,0,0,0,0,0,0,0,0.0250007687361868,0,0.15219841466885,0,0,0,0,0,0.123272522200731,0,0,0.0424001871879333,0,0,0.173698232613736,0,0,0,0,0,0,0,0,0,0.0379956427796643,0,0,0.00275696919619989,0,0,0,0,0,0,0,0,0,0.0810699467466339,0,0,0,0,0.0597511216236297,0,0
X600104.SH,0.132042151385882,0,0.0962061193914602,0,0,0,0,0,0.466600950653897,0,0,0,0,0,0.0513662742535309,0,0,0,0,0,0,0,0,0,-0.0837491655535934,0,0,0,0,0,0,0,0,0.0525012392868084,0,0,0,-0.0582146875513893,0,0,0,-0.00401469685672163,0,0,0,0,0,0,0,0.0154678367261735,0,0,3.46944695195361e-18,0,0,0,-0.339560324059548,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264271860107477,0,0,0,0,0,0,0.101786193101062,0,0,0,0,0.0228147049780203,0.0797319537676761,0.0336456114238077,0,0,0.397998703229514,0,0,0,0.0523095254829495,0,0.0207460794242028,0,0,0,1.0842021724855e-19,0.0440523279271574,0,0.0221867198515567,0,0,0,0,0,0,0
X000858.SZ,0.0639739037536751,0,0,0,0,0.0512616645516975,0.149540570679025,0,0,0.196832056158862,0,0.0383046546792538,0,0,-0.0358060262787179,0,0.456341238436611,0,0,0,0,0,0,0,0,0,0,0,0.0153160130202047,0,0,0,0,0.0170904183362268,0.0363623923788118,0,0,0,0,0,0,0,0,0,0.0318046219998726,0,0,0,0,0,0,-0.0298646680433158,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.0893579730242758,0,0.17384118174185,0,0,0,0,0,0,0,0,0.046229473872118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104696895034684,0.0170523404948322,-0.00655216907967835,0,0,0,0,0,0.0549414584717475,0,0,0,0,0,0,0,-0.108650303816871,0.0691280992572925,0,0,-0.0921144146899354,0,0,0,0,0,-0.0218070625878926,-0.0457150009404941,0,0,0,0,0,0
X002304.SZ,0.00571158021596528,0,0,0.708387950552835,0,0,0,0,0,0,0,0,0,0,0.0406815002205467,0,0,0,0,0,0,0,0,0,0,0,0,0.0691269284917038,0,0,0,0.0141213709064809,0,0.0429343722039578,0,0.00722364460951191,0,0,0,0,-0.0263471199702716,0,0.013212374649082,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0390115259935817,0,0.154748142044556,0,0,0,0.0501427995874298,0,0,0.0255795871022783,0,0,0,0,0,0,0.0754279097495859,0.0690665137020343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0171792700269847,0,-0.0686707634115432,0,0,0,0,0,0,0
X000625.SZ,0.00282550987736388,0.173858950511525,0,0,0,0,0,0,0,0.156456307418902,0.00636752861048846,0.0288207039308367,0,0.0997183640186781,0,0,0,0,0,0,0,0,0,0,0,-0.00477811551962665,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0884534511049789,0,0,0,0,0,0,0,0,0,-0.0430921343988772,0,0,0,0,0,0,0
X600690.SH,0,0,0.00378204656956342,0.141074717947105,0,0,0,0,0,0,0,0.012188637633913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597970839898229,0,0,0.10857411170578,0.0514075724384364,0,0,0,0.0108657597554088,0,0.106606642418151,0,0,0,0,0,0.0070669944657379,0.0234434446239983,0,0,0.00173142004939896,0,0,0,0,0,0,0.0918679027895232,0,0,0,0,0,0
