,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002304.SZ,X600276.SH,X002475.SZ,X000651.SZ,X300014.SZ,X600104.SH,X300124.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X000725.SZ,X000625.SZ,X002049.SZ,X600031.SH,X002371.SZ,X000063.SZ,X002179.SZ,X002241.SZ,X600089.SH,X600522.SH,X000338.SZ,X600703.SH,X000661.SZ,X002180.SZ,X300142.SZ,X000733.SZ,X002074.SZ,X601877.SH,X000100.SZ,X600741.SH,X000157.SZ,X600487.SH,X600884.SH,X601799.SH,X600460.SH,X600702.SH,X300003.SZ,X002414.SZ,X600584.SH,X000799.SZ,X600563.SH,X600372.SH,X002236.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.230740888807191,0.258303947340295,0.102178686267457,0,0,0,0,0,0,0.025157821550996,0,0,0,0,0,0,0,0,0,0.0184778591923494,0,0,0,0,0,0,0,0,-0.105746283744406,0,-0.0147380543521079,0,0,0,0,0,0,0,0,0,0,-0.103552770694564,0,0,0,0,0,0,0,0,-0.0086223446687782,0.00652350173252678,0,0,0,0,0,0
X000858.SZ,0,0,0.253432390769336,0.158623033209615,0.00317479044411759,0.115826291232045,0.109564303421437,0.0473600097109895,0,0.0190282311005035,0,0,0,0,0,0.0764844893946562,0,0,0.0977090478568814,0,0.00628203256355786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801672538214009,0,-0.0782059873151277,0,0.00446539237966331,-0.033134440970456,0,0,0,0,0.0155271766249368,0.0243482443784718,0,0,0,0,0,0
X600809.SH,0,0,0,0.636754802361886,0.0298410629140976,0,0,0,0.016588079938385,0,0,0,0,0,0,0,0,0,0,0,0.0233458985241019,0,0,0,-0.0470398770125281,0,0,0,0.0327828626276153,0,0,0,0,0,0,0,0,0,-0.104120357225424,-0.124651039402809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.12861183094336,0.394707737780498,0,0,0,0,0,0.000925045437251075,0,0,0,0,0,0,0.0111318354783358,-0.0654905361573398,0,0,0,0,-0.0378558490573863,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.214633669881039,0,0,0,0,0,0,0.299145480854927,0,0,-0.0436503328747283,0.0223505973349614,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,-0.0382070134032432,0,0,0,0,-0.110038752505166,0,0,0,0,0,0.0827434921626837,0,0,0,0,-0.0707658427272664,-0.0613633549649423,0,0,0,0,0,0,0,0,0,0,0,0,0.349982348430947,0,0,0,0,0,0.289849744826768,0.099855105749406,-0.112837603546765,0,0.0879102763756989,0.0109456766268804,0.203110027209112,0,0,0,0,0,0,0,0
X600690.SH,0.129841769709544,0,0,0.359562139817758,0,0,0,0,0,0.111531875581613,0,0,0,0,0,0,0,-0.0776024359664769,0,0,0,0,0,0.0502872073039997,0,0,0,0,0,-0.0117457405431975,0,0,0,-0.00161184950685875,0.0855823701268409,0,0,0,0,0,0,0,0,-0.0120682913114569,0,0,0,0,0,0,0,0,-0.0420752274322693,0,0,0,0,0,0
X002304.SZ,0,0.291318915244405,0,0,0,0,0,0,0,0,0,0,0.0192587083383602,0,0,0,0,0.0289234602966207,0,0,-0.0439729996904992,0,0,0,0,-0.0428951912045763,0,0,0.10317227702567,0.000954283736044587,0,0,0.162116407390171,0,0,0,0,0,0,0,0,0.105936592488356,0,-0.170789061749164,0,0,0,0,0,0,0,0.0127040210071086,0.00792990927141041,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.117468251087741,0,0,0,0,-0.11201509501588,0,0,0,0.308908907257607,-0.0686312584879079,0,0,0,0,0,0.0881740739400885,0,0.0125875514934853,0,0,0,0,0,0,-0.0912735361136803,0,0.0188255871296523,0,0,0.134979001628183,0,0,0,-0.0610125719998734,0,0,0,0,0.0189444935433171,-0.0445003544585305,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.054104649030205,0,0.333335469000918,0,0,-0.0123468597845643,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194843507133186,0,0,0,0,0.206419105221703,0,0,0,0.0188126284366689,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.416459764411697,0,0.0117549303389598,0,0,0,0,0,0,0,0,0,0,0,0.1898909585899,0,0,0,0,0,0,0,0.0137810986414172,-0.0216090317255871,0,0.103422661840068,0,0,0,0,0,0,0,0,0,0,0,0.0668216861859864,0,0,0.000247566438586267,0,0,0,0,0,0,-0.00631778073995577,0,0,0,0,0,0
