,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X600839.SH,X600372.SH,X000066.SZ,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600522.SH,X002456.SZ,X600741.SH,X002156.SZ,X600460.SH,X600183.SH,X600066.SH,X601877.SH,X002129.SZ,X000661.SZ,X002085.SZ,X600487.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X003816.SZ,0,0,0,0,0.0219412824064469,0,0,0,0,0,0,0,0,0.115020283809255,0,0,0,0,0.343650750886871,0,0,0,0,-0.0168090401117894,0,-0.0209196421780339,0,0,0,0,0,0,0,0,-0.106760608087208,0,0,-0.119500169559078,0,0,0,0,0,0,0,0,0,0,-0.0469679504758073,0,0,0,0,0.336454344538821,0,0,-0.088482209165866,0,0
X600104.SH,0,0,0,0,0,0,0,0.0866619269374043,0,0.104810855392636,0.078920585437347,0,0,0,0,0,0,0.0215946523928009,0,0,0.0687680574000799,0,0,-0.0412914212217007,0,0,0,0,0.204102780596777,0,0,0,0,0,0,0,0,0.149067624388679,0,0,0,-0.0166053654849801,0,0.153257904326549,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242540967566661,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101645706864512,0,0,0,0,0,0,0,0.438947431178442,0,0,0.0197016359527043,0,0,0,0,0.0531405578681585,0.10213035842205,0,0,0,0,0,0.00479154539285756,0,0,0,-0.0392771207650651,0.00987765004681256,0,0,0,0.0295737187205806,0,0,0,0,0,0,0,0,0,0,0.0323885673601872,0,0
X300124.SZ,0,0,0.120357080360792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444550517303566,0.0625723745768478,0,-0.078462215292883,0,0,0,0,0,0,0,0,0.0103380351193272,0,0,0,0,0.0128346444448926,0,0,0,0,0,0,0,0,0,0.122360320467425,0,0,0,-0.0858170785729662,0,0,0,0,-0.0338070881399323,0,0
X000063.SZ,0,0,0,0.0582853387589744,0,0,0,0,0,0,0,0,0,0.160739553192856,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.233921867208002,0.0241604545672285,0,0,0,0,0.130189734493782,0,0,0.386330424824562,0,0,0,0,0,-0.130433323388753,0,0,0,0,0,-0.0130261997172019,0,0,0,0.0197580487355297,0.0634827298189223,0,0,0,0,0,0
X600031.SH,0,0,0,0.0677399488902876,0,0.0573279116632272,0,0.288045815120882,0,0.128302877792311,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0206932675221807,0,0,0,0,0.0552829483591933,0,0,0,0,0.024156378267528,0,0,0.156901264903878,0.117289186873942,0,0,0,0,0,0,-0.0394817792672164,0,0,0,0,0,0,0,0,0,0,-0.0127993398689309,0,0,0,-0.0091463136547369,0,0
X000625.SZ,0,0.208387706371793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103638086366377,0,0,0,0,0,0,0,0.128505232273643,0,0,0,0,0.207133359787396,0,0,0,0,0.0930791675615522,0.0203301545823389,0,0,0,0,0,0.012875323724722,0,0.0236120447137612,0,0,0,0,0,0,-0.00170886560232823,0,0.00308848161915979,0,0
X002304.SZ,0,0.505797325121521,0,0,0,0,0,0,0,0.0529229173907214,0,0.130326135058349,0,0.0766762839390516,0,0,0.0877206120229965,0,0,0,0,0,0,-0.113417431989025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176979114377264,0,0,0,0,0,0,-0.0836610463210548,0,0,0,0,0.0080660676128268,0,0
X000338.SZ,0,0.125732519434028,0,0,0,0,0,0,0,0.255219968381631,0.1158372579151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202775331825749,0.229190964562976,0,0,0,0,0,0.0349549256234477,0,0,0,0.0723064701985907,0,0,0,0,0,0,0,0,0.0131271572782262,0,-0.0299588479424307,0,-0.00832155172306798,0,0
X000596.SZ,0,0,0,0,0,0,0.169719096055411,0,0,0.532108763767235,0,0,0,0,0.099058824849953,0,0,0,0,0,0,-0.0298170170986479,0,0,0,0,0,0,0,0,0.0310424492417996,0,0,0,-0.118325683349813,0,0,0,0,0,0,0,0.142461231308807,0,0,0,0.0539549287888562,0,0,0,0,0,0,0,0,0,0,0,0
