,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002415.SZ,X600809.SH,X003816.SZ,X002371.SZ,X000568.SZ,X000725.SZ,X600031.SH,X300124.SZ,X600104.SH,X000063.SZ,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002463.SZ,X000100.SZ,X002241.SZ,X600584.SH,X600089.SH,X600703.SH,X600418.SH,X600372.SH,X000977.SZ,X000157.SZ,X002049.SZ,X600066.SH,X002028.SZ,X002236.SZ,X600741.SH,X600522.SH,X600183.SH,X601877.SH,X600460.SH,X002180.SZ,X600487.SH,X000921.SZ,X000661.SZ,X601799.SH,X000800.SZ,X002294.SZ,X002074.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.500130139170841,0,0,0,0,0,0.0224893303512431,0,0,0,0,0,-0.0227682391172969,0,0,0,0.139654073594816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526543556405181,-0.131406993551042,-0.0272846521799733,0,0,0,0,0
X000858.SZ,0.414453329023685,0,0,0,0,0,0,0.51405848038233,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0342199224866142,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.103162697957506,0,0,0,0,0,0,0,0.0322729342502944,0,0,0,0,0,0,0
X600276.SH,0,0.355513466459133,0,-0.171916274745244,0,0,0,0,0,0,0,0,0,0.123806379527075,0,0,0,0,0,0,0,0,0,0,0,-0.0205213774074952,0,0,0,0,0,0,0,0,0,0,0.0482466416473614,0.0483478270295374,0,0,0,-0.263886603090389,0,0.0233571599211129,0.26658206884853,0,0,0.0924287455638428,0,0.233546559721343,0,0.0444819164370681,-0.110832112149958,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218317127338527,-0.205311323975588,0,0,0,0,0,0,0,0.0434868862329695,0,0.664057538310388,0.103705138055806,0,0,0.0270875047334332,0,0.0670594884350794,0,0,-0.0253812620175976,0,0,0,0.258427160989747,0,0,-0.0923826799834858,0,0.0548420676612196,0,0,0,0,0,0,0,0,-0.089584688067571,0,0,0,0,0,0,0
X600690.SH,0.0388863800728667,0,0,0,0,0.439368581583317,0,0,0,0,0,0.0791841643722123,0,0,0,0,0.0600479067482658,0,-8.67361737988404e-19,0.0276459786557429,0,0.026919720167271,0,0,0,0,0,0,0.0792977027193729,0,0,0,0,0,0,0,0,0,0,0,-0.0348685831301781,0,0,0.183714557401919,0,0,0,-0.10495598600324,0,0,0,-0.0334126728402335,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.235778258872168,0,0,0,0,0,0,0,0.0164915690997762,0.0603669615290117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138374084039798,0,0,0,0,0.0528737068429322,0,0,0,0,0,0,-0.109160686530824,0,-0.0337172962301804,0.242347060007486,0,0,0,0,0,0,0,0,-0.054789277276496,0,0,0,0,0,0
X002415.SZ,0,0,0.0482384914931104,0,0,0.0223710859832138,0,0,0,0,0,0,0.0401119650637229,0,0,0,0,0.0939310082390742,0,0,0,0.0991232817954279,0,0,0,0,0,0,0,0,0,0,0.138556149508862,0,0,0.122628783995178,0,0,0,0,0,0,0,0,0,0.185483595552636,0,0,0,0,0,0,0,0.126966978388622,0,0,0,0,0
X600809.SH,0,0.0197093230081834,0,0,0,0,0,0,0.110414109198808,0,0.556733318876776,0,0,0,0,0,0,0,0,0.205857371720726,-0.00128353599577886,0,0,0,0,0,0,0,0.0709667330211219,0.0684942653274848,0,0,0,0,0,0,0,0,0,-0.0296541274142002,0,0,0,-0.00199989179241882,0,0,0,0,0,0,0,-0.0304960618910361,0,0.0704792115463592,0,0,0,0,0
X003816.SZ,0,0,0,0,-0.20118005595894,0.205953633345414,0.172689328692213,0.101809386840476,0,0,0.0973115793144818,0,0,0,0,0,0.103750172877666,0,0.245632412857782,0,0,0,0.0121856337037895,0,0,0,0,0,-0.0934453042544271,0,-0.0640218895173138,0.249194898296112,0,0,-0.460109728247556,0,0,0,0,0,0,0,0,-0.216441850179032,0,0,0,0,0,-0.285271887621782,0,0,0,0.236373280672186,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.110466914328895,0.407600296843077,0,0,-0.11698251303775,0,0,0,0,0,0,0,0,0.181943608607989,0,0,0.0777108051528357,0,0,0,0.0657858840815245,0.0128366959527003,0.0442389692051292,0,0,0.0640853601134811,0,0,0.0941539419543831,0,0,0,0,0,0,0,0,0,0,0,-0.00537425731069228,0,0,0,0,0,0
