,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X000568.SZ,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002456.SZ,X600487.SH,X000100.SZ,X002007.SZ,X002236.SZ,X002008.SZ,X600498.SH,X600566.SH,X002179.SZ,X000625.SZ,X000596.SZ,X000661.SZ,X600809.SH,X600177.SH,X002506.SZ,X000157.SZ,X300136.SZ,X300146.SZ,X600089.SH,X600867.SH,X600066.SH,X002294.SZ,X600372.SH,X300142.SZ,X002241.SZ,X002180.SZ,X000981.SZ,X000977.SZ,X600522.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.846261581687567,0,0,0,0,0.0201467991909795,0,0,0,0,0,0.0191107522455134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975800376078269,0,0,0,0,-0.0034839688543909,0,0,0,0.0367291666000373,0,0,0,0,0,0,0,0,0,0,-6.7762635780344e-21,0.0100494545074639,0,0,0,-0.0349451150594135,0,0
X600104.SH,0,0,0.0944311844111819,0,0,0.262234412292396,0,0,0.0846484869147777,0,0.0118914916903266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182464723832577,0,-3.46944695195361e-18,0,0,0,0,0.077091826310447,0.13406555079358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197633576207898,0,0.0277935955775637,-0.0185240066413155,0.0348857623955899,0,0,0,0,0,0,0
X002415.SZ,0,0.06015102031426,0,0,0,0,0,0,0,0,0,-0.0505807519972108,0,0,0,0,0,0,0,0,0,0,0,-0.105107875604391,0.621594191660294,0.0122403966298791,0.0358224085105582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.189445093231662,0,0,0,0,0.238743031423178,0.0214120515764233,0.0987085414112852,0,0,0,0.106302382052901,0,0
X000651.SZ,0.230234310507895,0,0,0,0,0,0,0,0,0,0,0.0541733420963784,0,0,0,0.23981769411203,0,0,0,0.113543320363849,0,0,0,0,0,0,0,0,0,0,0,0,0.00943766375695751,0,0,0,0,0,0,0.059956794302255,0,0,0,0.0858815744286654,0,0,0,0,0,0,0,0.0177983571660705,0.00854029672338066,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268191855529006,0,0,0,0,0,0,0.0665755164697474,0.243921112822609,0,0,0.056987066729931,0,0,0,0,0,0,0,0,0,0.25873434084798,0,0.00844616704780355,0,0.0693442705133268,0,0,0,0,0,0,0,0,0,0.0306680181164612,0.0166243829280615,0,0,0,0,0,0
X000858.SZ,0.112079968304416,0,0,0,0,0,0.204188480252767,0,0,-0.0140383269678608,0,0,0,0,0,0.0570494980951233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204827332093161,0,0.277265159461924,0,0,0,0,0,0,0,0.0311377643570306,0,0,0,0,0,0,0,0,0,0,0.0173524775000782,0.0152126066085521,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.203324254675243,0,0,0,0.0930676840243846,0,0,0,0,0,0.589435782306751,0.00254431071327077,0,-0.0867031462277127,0,0.0314768959851566,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.164538376081929,0,0,0,0,0.0339211464863676,0,0,0,0,-0.0460614007321097,0,0,-0.0470848088509806,0,0,0,0,0,0.0378178700185668,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.00983050904127668,0,0,0,0,0,0,0,0,0,0.12759852883544,0,0,0,0,0,0.357713605502533,0,0,0,0.211845838632466,0,0,0,0,0.0166529331536218,0,0,0,0,0,0,0,0,0,0,0.177167536395786,0,0,0,0,0,0.212021902740669,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.225236181446901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29174174534714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159935544440376,0,0,0,0,0,0,0.205958255200857,0,0,0,0.0138217179395367,-0.0324396703017888,0,0,0,0,0,0
X000063.SZ,0,0,0.319516384321707,0,0,0,0,0,0,0,0,0,0,0,0.0405034850708349,0,-0.0651834936562845,0,0,0,0.368754062578253,0.0290501425100445,0,0,0.0280427937836333,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665765831046786,0,0,0,0,0,0,0,0.203420062471782,0,0,0,0,0,0.00400943162172009,-0.0424837269435243,0,0,0,0,0,0
