,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002236.SZ,X000568.SZ,X600271.SH,X000100.SZ,X600031.SH,X600118.SH,X002241.SZ,X600177.SH,X002292.SZ,X000338.SZ,X600372.SH,X002007.SZ,X002475.SZ,X002456.SZ,X000559.SZ,X002180.SZ,X600522.SH,X300003.SZ,X002506.SZ,X000157.SZ,X002074.SZ,X600867.SH,X002294.SZ,X002426.SZ,X600089.SH,X000981.SZ,X300124.SZ,X002085.SZ,X002508.SZ,X000869.SZ,X600498.SH,X601877.SH,X002465.SZ,X002179.SZ,X000050.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.347654707144489,0,0,0,0,0,0,0.176576931920423,0,0,0,0,0.119417040742091,0,0,0,0,0,0,0,0,0,0,0.0243173554540193,0,-0.107015355929301,0,0,0,0,0,0,0.0947002742770409,0,0,0,0,0,0.154826303323322,0,-0.0607871361380907,0,0,0,0,0,0,0,0,0.00559604283479549,0,0,0,0,0,0,0
X600104.SH,0.135576841961304,0,0,0,0,0,0,0.278908162543702,0.0594800105959777,0,0.106284071928917,0,0,0,0,0,0,0,0,0,0,-0.086482085371099,0,0,-0.0220966780341769,0,0,0.01975344485871,0.0037691227907021,0.0229885439786782,0,-0.0362406342944751,0,0,0,0,0,0,0,0,0,0,0,0.0734068941698193,0,0,0,0,0,0,0.0182610696619757,0,0,0,0,0,0,0
X002415.SZ,0.0572595174969542,0,0,0,0,0,0,0,0.138171318465704,0,0,0,0,0,0.0533740754231706,0,0,0,0,0,0,0,0.0826288117652083,0.105742594261691,0.143730637745302,0.0768797794212699,0,0,0,0,0,0,0,0.0281234883454177,0,0,0,0,0,0,0,0.0775759735716398,0.0170487977366844,0.0464167587888496,0,0,0,1.73472347597681e-18,0,0,0.0215343296556569,0,0,0,0,0,0,0
X000858.SZ,0.0441947728693921,0,0,0,0.308559413692325,0,0,0,0.281841633109447,0,0,0,0,0.00179906765817375,0.27321201975303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484971449817048,0,0.128818095611946,0,0,0,0,0,0,0,0,0.0247259885294272,0,0,0,0,0,0
X002304.SZ,0,0,0,0.570627122481921,0,0,0,0,-0.00932953494230933,0,0,0,0,0,0.169558536905238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808528521506358,0.00291672762417699,0,0,0,0,-0.0101057873492067,0,0,0,0.129883932044027,0,0,0,0.0447110089962145,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0221830325429111,0,0,0,0,0.225258339152467,0,0,0,0.0783173260374697,0.0167933829534407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279195045533207,-0.00355478160501491,0,0,0,0.0190109968282762,0,0,0.0154114501757654,0,-0.02389713227451,0,0,0.0272053449181813,0,0,0,0,0,-0.018675125453588,0,0,0.00106048070747275,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0452272837164498,0,0,0,0,0,0.0634137334426244,0,0,0.081290469914839,0,0,0,0,0.0481840326797207,0,0,0,0,0,0.00839003543088353,0.0435367825784101,0,0,0,0,0.0179799597780912,-0.0267429938889464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723773473748142,0.114164471621086,0,0,-0.0247025498963813,0,0,0,0,0,0,0
X000625.SZ,0.125396917270141,0.0694716292514845,0,0,0,0,0,0,0.105207332515128,0,0.0151083568386869,0,0.0695400654163961,0.024028006285939,0,0.115602597630704,0,0,0,0.0563350862434663,0,0,0,0,0,0,0,0,0.016489134232227,0.0127617085326614,0,0,0,0,0,0,0,0,0,0,0,0,0.016948391204292,0,0,0,0,0,-0.181089295633936,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0732223783368052,0,0,0,0,0,0,0,0,0.00930635558105129,0,0,0,0,0,0,0,0,0,0,0,0.118949694136018,0,0,0,0.00461820911925038,0.147224698583572,0,0,0,0,0,0,0,0,0,0,0,0.078738598770311,0.129269023239331,0,0,0,0.0685847696221995,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0197734448520588,0.115396946442469,0,0,0,0,0.090591714655591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131432598960873,0,0.0435546059943183,0.0429116928520504,0,0,0,0,0,0,0,0,0.115580502454182,0,0,0,0,0.022822265950032,0.00734206041628248,0,0,0.0374872103614692,0,0,0.0101258858065494,0,0,0,0,0,0,0
