,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X000661.SZ,X000063.SZ,X002241.SZ,X003816.SZ,X000338.SZ,X300124.SZ,X000596.SZ,X300014.SZ,X600703.SH,X600741.SH,X002007.SZ,X000625.SZ,X002371.SZ,X000100.SZ,X300142.SZ,X002129.SZ,X002236.SZ,X002049.SZ,X601877.SH,X002179.SZ,X600584.SH,X000157.SZ,X000800.SZ,X300003.SZ,X600183.SH,X002414.SZ,X300136.SZ,X601799.SH,X000066.SZ,X000977.SZ,X002008.SZ,X002456.SZ,X300146.SZ,X002185.SZ,X600118.SH,X600066.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.141803242059897,0,-0.0334000001618022,0,0,0,0,0,0,0.409317124619499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115220034230192,0,-0.0720462974532011,0,0.0222059853074773,0.0141349423652953,0,0,0,0,0,0,0,0,0.00314138693481953,0,0,-0.0329136569328276,0,0,0,0,0,0,0,0.0400038035506567,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.190654221094856,0,0,0.223730986278552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0069992906214696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571847170969763,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.031695581265151,0.129999941266801,0,0.0411407823073925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690659293539186,0,0,0,0,0,0,0,0,0,0.0599508976546263,0.0224127936975949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.131523992460475,0,0,0,0,0,0,0,0.18188634473775,0,0,0,0,-0.0764083677267993,0,-0.0153080152280597,0,0,-0.0759364910347948,0,0,0.0622201322059309,0,0,0,0.10365949866469,0,0,0.187437301338381,0,0,0,0,0,0,0.03697806185575,0,0,0,0,0,0,-0.0583351952572818,0,0,0,0,0,-0.00838435748107073,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.0418492529464851,-0.050943019885242,0,0,-0.0207250883999544,0,0,0.406457360351927,0,0,0,0.0459927297805855,0,0,0,0,0,-0.0134221853780028,0.117957133857466,0,0,0,0,0.0126738186722459,0,0,0,-0.053492462195968,0,0,0,0,0.0310205812768845,0,0,0.036659984899038,0.0601505897072649,0,0,0.0202936539202221,0.0102662057805544,0.221388209157802,0,0.0261885072052482,-0.0230819417945205,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0341683366952474,0,0,0,0,0,0,-0.132944427453151,0,0,0,0,0.0590564786846975,0,0.0354359437772321,0.0515171297324933,0,0.0497446629694621,0,0,0.126958046847978,0,0.0852449333278481,0,0,0,0.0139661319979216,0,0,0,0.0670847435040048,0,0,-0.0445555667035464,0,0.00952942377893899,0,0,0,-0.00656991982242278,-0.011890085276552,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.00260133258539332,-0.0406466963436118,0,0,0,0,0,0,0.208663477430932,0,0,0,0.0676291161069833,0.160950673952502,0,0,0.0900733044619199,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0553497683673039,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X002304.SZ,0,0,0.05526702015212,0,0,0,0,0,0.266690520032943,0,0,0,0,0,0.0279596905929319,0,0,-0.042092611806313,0,0.0236080753196456,0.240325674684199,0.0113017134549267,0,0,-0.0199755211670892,0,0,-0.0966176569032011,0,0,0,0,0.0912490908558535,0,0,0,0,0,0,0,0,0,0,0,0,0.0723550545677566,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.10763657215078,0,0,0,0,0,0.520459538408471,0,0,0,0,0,0,0,0.118657599419403,0,0,0,0.0611865500148107,0,0,-0.0575688533102435,0.0277361154113801,-0.179468781026708,0,0,0,0,-0.127169252335845,0,0,0,0,0,0,0,0.185134832654584,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0179677280911723,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234759047360084,0,-0.0052991653832806,0,0.366677214018007,0,0,0,0,0.0788644450314493,0,0,0,0,0,0,0,0,0,0,0,0.117890445178749,0,0,0,0,0,0.0669342796016458,0,0,0,0,0,0,-0.0256028171581634,0,0,0,0.120356810717567,-0.0705524382615695,0,0,0,0,0,0
X600809.SH,0.204225013534066,0.171996797747433,0,0,0,0,0,0,0.200902058773976,0,0,0,0,0,0,0,0,-0.0891613557306873,0,0.0173012308409791,0,0,0,0.176384731262116,0,0,0,0,0,0.0774825060085614,-0.0739314076516097,0,0,0,0,0,0,-0.0602504423216759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355019544564757,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0391310340710476,0,0,-0.0177263353093856,0,0,0,0.0869358176514418,0,-0.0800520353565266,0.129044750437513,0,0,0,-0.0476098011862876,0,0.426627330495339,0,0.11560937427755,0,0,0,0.0276198670324586,0,0,0,0,0,0,0,0,0,0,0,0,0.0717844852855752,0,0,0,0.235260587233102,0,-0.021974740964838,0.0317730665598441,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622962119051732,0,0,0,0.117749533966619,0,0,0.185541734868452,0,0,0,-0.134177613409638,0.11617585688442,0.0869932390836334,0.111061713983382,0,0,0,0,0,0.0559283828607258,0,0,0,0,0,0.0264548396536073,0,0,0,0,0,0,0,0,0,-0.0467249384725305,0.037735253839155,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0.194181058022682,0.339936927063147,0,0,-0.0619187442523114,0,0,0,0,-0.30290061671953,0,0.155665632148479,0,-0.409784561029412,0,0,0,0.082695987003553,0,0.352299701609685,0,0.00539536062421812,0,-0.00924604234659731,0,0,0,0,0,0,0.263947879175824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102944318089193,0,0,0,0,0,0
