,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X000568.SZ,X000661.SZ,X600703.SH,X600741.SH,X600809.SH,X002241.SZ,X000100.SZ,X000596.SZ,X300003.SZ,X002236.SZ,X601877.SH,X300014.SZ,X000157.SZ,X300124.SZ,X600183.SH,X002007.SZ,X300142.SZ,X000625.SZ,X000066.SZ,X002456.SZ,X002371.SZ,X002008.SZ,X300136.SZ,X002179.SZ,X600271.SH,X000977.SZ,X002463.SZ,X600584.SH,X002180.SZ,X000050.SZ,X600177.SH,X002508.SZ,X600066.SH,X600498.SH,X002129.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.164527508090301,0.0698762435784052,0,0,0,0,0.140354211263924,0,0,0.582447969098483,0,0,0,0.0442340531229505,0,0,0.0979157606256754,0.0289918325751999,0,0,-0.0219912608305423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0099613995074127,0,0,0,0,-0.0428944752207091,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0938662143811459,0,0,0,0,0,0,0,0.468679523056265,0,0,0,0,0.0192949360376766,0,0.0152603385318243,0.0134326682416035,0,0,0,0,0,0.0179608133539458,0,0,0,0.0141513669491297,0.0127184784997497,0,0,0,0,0,0.0287629093800763,0,0,0,0,0,0,0,0,0,0,0,-0.00287893586258654,0,0,0,0,-0.00714328542524876,0,0
X000651.SZ,0,0,0,0,0,0,0,0.162310186074443,0,0,0,0,0.254936460415998,0,0,0,-0.00729527293281831,0,0,0,0,0,0.0495257889484235,0,0,0,0,0,-0.151380963550637,0,0,0,0.0163845424063285,0,0,0,-8.67361737988404e-19,0,0,0,-0.00298290031570101,0,0.0382967215342395,0,0,0,0,0,0.208539899421722,0,0,0.0125524348441117,0.0235580639197089,0,0,0,-0.0378260340378279,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351649729610912,0,0,0,0.00761690117108152,0,0.162139435699468,0,0,0,-0.0268782811533959,0,0,0,0.107168871690077,0,0.131758660205257,0.0682013829646917,1.73472347597681e-18,0,0,0,0,0,-0.092193718015079,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517853759244822,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.0255419651587357,0,0,0,0,0,0,0.0857965043484485,0.0267669065558936,0,0,0,0,0,0,0,0.482488179160138,0,0,0,0,0,0,0,0,0,-0.0018801391878516,0,0,0,0,0,0.0498072430423021,0,3.46944695195361e-18,0,0,0,-0.103286750559289,0,0,0,0,0,0.127936310218175,-0.073462003419068,0,0,0,-0.127337700758255,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969196453683755,0,0,0,0,0,0,0,0,0.0101789339053881,0,0,0.0127972820807978,0,0,0,-0.0360292235742403,0,-0.0454708686740569,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0562732428012977,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908921639443534,0,0,-0.0258118224159384,0,0,0.211735666726461,0,0,0,0,0,0.0321629292674038,0,0,0,0,0,0,0.231003539395175,0,-0.0999846996366501,0.378109732806383,0,0,0,-0.0948266298588495,0.036735428235828,0,0,0,0,0,0,0,0,0,0,-0.0396410934766912,0,0,0,0,0.0454672769119876,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.0757147382902758,0,0.0800191981939226,0,0,0,0,0,0,0,0,0,0.0684234141307713,0,0,-0.0401962079168298,0,0,0,0,0,0,0,0,-0.108419544696069,0,0.102159090087717,0,0,0.0519612923759162,0.116932419573049,0,0,0.229319401405459,0,0,0,0,0,0,0,0.0859750664932034,0,0,0,0,-0.0300630123458225,0,0
X002304.SZ,0,0,0.011282091687024,0.0960743079325865,0,0,0,0.070648298084013,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0442740649738042,0,0.0723532142700833,0.0600035055837852,0,0,0,0,0,0.0783621885774848,0.0375649782266263,0,0,0,0,-0.00579561003218342,0,0,0,0,0.020314629755802,0,0,0,0,0,0,0,0,0,0,0,-0.00834749344581954,0.0338173570207629,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.0364273003026738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152062602287824,0,0,0,0,0.0617522484643634,0,0.0501875775605911,0,0,0,0,0.021718580718463,0.0348607515761069,0,0,0.0149589287194214,0,0.0229348628910489,0.0183760117680549,0.0424300995858869,0.0768289900029955,0.0019133230973444,0.0751573313956568,0,0,0,0,0.0418837154018682,0,0,0,0,0,0,0,0.0352247255392157,0,0
