,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X002371.SZ,X600104.SH,X000063.SZ,X003816.SZ,X000568.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002304.SZ,X000100.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X600418.SH,X002179.SZ,X002463.SZ,X600584.SH,X000977.SZ,X600183.SH,X000157.SZ,X600066.SH,X600089.SH,X002028.SZ,X600703.SH,X600372.SH,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000066.SZ,X000921.SZ,X002156.SZ,X600460.SH,X600839.SH,X002281.SZ,X000988.SZ,X002456.SZ,X000800.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0.0154321041064387,0,0.236074068267817,0,0,0,0,0,0,0,0,0.188933875629335,0.0207846376983361,0,0,0,0.0408603490041594,0,0.0656481475790609,0,0,0,0,0,0,0,0,0,0,0.0445829333130847,-0.0287990911128013,0,8.67361737988404e-19,0,0,0,0,-0.0491751044088575,0,0,0,0.0116242704776534,-0.00528282926951604,0,0,0,-0.0013421202124147,0,0
X000858.SZ,0,0,0.06411204027025,0,0,0,0,0.0810976523624186,0,0,0,0,0.482556141307584,0,0,0,0,0,0,0,0,0.114230613242276,0,0,0,0,0,-0.0507952770511805,0.0773702969866368,0,0,0,0,0,0,0,0,0,0,0,-0.0233645348682534,0,0,0,0.054868110796975,0,0,-0.061357597981969,0,0,0,0,-0.0118607414092128,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0932102558673689,0,0,0,0,0,0,0,0,0,0.0587819341225201,0,0,0.25001509634562,0,0,0.107672116903374,0,0.0504618996305318,0,0,0,0,0,0,0,0.118414895799506,0,0,0,0,-0.0367128094253126,0,-0.00554153168232655,0,0.0761162041219917,0,0,0.00636506664311014,0,0,0,-0.0131500569601105,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122691940487463,0,0,0,0,0,0,0.143037270113638,0.165196293639208,0,-8.67361737988404e-19,0,0,0,0,-0.0335662729904716,0,0.214119312921149,0,0,0,0,0,0,0,0,0,0.0771770180678894,0,0,0,0,0,0,0,0,0,0,0.0161585508235783,-0.00390979355090772,0.0933392125081183,0,0,-0.085791737208244,0,0
X002415.SZ,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0232061499672065,0,0.122968942847132,0,0.0862055180276344,0,0.0128245240090558,0,0,0,0,0,0.105788664508266,0,0,0,0,0,0.0892638548266909,0,0,0,0,0,0,0,0,0,0.00919771467397108,0,0,0,0,0,0.0156528764475321,0,0,-0.00224462287997085,0,0,0,0,0,0,-0.00414737264681167,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221613980995545,0,0.0518971990831377,0,0.0712964765803942,0,0,0,0,0,0,0,0,0.325525467632865,0,0,0.0182929700959342,0,0,0,0,0,0,0.020399352888948,-0.000531562493227727,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.130934109276656,0,0,0,0.0576912406355905,0.0416214399274922,0,0,0,0,0,0,0,0,0,0,0,0,-0.150099991619802,0,0,0,0,0,0,0.318109068653847,0,0,0,0,0,0,0,0,0,-0.0425184401847199,0.0282114034984194,-0.00568575715037925,0,0,0,0.067358758239689,0,0,0,0,0.00761432516862444,0.00993516938840219,0,0,0,0,0,0
X600809.SH,0,0,0,0.0342492482582459,0,0,0,0,0,0,0.0298646403652161,0,0.506568831420702,0,0,0,0,0,0,0,0,0.241510915502449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257592964525933,0,0,0,0,0,0,0,0,0.0226081918353793,-4.98133560529151e-05,-0.000682352639190685,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.00556188506522435,0,-0.0102621889935597,0,0,0.240381544685054,0,0,0,0,0,0.000694766491823482,0,-0.0101761315838212,0.0216861386491478,0.187512061966562,0.0043504746733484,0,0.180641696408603,0,0,0,0,0,0,0,0,0,0,0,-0.148606844554683,0,0,0.195861357920755,0,0,0.0580742277238709,0,-0.0760628589912347,0,0,0,-0.012448398495407,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411607383825946,0,0,0,0,0,0,0.128353083247217,0,0,0,0,1.16081825041894,0,0,0,0,-0.329763459725218,-0.297624233273928,0,0,0.192465737344725,0,0,0,0,0,0,0.0698017612109493,-0.0193081352251956,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.118355784062225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301478089597874,0.104295657515456,0,0,0,0,0,0,0,0.380348956607788,0,0,0,0.0305416153357203,-0.0528196246497885,0,0,0,0.00650613076228062,0.179249352172324,-0.0918883450765234,0,0,0,0.0365166255123224,-0.016964419283606,0,0,0,-0.00196033764048028,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487167252642698,0,0,0,0,0,-0.0537765230052104,0.0210500070379653,0.109381093290884,0,0,0,0,0,0,0.0862728385554392,0,0,0.00631049555932994,0,0,0,0.0494973847111715,0,0,0,0,0,-0.023661519770802,0.00801320263116844,-0.06148483377306,0,0.0349105321800502,0,0,0,0
X000568.SZ,0,0.369345248148007,0,0,0,0,0,0.216289063779513,0,0,0,0,0,0,0,0,0,0,0.0958852622542344,0,0,0.293557002219013,0.0192568921296606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073677946385133,0.0310788396573267,0,0,0.0218012836413156,-0.0108914226763143,0,0,0,0,0,0.0098848344512929,-0.0108072972677959,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254981270623539,0.0053307412993867,0,0,0.12123440875032,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0831917240471031,-0.022988057492922,0,0.0551142710296827,0.0690001425901041,0.0474307854839631,0,0,0,0,-0.0123772116312814,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.0222080638523076,0,0,0,0,0,0,0,0.124373910055474,0,0,0,0,0,0,0,0.159234032635664,0,0.0106728241557317,0,0.136537263392576,0,0.00660352535389605,0,0,0,0,0,0.247582048460534,0,0,0,0.00644688082494927,0,0,0,0.00785655955137098,0,0.0100205724783751,0,0,0,0,0,0.0173959394392432,0,0,0,0,0,0
