,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X600372.SH,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X002236.SZ,X600089.SH,X000100.SZ,X002475.SZ,X000581.SZ,X600118.SH,X000050.SZ,X000559.SZ,X600271.SH,X002294.SZ,X600066.SH,X002129.SZ,X000550.SZ,X601877.SH,X000568.SZ,X002456.SZ,X600435.SH,X002292.SZ,X300003.SZ,X300124.SZ,X000400.SZ,X000800.SZ,X600839.SH,X000869.SZ,X002049.SZ,X002038.SZ,X600566.SH,X000977.SZ,X002008.SZ,X000623.SZ,X002007.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000581.SZ,0,0,0,0,0,0,0,0,0,0,0.00449374900012251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109535898263319,0.242005157184602,0,0.033776347023966,0,0,0.0275487874027821,0,0.0126284534926989,0,0.119580472032526,0,0,0,0.0669107221125536,0,0,0,0,0.0405045175630997,0,0,0,0,0,0,0,-0.0200114190581758,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0.174886642823833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207328438728079,0.0611178154930459,0,0,0.136663718788648,0,0,0,0,0.0982990159632858,0,0,0.154044657411201,0,0,0,0,0,0,-0.00855205779752305,0.135840754822252,0,0,0,0,0,0.0186057936753065,8.67361737988404e-19,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,-0.578144831740141,0,0,0,0,0,0,0,0,0,0.118656008900344,0,0,0,0,0,0,0,0,0.543043806824168,0,0,-0.457286000386452,-0.101711663606114,0.358054493487928,0,0,0,0.151642748749645,0,0,0,0,0,0,0.870390201615158,-0.0228812781993341,0,0,-0.0639271137362537,0,0,0,0,0,-0.0715493853701825,0,0,0,0,0,0,0
X000559.SZ,0,0,0.274399051673588,0,0,0.0660575817404121,3.46944695195361e-18,0,0.0273447037170062,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0377811012127571,0.134866243647814,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053103439875879,0,0,0.254801091654931,0,0,0,0,0,0,0,0,0.41922424843595,0,0,0,-0.0168967008350874,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0.163786960254243,0,0,0,0,0,0,0.0808166974313416,0,0,0,0,0,0.120988562893994,0.0309995745910638,-0.014478176777667,0,0,0,0.0246925745641783,0,0,0,0,0,0,0,0.0260440483954632,0,0,-0.0490153152992727,0.0512248858037899,0,0,0.059735840641581,0,0,0,0.111767663362018,0.191664823701847,0,-0.0255615820387723,0.0356797110538249,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0.134128193539103,0,0,0,0,0,0.0591474560531777,0,0,0,0,0,0.0386093476707771,0,0.0204401649984127,0.0361607848577062,0,0,0,0.0801427429834607,0,0.0164649890747376,0,0.0460364373003263,0,0.0459128630489898,0,0,0,0,0,0,0,0,0,0,0,0.0293210960558348,0.0574235300468075,0.00560061138982165,0,0.013269241998561,-0.00800059290314034,0,0,0,0,0,0
X600066.SH,0.0891430021836145,0,0,0,0,0,0,0,0,0,0.122378667613962,0,0,0,0.201777359264224,0,0,0,0,0,0.0909592383215146,-0.144634655646804,0,0.0121313161662959,0,0.10400011793354,0,0,0,0,0,0.0436902345447566,0,0,0,0,0,0,0,0,0,0,0.0625056810596405,0,0,0,0,0,0,-0.0141666759199043,0,-0.00777238411984364,-0.00462070459868696,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.024315417944032,0,0,0,0,0,0,0.17449946351389,0,0,0,0,0.0678717993512792,0,0,0,0,0,0,0,0,0,0,0,0,0.182691852636141,0.338519111136085,0,0.0463161980893721,0,0,0,0,0,0,0.288302786323376,0,0,0,0,-0.0476030116068289,0.0481806516041654,0,0,0,0,0,0
X000550.SZ,0.0815886199415506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0862691723198931,0,0,0,0,0,0.0129423424604155,0,0,0,0,0,0,0,0,0.0761519270201156,-0.0104173319730892,0.194625249801714,0,0.16959647930033,0,0.203314955771326,0.0822857209817569,0,0.0335040819418089,0,0,0,0,0,0,0,0,-0.0118392542824095,0.0052565641465637,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0.0534496166284043,0,0,0,0,0,0,0.0908503392793843,0,0.000628813742334446,0,0,0,0,0,0,3.46944695195361e-18,0,0.0694996271696776,0.0869424616364954,0,0,0,0,0.193561453015672,-0.0444917321888814,0.0694642740463435,0,0,0,-0.0651379754640552,0.0231999464139901,0,0,0,0,0,0,0,0,0,0,0.0529724199030208,-0.0802853723071503,0,0,0,0,0,0
