,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X000338.SZ,X300003.SZ,X600031.SH,X601877.SH,X002008.SZ,X300124.SZ,X002456.SZ,X600867.SH,X600809.SH,X000625.SZ,X600271.SH,X600066.SH,X600487.SH,X002294.SZ,X000100.SZ,X000596.SZ,X600566.SH,X000981.SZ,X002241.SZ,X300142.SZ,X300136.SZ,X002180.SZ,X000661.SZ,X000050.SZ,X002508.SZ,X000157.SZ,X600522.SH,X002007.SZ,X002038.SZ,X002179.SZ,X600498.SH,X002049.SZ,X600089.SH,X600177.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.404400535163845,0.0566663078358712,0.0826874788637105,0,0,0,4.33680868994202e-19,0.0341967334911881,0,0.0259689113131062,0,0,0,0,0,0,0,0,0,0,0.0479429036318553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257763982185786,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.109506887561039,0,0,0,0,0,0.13678545583995,0,0,0,0,0.0644054479270434,0,0,0,0,0,0,0,0,0,0.144116735698833,0,0,0,0,0,0,0,0.0826224727263613,0,0,0,0,0,0,0,0,0,-0.0456773834747388,0,0,0,-0.100342700211362,0,-0.0341763900231226,-0.0531104735576218,0,0,0,0,0,0
X002415.SZ,0.0679457072949374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152826772818342,0,0,0,0,0.0881080772039277,0,0,0,0,0,0,0,0.140850281233312,0,0,0,0.177677687534266,0,0.237850965503691,0.029095147128455,0,0,0,0,0.0105839100093082,0,0,0,0,0,0,0,0,0,0,0,-0.00531004914383265,-0.021523881559857,0,0,0,0,0,0
X000858.SZ,0.250042795916105,0,0.000328707821500213,0,0.202068698564649,0,0.0204223518584582,0,0,0.0274007164733601,0.138329755280526,0,0.0764736282128449,0,0,0,0,0,0,0,0,0,0,0.126944814124177,0,0,0,0,-0.0605601094135939,0,0,0,0,0,0,0,0,0,0,0.0215849671686697,0,0,0,0,0,0,0,0,0,0,0,0.00995346914911686,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.424227109726364,0,0,0,0,0,0.278597494182858,0,0,0,0,0.0676592695233973,0,0,0,0,0,0,0.0346628396096925,0.0289629502675722,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0438751025737991,0,0.312933391790845,0,0,0.106757108300974,-0.0594584091767083,0,0,0,0,0,0,-0.143087127033372,0,0.0582410077192197,0.100840240507807,0,0,0,0,0,0
X600276.SH,0.0551203507345538,0,0,0,0,0,0.0924827888310754,0,0,0,0.0250809113981669,0,0,0,0,0,0.367116356863517,0.0792971720813624,0,0,0,0,0.119066083318492,0.0982858999361235,0,-0.0412116534691489,0,0,0,0,0,0.185444775778751,0,0,0,0,0,0.182076800886379,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048030395478186,0.0426521322567987,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.154042422931255,0,0.479647042828464,0,0,0,0,0,0.044637599703085,0,0,0,0,0.0495752255028273,0,0,0,0,0,0,0,0,0,0,0,-0.0651823825236438,0,0,0,0.255370263219252,0,0,0,0,0,0,0,0,0,0,0,0.0300314344198522,0.00558621437865736,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0201757252811787,0,0,0,0,0,0.0190423526743412,0,0,0,0.077980235823514,0,0,0,0,0,0,0,0,0,0,0,0.157804486001594,0.104498806346928,0,0,0,0,0,0.131468269873724,0,0.0150379922777887,-0.129343133986918,0,0,0,0,1.0842021724855e-19,0,0,0,0.0610475492561699,0,0,0,0,0,-0.00954664850744914,0.0305726499998685,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046579354370768,0,0,0.0840555679403935,0,0,0,0.152478630064692,0.0132818836397746,0,0.264380080220051,0.01863644384608,0,0,0,0,0,0,0.0975981330291778,0,0,-3.46944695195361e-18,0,0.00743024834365875,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.376834075756605,0.0168644738011146,0,0.166332587033255,0,0,0,0,0,0.0260727391086156,0,0,0,0,0,0,0,0,0,0,0.0246530637672134,0,0,0,0,0,0,0.0916829422927954,0,0,0,0,0,0,0,0,0.0620390679706255,0,0,0,0,-0.0469416947408993,0,0,0,0,0,0,0.0102572456804821,0,0,0,0,0,0,0
