,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000725.SZ,X600031.SH,X002129.SZ,X000063.SZ,X300014.SZ,X000596.SZ,X003816.SZ,X002371.SZ,X000625.SZ,X000338.SZ,X002049.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002180.SZ,X002241.SZ,X600702.SH,X601877.SH,X300142.SZ,X600741.SH,X000157.SZ,X000733.SZ,X600522.SH,X002074.SZ,X600584.SH,X000977.SZ,X000799.SZ,X600460.SH,X002236.SZ,X000066.SZ,X300003.SZ,X600183.SH,X002007.SZ,X600884.SH,X601799.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.110593765675574,0,0,0.0611937908608223,0,0.267814665541347,0,0.0451598355832901,0,0,0,0,0,0,0.0588528504927856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728546812273667,0,0,-0.108248493917076,0,0,0.00768652556618921,0,0,0,0.0636553550798848,0,0.0382461689616606,0,0,0.0454172972295595,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0753655142747796,0,0.121931435920364,0,0.580635474226442,0.0686335650740928,0,0.168670477845409,0,0,0,0.0611562993077717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320536691660983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463605261689482,0.0147780277515172,0,0,0,0,0,0
X002415.SZ,0,0.214055108602713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049053267208474,0,0,0.188077591374264,0,0,0.0705151855401353,0,0,0,0,0,0,0,-0.196327974557977,-0.0536298179798063,0,0,-0.0145986554462833,0,-0.144406729413734,0,0,0,0,0,0.231789297801255,0,0,0,-0.0399830338555695,0,0,0.0373547696279326,0,0.0303676590492524,-0.0309943238118242,0,0,0,0,0,0
X000568.SZ,0,0.496012797098632,0,0,0,0,0.347614422971201,0,-0.0325417265362138,0,0,0,0,0,0,0,0,0,0,0.0342222950730904,0,0,-0.153656260462042,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185098706012661,-0.119989020310249,0,0,-0.0440264278391429,0,0,0,0,0,0.245624230620806,0,-0.0818588380771124,0,0,0,0,-0.0114452283051095,0,0,0,0,0,0
X600809.SH,0,0.00479546845386818,0.137990023336463,0.174798383919733,0,0,0.188260331058743,0,0,0,0,0,0,0.0295443107700389,0,0,0.0213993550495801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282967496436526,0,0,-0.0960470737967647,0,0,0,0,0.0184895947626427,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0863429033837751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105435897709975,0,0.00702117202830336,0,0,-0.153648273029291,0,0.216248952255581,0,0,-0.0192201283863622,0,0.0129041054639703,0,0,0.0131943750377383,0,0.125658445036893,0,0,0,0,-3.46944695195361e-18,0,0,-0.0496700505000276,0.0446129614181136,0,0,0,0,0,0
X002304.SZ,0,0.295090309834432,0,0.382646491127415,0,0,0,0,0,0,0,0,0,0.0807253987691286,0,0,0,0.183033701680841,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-0.0623868477667492,0,0,0,0,0,0,0,0,0,0.0172193178427656,0,0,0,-0.0655395321329316,-0.0192755982885455,0,0,0,0,0,0,-0.00205813707397961,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0393227584312697,0,0,0,0,0,0,0.0741763598738782,0,0,0.251381502784821,-0.0236937499495419,0,0,0,0,0,0,0,0,0,0,0,0.0130087981848673,-0.0120978238118708,0,0,0,0,0,0,0,0,0,0,0,0,0.0754539217423583,0,0,0,0,0,0,0,0,0.0211709487706582,0,0,0.000292843523569656,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.384480278500728,0,0,0,0.0916624877413391,0,0.159042670033551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672226049892442,0.198192023843572,0,0,0,0,0,0,0,0,0,0.0693210271277229,0,0,0,0.535877472918813,-0.0143939454561986,-8.67361737988404e-19,0,0,0,0,0,0
X000651.SZ,0,0.177044350207599,0,0,0,0,0,0.267183130716641,0.00992247928897813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267375124523729,0,0,0,0,0,0,0,0.0470748758061038,0.0407858865882228,0,0,0,-0.00554622364037139,0,0,-0.0136088613600673,0,0,0,0,-0.0426966831827652,0.0440461740090144,0,0,0,0,0,0,-0.00581000187935869,0,0,0,0,0,0
X300124.SZ,0,-0.10009123638458,0,0,0,0,0,0.0285302048764414,0.192326823818695,0,0,0,0,0,-0.0134004400173206,0,0.0400604699613542,0,0,0,0,0,0,0,0,0,0,-0.309972279887997,0.00526674603973346,0.0298306711192231,0.110301222037987,0.0408441635910478,0,0,0,0,0,0,0,0.2581834769443,0,0,0,0,0,0,0.268836094283059,0,0.122991136871099,0,0,-0.0598780970561042,0.0264317739049776,0,0,0,0,0,0
X600104.SH,0,0,0,0.0826837725338067,0,0,0,0,0,0,0,0,0.102925960141238,0.0727529780791892,0,0,0,0,0,-0.0498405260256651,0.114108914242432,0,0,0,0,0,0,0,-0.0557132318400723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432329044041843,-0.0361629342959994,0,0.0242849092268651,-0.0211448652635099,0,0,0,0,0.0241304753847853,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0730235123943754,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0732183231398271,0,0,0,0,0,0.0205315930076081,0,0,0,0.133110135596686,0,0,0,0,0,0,0,0.027937109331285,0,0,0,0.112736864923375,0,0,0.0482786027811418,0.169012914453954,0,0,0,0.0957668429304828,0,0,0,0,-0.011903631577988,0.0110227221943266,0,0,0,0,0,0
X600031.SH,0,0.122688368647694,0,0,0.0991990853380473,0,0,0.223887939435464,0,0,0.0096469163631011,0,0,0,0,0,0,0,0,0,0,0,-0.047463793442051,0,0,0,0,0,0.0564170165406273,0,0,0,0,0,0.317068689208396,0,0,0,0,0.0971977030400292,0,0,0,0,0,0,0.0712596842346859,0,-0.0201254103764775,0,0,0,-0.0234769236311714,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432823254862481,0,0,0,0.202626641300531,0,0,0,0,0,0,0,0,0,0,-0.0239645195811904,0.00883179604535779,0,0,0,0,0.446745248649061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242051420495538,0,0,0,0,0,0,0
