,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X300124.SZ,X002304.SZ,X600104.SH,X000625.SZ,X000725.SZ,X002371.SZ,X000338.SZ,X000063.SZ,X600031.SH,X000596.SZ,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X002241.SZ,X600703.SH,X600372.SH,X002129.SZ,X002236.SZ,X000661.SZ,X000157.SZ,X002049.SZ,X600741.SH,X600584.SH,X000977.SZ,X601877.SH,X600522.SH,X600183.SH,X002463.SZ,X002028.SZ,X002007.SZ,X000800.SZ,X002074.SZ,X600460.SH,X300142.SZ,X002294.SZ,X601799.SH,X002223.SZ,X600418.SH,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.105696340051544,0.337046212021626,0,0.0430891122482541,0,0,0,0,0,0.0018800705015626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00959954174492403,0,0,0,0,0,0,0,0.152331563763097,0,0,0,0,0,0,0.07188519985035,0,0.0124072060667828,0,0,-0.0066032014471084,0,0,0,0,0,0,0
X000858.SZ,0.152500708360448,0,0,0,0.0977737000918729,0.332320956473275,0,0.0287336729825823,0,0,0,0,0,-0.0394116811561147,0,0,0,0,0,0,0.00489109839369008,0,0,0,0,0,0,0.118888535518738,0,0,0,0,0,0,0.0154637048392771,0,0.0434675580379869,0,0,0,0,0,0,0,0.0512474105830115,0,0,0,0,0,0,-0.00609781226589249,0.00431491131527385,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0702782077616361,0,0,0,0,0,0,0.0240567879598966,0.300293921876369,0,0,0,0,0,0,0,0.225419581785825,0,0.0540369372342359,0,0,0.143919721425945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136565198164015,-0.002136038158031,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.115154597853946,0,0,0,0,0,0.00761649952479369,0,0,0.121537041051467,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.133724528770948,0,0,0,0,-0.0385737359827785,0,0,0,0,0,0.0572536031664106,0,0,0,0,0.146770945124028,0,0.0799396349096732,0.0155879441727649,0,0,0.0164141899475025,-0.0199405986764305,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.493290091655848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331030195385341,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.00350499315930705,0,-0.0292621510643722,0,0.0803998466882328,0,0,-0.0572958121118915,0,0,0,0,0,0,0,0,0,-0.0292058246241857,0.0200579667637071,0,0,0,0,0,0
X000568.SZ,0,0.476558987256664,0,0,0.478011037315569,0,0.0593786554230229,0,0,0,0,0,0,0,0,-0.0751173637417841,0.0484555221232444,0,0,0,0,-0.010128898858862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102828366384345,0,0,0,0,0,0,0.0428203986566868,0,-0.0376165369297479,0,-0.0455012149966036,0,0,0.0124212485675729,-0.00800992200143235,0,0,0,-3.46944695195361e-18,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232344835054849,0,0,0,0,0,0,0,0,0,-0.103025073985185,0,0.0685209593198775,0.12149577167694,-0.021073809580757,0,0,2.16840434497101e-19,0,0,0,0,0.043868384474735,0,0.105134260181643,0.0529575401455367,0,-0.0260912219347026,0,-0.0321305010897658,0,0,0,0,0
X600690.SH,0,0.0785062101138897,0,0.0511018853177342,0,0.218455433916148,0,0,0,0,0,0,0,0,0,0,0.074410227132486,0,0,0,0,0,0,0,-0.0174297204660619,0,0,0.0136239211651935,0,0.0747069342850263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149145987168396,0.0224500482181326,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0304720140149137,0,0,0.484091410888813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147686757450444,0,0,0,0,0,0,0.0661799312075184,0,0,0,0,0.0892171080996856,0,0,0,0,0.0626063187833328,0,0,0,0,0.078288079041416,0,0.254307559489541,0,0,0,0,0.0284725350697001,-0.0848805010903553,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.0358788572575102,8.67361737988404e-19,0,0,0,0,0,0,0.0824811196945866,0,0,0.0996798334536411,0,0,0,0,0,0,0,-0.107945710527935,0,0,0,0,0,0,0,0,0,-0.0114353535976485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443764859461796,0,-0.0128170500194493,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.247000413377318,0.0242505839003967,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.320890909574792,0,0,0,0.0517190675490411,0,0,0,0.102286439217442,0,0.025296017207918,0,0,0,0,0,0,0,0,0,0,0,-0.0430825044452593,0,0.30959028792408,0,0,0,0,0,0,-0.000683882295828033,0.0204285772552954,0,0,0,0.00398394358670179,0,0
X002304.SZ,0,0,0,0,0,0.391918701255984,0,0,0,0,0,0,0,0.0350558675150195,0,0,0,0.0845833328763144,0,0,0.145014239548751,0.102900315294301,0,0,0,0,0,0,0,0,0,0,0,0,0.0352979006512247,0,0,1.73472347597681e-18,0,0,0,0.0461367609006729,0,0,0,0,0,0,0,0.024308177349167,0,-0.00627533998587637,-0.0113043911432898,0,0,0,0,0,0
X600104.SH,0.153987715582482,0,0,0,0,0.0977537174215662,0,0,0,0,0.158476362489442,0,0,0,0,0,0,0,0,0,-0.00269385622790908,0,0,0,0,0,0,0,0,0,0,-0.0319506274074488,0.118286801501513,-0.0501284924080262,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.107471667939469,0,0,0.0951105137005942,0,0,0.0115979691847828,0.0202794989940036,0,0,0,0,0,0
