,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600690.SH,X000568.SZ,X600276.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X002304.SZ,X000625.SZ,X600031.SH,X000596.SZ,X000063.SZ,X000100.SZ,X002179.SZ,X300014.SZ,X000157.SZ,X600089.SH,X600703.SH,X002463.SZ,X600372.SH,X000977.SZ,X002236.SZ,X002241.SZ,X600066.SH,X000921.SZ,X002028.SZ,X600741.SH,X600522.SH,X600183.SH,X002049.SZ,X000661.SZ,X600584.SH,X601877.SH,X002129.SZ,X000800.SZ,X002180.SZ,X002074.SZ,X002223.SZ,X002085.SZ,X600177.SH,X600487.SH,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.248978381746453,0,0,0,-0.0097863413769887,0,0,0,0.00341248627692242,0,0,0.027554801757149,0,0.0652068294398132,0,0,0,0.026744262974986,0,0,0,0.00858886796055087,0,0,0,0,0,0,0,0,-0.0164710794182444,0,0,0,0.0175965840503767,0,0,0,0,0,0,-0.0120934247951609,0,0,0,0,-0.012336019368168,-0.0101850405880181,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.398842005589077,0,0,0,0,0,0,0,0,0,0.226786021459459,0,0,0.111776170219317,0,0,0,0,-0.053833957935043,0,0,0.0446990200856131,0,0,0,0,0,0,-0.0059506898231408,0,0,0,0.0370735788361172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314685677749208,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.32277398344498,0,0,0,0,0,0,0,0.153337871592481,0,0,0,0,0.131994190548751,0,0,0,0,-0.154448570588563,0,0,-0.0480415789149767,0,0,0,-0.00725147005005362,0,0,0,0,0,0,0,0,0,0,0,0,0.144869894577505,0,0,-0.0325847143108154,0,0,0,0,-0.0653555441991637,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0410637921295201,0,0,0.0733740017324247,0,0,0,0,0,0,0.138417569485427,0,0,0,0,0,0,0.0531152932563333,0,-0.0620390701822224,0,0,0,0.00997105801512752,0.19505014364285,0,0,0,0,0,-0.0381444918970186,0.0553483204604806,0.0503375910039578,0,0.0154842947166825,0,0,0.0500730578403851,0,0,0,2.16840434497101e-19,0,0,0,0,0,-0.0114122092077785,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.134686744168572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740528571521206,0,0,0,-0.0420042210775354,0,0,0,0,0,0.306872973270436,0,0,0,0,0,0,0,-0.0804450895430333,0,0,-0.0807377969981651,0,0,-0.0453092905739869,0,0,0,0,-0.02144787534197,0.00592881731898462,-0.0788027355700264,0,0,0,0,0
X000568.SZ,0,0.73326638049096,0.456924723463098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147407129830521,0,0.00244332644483581,0,0,0,-0.158883853169533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106885777568471,0,0,0.0293588007417917,0,0.063496805802508,0,-0.029220482973805,0,0,0.00233723160551554,0.033559129173151,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334703056511072,0.225521843463658,0.124899538076209,0,0,0,0,0,0,0,0.00984362894861873,0,0,0,0,0,0,0,0,0.2821322437473,0,0,0,0,0,0,-0.106665819914314,0,0,0.21730039159209,0,0,-0.0216013047311025,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.232830167261802,0.100355290903062,0,0,0,0,0,0,0.129553777180767,0,0,0,-0.164380627830894,0,0,0,0.148605014712758,0,0,0.129307434188317,0.2625305335295,0,0,0,0,0,-0.0538239035382733,0,0.0652484354250618,0,0,0,0,0,0,0,-0.137375345110253,0,0,0.0316585596245335,0,0,-0.0171150038278667,0,0,0,0,0,-0.0219396636753422,0.0465119629060115,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,-0.109491283162229,0,0,0,0,0,0.391477204314604,-0.00337643672683039,0,0,0,-0.0726575647353524,0.0936419321029025,0,0,0,0,-0.0364890122734725,0,0,0,0.380182456252974,0,0,0,0,0,0,0,0,0.0952035006458309,0,0,0,0,0,0,0.0273588088420201,0,0,0.240285693008645,0,0.0705460503244581,-0.0321509279129726,-0.20015109010173,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.361689500679665,-0.0677934483855884,0,-0.043856904721656,0,0,0,0,0,0,-0.146607562768682,0,0,0,4.33680868994202e-19,0,0,0,0,0.0829700217618936,0,0,0,0,0,-0.0529897407302202,0,0,0,0,0,0,0.0376026733903461,0,0,0,0,0,0,0.0828480833345965,0,0,0.277510941348489,0,0.0518528266724969,0,-0.0363114391641219,-0.0409757261427723,0,0,0,0,0,0
