,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X002475.SZ,X600741.SH,X002241.SZ,X002236.SZ,X600031.SH,X600066.SH,X002456.SZ,X000338.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X300136.SZ,X002085.SZ,X600177.SH,X600271.SH,X002008.SZ,X300003.SZ,X600522.SH,X000157.SZ,X600089.SH,X002007.SZ,X600118.SH,X002294.SZ,X600867.SH,X600487.SH,X000066.SZ,X600699.SH,X600372.SH,X002180.SZ,X600809.SH,X600566.SH,X000559.SZ,X000050.SZ,X300115.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.124306123602556,0,0,0.169082245056168,0.0324481624551272,0,0,0,0,0,0,0,0,0,0,0,0,-0.103708252987363,0,0,0,-0.0346581315283174,0.215582557092187,0,0,0,0.13905590582264,0,0,0,0,0.159708948555602,0,0,0,0,0.0874127011159828,0,0,-0.0203541221383666,0,0,0.00417703875874911,-0.0161776249416225,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0610385185293255,0,0.212844191649136,0,0.100541881983605,0,0,0,0.29596769833206,0,-0.0165602897752792,0,0.139095898629896,-0.0736748527991167,0,0,0.0419426732111734,0,0,0,-0.0815230888415615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0787292991495431,0,0,-0.0167436792441412,-0.0134770481977181,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0659505551137061,0,0,-0.175443070720185,0,0,0,0,0,0,0,0.335643785023348,0,0,0,0,0,0.291028417755826,0,0,0,0,0,0.0787624642714052,-0.0279314939479722,0,0.0481718773908826,0,0,0,0,0,0,0,0,0,0,-0.0315712041062475,0,0,-0.312107422502258,0.0894105813191153,0,0,0.0094592543872296,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.090559099087674,0,0,0.0539320949439458,0,0.194837649145298,0.0377568907117662,0,0,0,0,0.00868706706372976,0,0.0954655572612422,-0.0226376133908766,0,0,0,0,0,0,-0.00400797399247886,0,0,0,0,0,0,0,0,0,0,0,0,-0.00809768102937631,0,0,0,0.155633974432719,0,0,0,0,0,0.0178131540213101,0.00134140529938702,0,0,0,0,0,0
X000858.SZ,0,0,0,0.103630772062419,0,0,0,0,0,0,0,0.595032648486483,0.00871726573679373,0,0,0,0.0673984360724426,0,0,0,0.00387517117066607,0,0,0.0613506370833309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282178169438806,0,0,0.0452628742533554,0,0,-0.00811831406008709,-0.00297863085967389,0,0,0,0,0,0
X000725.SZ,0,0,0.50221644188837,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0642639709984598,0,0,0,0,-0.039786050850445,0,0.106296133286872,0,0,0,0,0,0,0,0.520887617458767,0,0,0,0,0.108248868773486,0,0,0,0,0.0240038404190784,0.12622488482726,0,0.0452339602451172,0,0,0,0,-0.11732039939699,0.126289510237755,0,-0.04948754575333,0.0495737054921328,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,-0.0505355126295587,0,0.0734629446194332,0,0,0,0,0,0,0,0,-0.0253380636064255,0,0,0,0,0,0.133587095059316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585760934798413,-0.0924693031542701,0,-0.0880569906507654,0,0,0,0,0,-0.0748336291987961,0,0.0109942544847381,-0.00217132540700635,0,0,0,0,0,0
X002304.SZ,0,0.0856823664905362,0,0,0,0,0,0,0.228287997456552,0,-0.0562448647747449,0,-0.113244762268565,0,0.383263968324844,0,0,0,0,0,0,0,-0.0468629008094984,3.46944695195361e-18,0,0,0,0,0,0,0.474224173294721,0,0,0,0,0,0,0,0,-0.0459485053517792,0,0,0,0.35950770011251,0,0,0,-0.0979849848998769,0,0,0.0709379592766414,0,0,0,-0.109571709890935,0,0
X600690.SH,0,0.360812679501243,0,-4.33680868994202e-19,0,0,0,0.134731012398068,0,0,0,0,0.0987124274906188,0,0.0990295413545186,-0.0454016208167802,0.0840663690430955,0,0,0,0,0.0361846553482128,0,0,0,0.0190491439814581,0,0,0,0,-0.0857753930697778,0,0,0,0,0,0,0,0,-0.0569232397511605,0,0,0,0,0,0,0,0.0987176292145697,0,0,-0.00968925138507133,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.11106545968965,0,-8.67361737988404e-19,0,0,0,-0.0493231290904056,0,0,0.0296887561929562,0,0,0,0,0,0,0,0.0189901682735899,0,0.0356600360234818,0,0,0,0,0,0,0,0,0,0.106666264271046,0,0,0,0.0550532709461872,0,0,0.212994975448225,0,0,0,0,0.087944869789141,0,0,0.0251594289942425,-0.0321007024803156,-0.0810959013327822,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.112510683511731,0,0,0,0,0,0,0,0,0,0,0.00761753334002405,0.0276711555850182,0,0.0986082526029084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212902206003992,0,0,-0.0148444389921004,0,0,0,0,0,0,0,0.0190337792829053,-0.0150170679793148,0,0,0,0,0,0
X000568.SZ,0,0,0.191361502968987,0.0666357250043183,0.634018191287894,-0.0427221817928196,0,0,0,0,0,0,0,0,0,0,0,-0.0230330522361596,0,0,-0.0340891438347789,0,0,0,0,0,0,0,0,0,0,0.00384291426884675,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.14967885528018,0,0,-0.00698846069308921,0,0,0.00812918120015716,-0.00583037938892894,0,0,0,0,0,0
