,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000625.SZ,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X600066.SH,X000157.SZ,X600118.SH,X002236.SZ,X000559.SZ,X600089.SH,X600741.SH,X600372.SH,X000338.SZ,X002241.SZ,X002475.SZ,X002292.SZ,X000016.SZ,X600177.SH,X600839.SH,X000066.SZ,X000568.SZ,X300124.SZ,X002465.SZ,X002294.SZ,X300003.SZ,X600312.SH,X000800.SZ,X600867.SH,X002074.SZ,X002129.SZ,X000869.SZ,X600525.SH,X000581.SZ,X600582.SH,X600498.SH,X000977.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.128518447907316,0,0,0,0,0.25153868950124,-1.38777878078145e-17,0,0,0,0,1.73472347597681e-18,0,0,0.0697798326787295,0,0,0,0,0.0240062591836068,0,0,0,0,0.0100537797022,0.0401133465627574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272937853510168,-0.110302850750676,0,0,0,0,0.00235823423823349,0.0380405084386774,0,-0.00511172440157036,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.327147083303978,0,0,0.0193525804517605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154754483982723,0.0392390882423607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724014178626316,0,0,0,0,0,0.0231055970103196,0.0282465901380436,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.206971445623428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136431141238574,0,0,0,0.201160444933809,0.0632346680651956,0.0338617314122981,0,0,0,0,0,0,0,0,0,0,0,0,0.130568888190017,0,0,0,0,0,0.0506071885272408,0,0.163899363643061,0,-0.039820358391169,0.0114699897130897,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.188209603321714,0,0,0,0.0218075564376411,0,0.129119640444613,0,0,0,0,0.325514662715752,0,0,0,0,-0.0411959876037875,0,0,0.0162182220624651,0,0,-0.0494940507082018,-0.00297356128714659,0,0,0,0.00681541744442042,0,0,0,0.103498415782861,0,0.143454963884432,0,0,0,-0.00120624959265533,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0360649915152593,0.121772555825108,0,0,0,0,0,0,0.08416478730011,0,0,0,0,0,0,-0.0268290219571034,0.00587720359184323,0,0,0,0,0.024603702212484,0,0,0.164248116978785,0,0.327286974256414,0,0,0,0,0,0,0,0.0147890568716795,0,0,0,0,0,0.0495488263952928,0,0,0,0,-0.0142358401167573,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0600032986289863,0,0.160173652727348,0.328962744709358,0,0,0,0,0,0,-0.0297681877722694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953229499312818,0,0.290856313048001,0,0,0,-0.134664709851296,0,0,0,-0.00483173078328751,0,0,0.0217023121502486,0,0,0,0,0,0,0,-0.0222666422610217,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.049926735209021,0,0,0,0,0,0,0,0,0.141466776177064,0.144924203748679,0,0.0152438876264602,0,0,0,0.366622167331128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0612188763519098,0,0,0,0,0,0,0,0,0.0239391544274866,0,0,0,0,0,0,0
X002304.SZ,0,0.301289246039898,0,0,0,0.163820705317267,0,0,0,0.0358798190157999,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.104027891726609,0,0,0,0,0,0,0,0,0,0,0.159365079662081,0,-4.33680868994202e-19,0,0,0,0,0.0522106757117611,0,-5.29395592033938e-23,0,0,0,0,0,0,0,0.0105866406451623,0.0169645844820999,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0614977888769258,0,0,0,0.0812520449337508,0,0.0570360749427841,0.166308841003842,0,0.000632120800231731,0.245062534686236,0.00555799656217989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515832441828257,0,0,0,-0.01167910530932,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.0346487515012491,0,0,0.325222638431365,0.127707295282861,0,0,0,0,0,0,0,0,0,0.0127658293148966,0,0,0,0,0,0,0,0,0,0.103697389698865,0.0757562423584739,0,0,0,0,0.106031067366225,0,0.047662549390555,0,0,0,0,0,0,0,0,0,0.0157852569509676,0.0137986287342473,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177797403626196,0.0233912760526028,0,0.0568548207456784,0,0,0,0,0.17722091788809,0.0588309553127568,0.132864804320716,0,0,0,0,0,0,0,0.104889213167416,0,0,0,0,0,0,0,0,0,0.012394165601569,0,0,0,0,0,0,0,0.00685411461138429,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16745247554383,0.288399310891579,0.0147281414871416,0.164166932133854,0,0,0,0,0,0,0,0,0,0.00806011283475258,0,0,0,0,0,0,0,0.050451649917795,0,0,0,0,0,0,0,0,0,0,0,-0.00268360358044353,-0.0149944032406464,0,0,0,0,0,0
