,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X000625.SZ,X000725.SZ,X002371.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X000157.SZ,X600089.SH,X002179.SZ,X002236.SZ,X600703.SH,X002463.SZ,X000977.SZ,X600372.SH,X002241.SZ,X600741.SH,X002049.SZ,X000661.SZ,X002129.SZ,X600066.SH,X600584.SH,X002028.SZ,X600522.SH,X000921.SZ,X601877.SH,X000800.SZ,X601799.SH,X600183.SH,X002074.SZ,X600418.SH,X002223.SZ,X600566.SH,X002007.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.250428973762899,0,0.0933981807500148,0.105231262433769,0,0,0.146788883623381,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0423234553173736,0,0,0,0,0,0,-0.0653653230126651,0,0,0,0,0,0,0,0.0785869333711142,0,0,0,0,0,0,0,0,0,0,0,0,-0.0277510798641026,0,0,0.00641756207262328,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.534205458367829,0,0,0,0,0,-0.00241883111721105,0,0,0,0,0.0317223584636023,0.0513490549932253,0,0,0,0,0,0,0,0,0,0.0208474924359325,0.0493318559063877,0,0,0,0,0,0.0606362364368849,-0.0398775892482256,0,0,0,0,0,0,0,0,0.0341042178607569,-0.0119011528384456,0,0,0,0,0,-0.041116590074916,0,0,0,0,0,0,0
X600809.SH,0.358637060098423,0,0,0,0,0.0971512405761791,0,0,-3.46944695195361e-18,0.0248296984608021,0,0,0,0,0.028629432475505,0,0.145050262532098,0.0782571661588263,0,0,0,0.149526665427535,0,0,0,0,0,0,0,0,0,0,0,0,0.00430796203379113,0,0,0,0,0,0,0,0,-0.026463373446415,0,0,0,0,0,0,0,-0.00580859592404067,-0.0288500387516615,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.11700668186196,0,0,0.0367526840458179,0,0,0,0,0,0.041038087880866,0,0,-0.0680649729136161,0.0242906378989611,0.172489455544161,0,0.00528562765352284,0,0,0,0,0,0,0,-0.0445253683447403,0.00506424343295503,0,0,0,0,0.0960425741321316,0,0,0,0,0,0,0,0.0206560179012441,0,2.16840434497101e-19,-0.0240462461707324,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,-0.173596265605882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227597148211378,0,0,0,0.0466352058352412,0,0,0,0.219959437596702,0,0,0.089103625535296,0,0.0136598011186243,0,0,0,0,0,0,0,0,0.133096292381115,0,0.0616072934517907,-0.0146351807311555,0.0113694624836904,0,0,0,0,0,0,0
X000568.SZ,0,0.965202812286149,0,0,0,0,0,0,-0.0124264043822363,0,0,0,0,0,0,0,0.0429693316320275,0,0,0,0,0,0,0,-0.0229396638735856,0,0,-0.0537125895295956,0,0,0,0,0,0,0.115792564113224,0,0,0,0,0,0,0,0,0,0,-0.0235536728061361,0,0,0,0,0,0.0109686226277992,0.000167672740228015,0,0,0,0,0,0
X600690.SH,0,0,0,0.0384085859407804,0,0,0,0.207624164439245,0,0,0,0,0,0,0,0,0.0593275948310413,0,0,0,0,0,0,0,0.126857192815854,3.46944695195361e-18,0,-0.136266810100869,0,0,-0.0853230438537501,0,0,0,0.0138460991294886,0,0.0507859992821017,0,0,0.216293252160821,0,-0.0351434520075758,0.0131029623756824,0.0663949983115675,0.0221561238400013,0,0,0,0,0,0,-0.0218091132998153,0.006009284203012,-0.0601833378707733,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.0892817879924908,0.0305408276474593,0.0174900798974252,0,0,0,0,0,0,0,0.0463632077222146,0,0,0,0,0,0,0,0,0.353936404697614,0,0,0,0,0,0,-0.0820974044061239,0,0,0,0,0,0,0,0,0.110199542637185,-0.0702731886474898,0,0,0,0,0,0,0,0,0,0,-0.0307689607773416,0.0165851435633793,0,0,0,0,0,0
X002475.SZ,0.249279116489193,0,0,0,0.0384321901700552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0777132256239895,0,0.286648100482254,0,0,-0.0263996097809881,-0.07046691419611,0,0.333658606966521,0,0,0,0,-0.0894576496971611,0,0,0,0,0,0,0.173308039201974,0.122932405763647,0,0.0517791234844162,0,0,0,0,0,-0.0108111934909965,0,-0.198904995887603,-0.133713827945686,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.221273718166859,0,0,-0.0437542114761085,0,0,0,0,0,0,0,0,0,0,0,-0.0185303029566778,0,0,0.25025164488446,0,0,0,0,0,0,-0.0411229152072301,0,0,-0.0733484881318639,0,0,0,0,0,0.25286035094755,0,0.154171640842439,0,0,0.18473564780673,-0.130437918688514,0,0.241400833895316,0,0.0335950327769657,0,-0.000656300280812289,-0.0852772685237975,0,0,0,0,0,0
