,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X000338.SZ,X600031.SH,X002475.SZ,X000625.SZ,X600809.SH,X002008.SZ,X601877.SH,X002508.SZ,X600066.SH,X600487.SH,X002456.SZ,X000100.SZ,X002241.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600867.SH,X600271.SH,X600089.SH,X600522.SH,X600177.SH,X000157.SZ,X000596.SZ,X000981.SZ,X002085.SZ,X600566.SH,X300136.SZ,X600498.SH,X600707.SH,X002179.SZ,X300142.SZ,X000661.SZ,X600699.SH,X002180.SZ,X600118.SH,X600201.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.118939027182642,0,0,0.613607040393543,0,0.171386195462437,0.0228924649680412,0,0,0,0,0,-0.0231322561259137,0,0,0,0,0,0,0,0.0252092772103823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000818142806557259,0,0,0,0,0,0.0878070535232543,0,0.00940062501894009,0,0,0,0,0,0,0,0.0043335968367498,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0407674281509657,0.156235737813542,0,0,0.12903485881544,0,0,0,0.0801015976126242,0,0,0,0,0,0,0,0.0334781280114726,0.0499839255173011,0.0282775089952505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148047817153702,0,0,0,0,0,0,-0.0213087923302854,0.0365985891492677,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184934529534232,0.0556029620726515,0.090411917210526,0,0,0,0.318350828773496,0.0686221255253258,0.122663819526298,0.0210605654921995,0.120804740454735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409508989344217,0,0,0,0,0.130107974645803,-0.0665736387665021,0,0,0,0,-0.0113451939062424,-0.0179878775114788,0,0,0,0,0,0
X000651.SZ,0,0,0.0222132825201993,0,0.337580952592459,0,0,0,0.0820474724299114,0.164441202705193,0,0,0,0.0124586837328912,0,0.0489277827347814,0,0,0,0,0,0.04204300062355,0,0,0,0,0,0,-0.0647647199883653,0,0,0,0,0,0,0,0,0,0,0,-0.0338265970496292,0,0,0,0.0168872546359671,0.112111733674319,0,0,0,0,0,0.00410603369040037,0.00913494374202481,0,0,0,0,0,0
X000858.SZ,0.280865999181429,0,0,0.0168829621303951,0,0,0,0.0755382886210578,0,0.0485404301109542,0.238923113465678,0,0,0,0,0,0,0,0.0996278429267078,0.158560127771698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3881317890172e-21,0,0,-0.0312409777078138,0,0,0,0,0,0,0,-0.00602644278676062,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.41095024235673,0.02498282028097,0,0,0,0,0,0,0,0,0.0488644810950526,0,0,0,0,0,0,0,0,0,0.09031342369889,0,0.359398566725989,0,0,0.0720353401076185,0,0,0.0467715543747437,0,0,0,0.108438302494184,0,0,0,0,0,0,0,0,0,0,-0.0869837396254013,0.134042833050757,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0494567943911145,0.193988323122319,0.191760848793659,0,0.0688156360715206,0,0.125255339435607,0,0,0,0,0,0,0,0.101641932537229,0,6.93889390390723e-18,-0.250810182390598,0,0,0.112843912897982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00694733333010267,0,0,0,0,0,-0.0212797135798037,0.0454128911457206,0,0,0,0,0,0
X002304.SZ,0.23359686698278,-0.137772179900849,0,0,0.173188854752431,0,0,0,0,0,0.244559687830102,0.0480397832640749,0.0786553149429288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146980344695546,0,0,0,0,0,0,0,0.00686768571689817,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.282615559447472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13520593505977,0,0,0,0.0986719076065044,0,0,0.134307385741117,0,0,0,0,0.0345879323806314,0,0.464831944024983,0,0,0,0,0,0,0,0.308473116207423,0,0,-0.0385532581721716,0,0,0,0,0,0,-0.0148641550478488,0.0262846133942272,0,0,0,0,0,0
X600690.SH,0,0,0.0321625820959402,0.0457845355697422,0.26325024737154,0.0631016247209795,0.0332148912684829,0,0,0,0,0,0.181814880703171,0,0,0,0,0,0,0.121140559033089,0,0,0,0,0,0.0440131556860027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689769529771102,0,0,0,0,0,0,0,-0.00601040992442587,0,0,0,0,0,0,0
