,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X000625.SZ,X002304.SZ,X003816.SZ,X300124.SZ,X600104.SH,X000725.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X000596.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X600089.SH,X002241.SZ,X002236.SZ,X600372.SH,X002129.SZ,X000661.SZ,X000157.SZ,X002049.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600183.SH,X002463.SZ,X002007.SZ,X000800.SZ,X600522.SH,X002028.SZ,X601799.SH,X600460.SH,X600418.SH,X002074.SZ,X002294.SZ,X300142.SZ,X002156.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.180008693615298,0.301617665622869,0,0,0,0.00640180630506983,0,0,0,0,0,0,0,0.00515194960566686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.152540735977882,0.035354468826854,0,-8.67361737988404e-19,0.0366747450949695,0,0,0,0,0,-0.00552280880132558,0,0,0,0,0,0,0
X000858.SZ,0.148391557844112,0,0,0,0.115259058284703,0.307659246515417,0,0.108879576403267,0,0,0.0118572570088937,0,0,-0.113758738685988,0,0,0,0,0,0,0.0428026791323933,0,0.101678451034685,0,0,0,0,0,0.065230014626859,0,0,0,0,0,0,0,0,0,0,0,0.0168968180113442,0,0,0,0.000719589474355926,0,0,0.00971761628243381,0,0,0,0.000851812624182351,-0.00624849528452919,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721498959631776,0.0660887968554906,0,0,0,0.24412692644786,0,0,0,0,0,0,0,0,0.0638115193741186,0,0,0,0,0,0,0.194747206714596,0,0,0,0,-0.00440209377604768,0,0,0,0.0701756795048076,-0.0190795786841244,0.0578541782013271,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0339228408610337,0,0,0.0339502841297464,0,0,0,0,0,0,0,0.121130735713223,0,0,0,0,0,0,0,0,0,0,0,0.0441184521132083,0,0,0,0,-0.0184611979981366,0,0,0,0,0,0,0,0,0,0,0,0.258508786525999,0,0,-0.0143096907524311,0,0.0146832354502508,-0.0105033321163434,0,0,0,0,0,0
X600809.SH,0.157586004442176,0,0,0,0,0.384968899449861,0,0,0,0,0,0,0,0,0,0,0,0,0.254648613613672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209670422032206,0,0,0.095705414494771,0,-0.0774980081749862,-0.127542069258409,0,0,0,0.0106313647832941,0,0,0,0,0,0,-0.00686092168667021,0,0,0,0,0,0,0
X000568.SZ,0,0.465598967643335,0,0,0.456919859128827,0,0,0,0,0,0,0,0,0,0,0,0,0.0228662994483943,0,0,0,-0.0600979939588048,0,0,0,-0.0339594515471299,0,0,0,0,0,0,0,0,0,0,-0.102422921565088,0,0,0,0,0,-0.045589838678568,0,0,0,-0.0211906046694504,0,0,0,0,0.00253254251391893,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987478340207859,0.13323956640207,-0.0660376040753785,0,0,0,0.262901854271171,0,0,0,0,0,0,0,0,-0.100497409818834,0,0.0183282942804502,0,0,0,0.0557581097608129,0,0.04873042429858,0,0.0921258417089711,0,0,0,0,0,0,-0.0121599951984676,0.0401938067465656,-0.00632151907632375,0,0,0,0,0
X600690.SH,0.0118117741803379,0.0387413369407449,0,0.00532725395717886,0,0.14353688695452,0,0,0.0566041369758996,0,0,0,0,-0.00396597717889562,0,0,0,0.0803398461441098,0.19374919267284,0,0.033806016550843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302462231354429,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.405200863360466,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156956313434283,-0.0519866171526406,0,0,0,0.0827355394114102,0,0,0,0,0,0,0.238583993842536,0.0243468154809464,0,0,0,0,0,0,0,0.127952078559727,0,0,0,0,0,-0.0254984161334915,0,0,0.117173598877077,-0.209484194457889,0,0,0,0.0189819210828875,0,0
X000625.SZ,0,0,-0.128147401108351,0.190692446049825,0,0,0,0,0,0,0.087746453412828,0.0726705383446297,0,0,0,0,0,0.335880413597999,0,0,0.0495802384189728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065324902393148,0.065477298873492,0,0.0554574420180999,0,0,0.00710022453622386,-0.090840382824637,0.350868854291176,0,0,0,0,0,0,0.0143721919349858,-0.00867701161324979,0,0,0,0,0,0
