,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000858.SZ,X000063.SZ,X000625.SZ,X600118.SH,X600690.SH,X600703.SH,X600031.SH,X000100.SZ,X600271.SH,X000559.SZ,X600066.SH,X600372.SH,X002241.SZ,X000157.SZ,X002236.SZ,X600741.SH,X600089.SH,X002475.SZ,X300124.SZ,X002292.SZ,X000338.SZ,X002465.SZ,X600177.SH,X000568.SZ,X300003.SZ,X600839.SH,X002129.SZ,X000547.SZ,X002294.SZ,X000977.SZ,X000800.SZ,X002074.SZ,X000623.SZ,X002506.SZ,X002008.SZ,X600582.SH,X600867.SH,X002180.SZ,X600498.SH,X000550.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0134480108527131,0,0,0,0.185551124478453,0.168677469888688,0,0,0,0,0,0,0,0,0,0,0.0259995164048481,0,0,0,0,0,0,0,0,0.0262843347227131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0721257764441624,0.116481962159283,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.284450245583165,0,0.432152395013511,0.0600400223119322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000700815047317147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0350464285145199,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.252530574968566,0,0,-1.38777878078145e-17,0,0,0.21848885237872,0,0,0,0,0.0992109849696837,0.0572503488286421,0.0833413292174648,0,0,0,0,0,0,0,0.0200158210810098,0,0.106102134888339,0,0,0,0.091617505213908,0,0,0,0,0,0,-0.0704885905308537,0,0.0286723630004543,-0.06237153975552,-3.46944695195361e-18,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237608452882632,0,0,0,0,0,0,0,0,0,0.151399987553631,0,0,0,0,0.0414997416015534,0.0561346570566166,0,0,0,0,0,0,0,0,0,0.022390513411635,0,0.237657207919575,0,0,0.00858523525842536,0,0.0225257801740679,0,-0.00396042789901388,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25893524880979,0,0.0698812313859248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397135431610443,0.019998672155674,0,4.33680868994202e-19,0,0,0.0234414296080038,0,0.271100737934594,0.00544144606332343,0,0.0109905526362494,0,0,0,0,0.0267194944189287,0,-0.0174957717483447,0,0,0,0,0,0,0
X002304.SZ,0,0.18926168756881,0,0,0,0,0,0,0,0.0562157670001117,0,0,0,0,0,0,0,0,0.124121096454907,0,0,0.135915389084032,-1.38777878078145e-17,0,0,0,0,0,0,0,0.352353895729052,0.0654114142341562,0,0,0,0,0,0,0,0,0,0,0,0,-0.0627698303343211,0,0,0,0,-0.00206269027479166,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.117679449140755,0,0,0,0,0,0,0,0,0,0,0,0,0.0149328621162241,0,0,0,0,0,0,0,0,0,0,0,0.0261250998333671,0.0335505575157009,0,0,0,0,0,0,0,0,0,0,0.123988129426818,0,0,-0.0378739694556393,0.0177519619051567,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166414734034394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814971087963134,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.131152615218207,0,0,0,0,0,0.0401035589823784,0,0,0.00258877187690301,0,0,0.156220645610761,0.181423607581898,0,0,0,0.112434885059524,0.0288935740095159,0,0,0,0,0,0,0,0.049306794744081,0,0,0,0.0307929863883087,0,0,0,0,0.154831277497103,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0.169579017557375,0,0,0,0.0379202463665271,0,0,0,0,0,0,0,0,0,0,0,0,0.0257127252206663,0,0,0,0.0601208967174611,0,0.218402281224931,0,0,0,0,0,0,0,0,0.0483091753441188,0,0,0,0.1901010465766,0,0,0.0354578771367151,0,0,0,0,0,0,0,0,-0.000761960734353641,0,0,0,0,0,0,0
