,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X600031.SH,X002371.SZ,X000596.SZ,X000625.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600584.SH,X002241.SZ,X000661.SZ,X601877.SH,X000157.SZ,X600741.SH,X600522.SH,X000733.SZ,X002074.SZ,X002180.SZ,X600702.SH,X002463.SZ,X300142.SZ,X600460.SH,X000800.SZ,X002007.SZ,X300003.SZ,X002028.SZ,X000988.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.253937786955174,0.181004365864168,0,0.0434943119130709,0,0,0,0,0,-0.0291139743018425,0,0,0,0,0,0.0285419189958483,0,0,0.0647142392015823,0,0,0,0,0,0,0,0,0,-0.00220084336383888,0,0,0,0,0,0,0,0,0,0,0.0430817830112835,-0.0617069094104579,0,0,0,0,0,0,0,0,-0.0332328075559175,0,0.0612904696333932,0,0,0,0,0,0
X000858.SZ,0.0965858913269845,0,0.411714254726166,0,0,0.0323049328829989,0,0.00191697834880435,0.065406315040404,0,0,0,0,0,0,0.0926207284410597,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208478544442632,0,0,0,0,0,0,0,0,0,0,0.172116090423966,0,0,0,0,0,0,0,-0.0155938770081889,0,0.0553319348404106,0,0.0131558705661484,0,0,0,0,0,0
X000568.SZ,0.0596379250623239,0.253086939362089,0,0,0,0,0,0,0,0,-0.0355260458158963,0,0,0,0,0,0.136824108423781,0.142762665924016,0,0,0,0,0,-0.0792210769233172,0,0,0,0,0,-0.0259518625295067,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.386528555826353,0.0406579408734057,0,0,0,0,0,0,-0.0356649943243182,0,0,-0.00347065659168485,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204058097998028,-0.157556857345992,0,-0.143868837601797,0,0.283863743411861,0,0,0.257903560001722,0,0,0,0,0.307972716977931,0,0,0,0,0,0,0,-0.102427725090586,0,0,0.2203694826293,-1.73472347597681e-18,-0.071577889258394,0,0,0,0,0,0,-0.0470407232335784,0,0,0.00961786708266369,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0278609028482185,0,0,0,0.0441567913485373,0,0,0,0,0,0,0,0,0,0,0.100255511792784,0,0,0,0,-0.230326988702481,0,0,0.0612181428489896,0,0,0.0549440062237192,0,0,0,0,0,0,0.182857464175535,0.0689126637729668,0,0,0,-0.2245665467177,0,0,0,0,0,0.123325517479288,0.0896715363071258,0,0,0.000303776171926482,0,0,0,0,0,0,0
X600809.SH,0,0,0.024987891652926,0,0,0,0,0,0.020818257014637,0.161408604691821,0,0,0,0,0,0,0.0203913867863067,0,0,0,0,0,0,0.023855599064105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235296266968733,0,0.0898637491474855,0,0,0,-0.330262947774176,0,0,0,0,0.236839976812142,0,0.0691009756704442,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428562961995606,0,0,0,0,0,0,0.0739335557209203,0,0,0,0,0.109899142432103,0,0.423093347561642,0.392706922436345,0,0,0,0,0,0,0,0,0.021694384420286,0,0,0,0,0,0,0,0.0835001731350735,0,0,0.00669884284832724,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0415153170341976,0.213764325469261,0,0,0,0.27340819179352,0,-0.0063133650767448,0,0,0.110311381490936,0,0.142191591075604,0,0,0,0,0,0,0,0,0,0,0,0,0.00610761414175687,0.0179629771946317,0,0,0,0,0,0,0,0.0307326769489008,0.112200728583017,-0.126605943118034,0,-0.036431038207147,0.0419480289538179,0,0,0,0,0,0,0,0,0.0298156529337541,0,0.140121720397784,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.141736673276955,0,0,0,0,0,0,0,0.25561258643107,0,0,0,0.151043350439419,0,-0.576474980731001,0,-3.93870462783372e-05,0,0,0,0,-0.0161850749796722,-0.0559757034184308,-0.0151415959580846,0,0,-0.105437107738629,0,0,0,0,0,0,0.181306621144506,0,0,0,0,0,0,0.186055209230409,0,0.0747025353146326,0,0.0608578261375645,-0.0710283119459262,0,0,0,0,0,0
X002304.SZ,0,0.273932511676424,0.293731680472582,0,0,0.027451974749852,0,0,0.0321120332168303,0,0.0109773598281222,0,0,0.0270632189374874,0,0,-0.0196588259022542,0,0,0,0.0291770498278678,-0.104917293730986,0,0,0,0,0,-0.0196873855327885,0,-0.00988807555696217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305750246135115,0.0144497909836282,0,0,0,0,0,0,0
