,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X600271.SH,X600118.SH,X600031.SH,X600372.SH,X002241.SZ,X000157.SZ,X600089.SH,X000338.SZ,X002292.SZ,X600741.SH,X002236.SZ,X002475.SZ,X600066.SH,X000559.SZ,X002129.SZ,X300124.SZ,X600177.SH,X601877.SH,X300003.SZ,X600582.SH,X600839.SH,X000016.SZ,X600435.SH,X000568.SZ,X002456.SZ,X002294.SZ,X000550.SZ,X000623.SZ,X002008.SZ,X002179.SZ,X600498.SH,X002465.SZ,X000581.SZ,X000800.SZ,X000869.SZ,X000977.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.151548177466893,0,0.0274867623065315,0.00884384207147648,0.0479539330214735,0,0,0,0.135312362012408,0.0477348324583288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267037741975617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578533323641265,0,0,0,0,0,0,0.0130722874208916,0.00828443571222307,0,-0.0759018000221835,0,0,0,0
X600104.SH,0.0826186213586916,0,0,0,0.102340491851775,0.253589294504237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25981580272997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0594233205613987,0,0,0,0,0,0,0,0,0,0.0015217220914937,0.0132644375995163,0,0,0,0,0,0
X000725.SZ,0,0,0,0.022982115605978,0.0874487369072103,0,0,0,0,0,0,0.170137540911538,0,0,0.151526053802559,0,0,0,0,0,0,0,0,0,0,0,0.193581107631566,0,0,0,0,0,0,0,0,0,0.00487682739956547,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0949732081807821,0,0,-0.000434133380913972,0.00255909881801948,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0503247872596533,0,0,0.076066442148734,0.0200494279379893,0,0,0,0.0721662405932483,0,0,0.024854138662672,0,0,0.0883022050310894,0,0,0,0,0,0,0,0.016911164592881,0,0,0.0146269627111689,0,0,0,0,0,0,0.387631175661775,0,0,0,0,0,0,0.0511363538122148,0,0,0,0,0,0,0,-0.021583236142614,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0233035904416709,0,0,0,0,0,0.0738365932690946,0,0,0,0,0.108640561376672,0,0.13486886954679,0,0,0,0,0,0,0,0.063582400304967,0,0,0,0,0.123984018692982,0,0,0,0,0,0,0,0,0,0,0,-0.0984596984783554,-6.93889390390723e-18,0,0.0806590594783967,0,0,0,0.101787996322612,0.0178893432738342,0,-0.00318712009304734,0.0235387173844931,0,0,0,0,0,0
X002304.SZ,0,0.292781100332597,0,0,0,0,0.269142076015321,0,0,0,0,0,0,0,0,0,0,0.104145304242495,0,0.0394657822186025,0,0,0,0,0,0,0.0618353182063292,0,0.109135617146979,0,0,0,0,0,0,0,0,0,0.00806725611994322,0,0,0,0,0,0,0,0,0,0,0,0,0.0132542405798949,0.0361770498055059,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0239005558813737,0,0.313038418511251,0,0.124828183803772,0,0,0.00113242335382718,0,0,0,0,0,0,0,0.00490401415556639,0,0.150476960199435,0,0.0102303857952752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448069538471511,0,0,0,0,0,0,0,0,0,0,0.0605210288034327,0,0,0,-0.000238068509611794,0.0135564010833347,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0322731407645102,0,0.0402892036719472,0,0,0,0,0,0.08682979206987,0,0.136614191268148,0,0,0,0,0,0.11143327049079,0,0,0.0390815165524011,0,0,0,0.187761005038509,0,0,0,0.0498284184226058,0,0,0.0560314895299789,0,0,0,0.00158237254552768,0,0,0,0,0,0,0,0,0,0,0,0.0270951369708377,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0640558801467227,0.0436681954092962,0,0,0,0,0.143389430609007,0,0,0,0.0749308753419295,0,0,0,0.00317327282679955,0,0.118955868555529,0,0,0,0,0,0,0.100209293608562,0,0,0,0,0,0,0.142085241965892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116731452228541,-0.00273006288875719,0,0,0,0,0,0
X000063.SZ,0.128154981009205,0,0,0,0.0503726224052446,0,0,0,0.011105650232294,0,0,0,0,0.184534125658273,0,0,0,0,0,0.324853927016669,0,0,0.0859756036455841,0,0,0,6.93889390390723e-18,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.040768620346573,0,0,0,0,0,0,0,0,0,0,0.0328547281894327,0,0,-0.00966138092530546,-0.0206832877239093,0,0,0,0,0,0
