,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X000651.SZ,X002304.SZ,X600690.SH,X002475.SZ,X002371.SZ,X000063.SZ,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X600031.SH,X300014.SZ,X002129.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X002049.SZ,X600703.SH,X600089.SH,X002236.SZ,X600372.SH,X000100.SZ,X000661.SZ,X000977.SZ,X600702.SH,X002241.SZ,X002180.SZ,X601877.SH,X000157.SZ,X600741.SH,X300142.SZ,X600522.SH,X002074.SZ,X600584.SH,X600460.SH,X000733.SZ,X300003.SZ,X002007.SZ,X002463.SZ,X300146.SZ,X002294.SZ,X600183.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.441255587644844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160037480967542,0.0106414291181291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00596257934715368,0,0,0,0,0,0,0.139597205753826,0,0.037834330250476,0,0,-0.0266744999866177,0.0111499742783244,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.291967147272491,0,0,0,0,0,0,0,0,0.0889499312329033,0,0,0,0,0,0,0,0,0,0.0582289391214225,0,0,0,0,0.121158382228639,0,0,0,0,0,0,-0.00779955338931783,0,0,0,0.00399168298564265,0,0,0,0.0480691232419226,0,0,0,0,-0.0646047496922929,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0526364699906909,0,0,0,0,0,-0.0695979134813791,0,0,0,0,0,0,0,0.163288307855606,0,0,0,0,0,0,0,0.125399641122461,0,0,0,0,0,0,0.24227419467695,0,0,0,0.14021919606285,0,0,0.0502616044159482,0,0,0,0.385595107767831,-0.0369838636900887,0,0,0,0,0,0,-0.0325963520576678,0,0,0,0,0,0
X000568.SZ,0,0.457526744619273,0.0811734705346021,0,0,0,0,0.161243675930508,0,0,0.0426464293794849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096250775887945,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0954376664131723,0,0,0,0,0,0,0,0,0.0511201073977579,0,-0.0290022558999843,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0893142196758581,0,0,0,0,0,0,0,0.00499697058276965,0,0,0,0,0,0,0,0,0,0,0,0,0.105973200032316,0,0,0,0,0.0141385461405986,-0.0739464952124761,0.135571372859315,0,0.122053603500079,0,0,0,0,0,0,0.0634087844708329,0,0,0.0570963370671048,0.00902031227526646,0.0252920522385985,0.0379255009541223,0.0846262115120895,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.563077840287647,0,0,0,0,0,0,0,0,-0.0556970464421145,0,0,0,0,0,0.0489596707087318,0,0,0,0,0,0,0,0.0190010633921706,0,8.67361737988404e-19,0,0,0.036611743486987,-0.0140133096225844,0,0,0.141496844805167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0273206631923108,0,0,0,0,0,0,0
X000651.SZ,0,0.0600584191362959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17440429134056,0,0,0,0,0,0,0,0,0,0.0502492495934304,0,-0.0771873984769543,0,0,0,0,0,0.0202999939929695,0,0.0579108772208877,0,0,0,0,0,0.000435567049243653,0,0,0,0,-0.00646788678989361,-0.0372108300621634,0,0,0,0,0,0
X002304.SZ,0,0.341727281772966,0,0.256262200600922,0,0,0,0,0.0718460152752834,0,0,-0.0140425203466702,0,0,0,0,0,0,-0.0143073832257427,0,-0.0581547229176903,0,0,0,0,0,-0.10103994627779,0,0,0.0691049275299852,0.0669587007385771,0,-0.0151430473159264,0,0,0,0,0,0,0,0.00671313854882308,0,0,0,0,0,0,-0.0298127175641411,0,0,0,-0.0515644893334751,0.0282907630796614,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.13747937240751,0.181768931958203,0,0.000177719879861044,0,0,0,0.1195976231225,0,0,0,0.159870731492467,0,0,0,0,0,0,0,0,-0.207102889234485,0.0152083844382756,0,0,-0.011544423436547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934653076971295,0,0,0.019756649179647,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.08905155920077,0,0,0,0,0,0,0,0,0.204031238053709,0,0,0,0,0,0,0,0,0,-0.108986680901881,0.0563421127954811,0,0,0,0,0,0,0,0,0,0.148980250925729,0,0,0,0,0.0888800497230718,-0.0995994418856731,0,0,0,0,0,0,0,0,0,0,0,0
