,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X000568.SZ,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X000625.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X000725.SZ,X002304.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X002463.SZ,X600703.SH,X600741.SH,X000977.SZ,X600372.SH,X600066.SH,X002049.SZ,X002028.SZ,X002241.SZ,X000661.SZ,X000921.SZ,X600584.SH,X600522.SH,X002129.SZ,X601877.SH,X000800.SZ,X600566.SH,X601799.SH,X600183.SH,X002223.SZ,X600060.SH,X002007.SZ,X600177.SH,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.233525613236796,0.137695920549184,0,0.0980692932698412,0,0,0.130598387204616,0,0,0,0.0167766692969714,0,0,0,0,0.00966790573407022,0.064228566167863,0,0,0,0,0,0,0,0,0,-0.0782103168979795,0,0,0,0,0,0,0,0.0620252065401375,-0.00217172957792537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.445409969162527,0,0,0,0,0,0,0,0,0,0,0,0,0.0632286138533857,0,0,0.0657434723834071,0,0,0,0,0,0,0,0,0,0.00393867475881399,-0.0119788898176049,0,0,0,0.076755956887862,0,0.029319262936978,0,0,-0.0270321167684257,0,0.0259704427942263,0,0,0,0,0,0,-0.0379228320869203,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.107887101533599,0.0428912392133903,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.0846701863202953,0.0535075925901229,0.161339764346007,0,0,0,0,0,-0.0459709109710053,0.0361297199482456,0,0,0,0,0,0,0,0,0.109495427651262,0,0,0.0374496277693281,0,0,0,0,0,0,-0.00792716519838057,-0.00891541141793376,0,0,0,0,0,0
X600809.SH,0.458697078745128,0,0,0,0,0,0,0,0,0,0,0,0.197009065999152,0.0178294748617125,0,0,0,0,0,0.293714167514544,0,-0.100097721903862,0.111692658517999,0,0,0,0,0,0,0,0.0437773627110121,0.0558758221395536,0,0,0,0,0,0,0,0.016106178542085,0,0,0.0575504151065147,0,-0.265911303470114,0,0,0,0,0,0,-0.00739125457657826,0,0.105816072048335,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456142238184809,0,0,0.119652249663493,0,0,0.0222933477688187,0,0,0,0.0138906973560049,0,0,0,0,0,0,0,0.289234917956192,0,0,0,0,0.145451222586954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.0197064124937694,0,0,0,0,0.166782402334605,0,0,0,0,0,0,0,0,0.0910729444216193,0,0,0,0,0,0,0,0.124865324286252,0,-0.133019086333685,0,0,0,0,-0.0496538998387535,0,0,-0.018045219357554,0,0.251586803671639,0.0497798811357515,0,0,0,0,0,0,0.0458812751516387,0,0,0,0,0,0,-0.0232548570109233,0,0,0,0,0,0,0
X000568.SZ,0,0.765123368118822,0,0.171535198723618,0,0,0,0,0,-0.00138302427839419,0,0,0,0,0,0,0,0,0,0,0.0700967934256684,0,0.190457754285173,0.0634316640802758,0,0,-0.117656910533422,0,0,0,0.0145317845215658,0,0,0,0,0,-0.0356511813708599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162518821866899,0,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.00758676963905319,0.183880145165489,0.104964975011107,0,0,0,0,-0.110819706842529,0.168122523953332,0,0.0691439741038786,0,0,0,0,0,0.0749053570125601,0,0,0.229188365182142,0,0,0,0,0,0,0,0,0,0,0,-0.132057880594731,0.120314624155637,0,0,0,-0.183638894022691,0,0,0,0,0,0,0,0,-0.02870391695732,0,0,0.0414736745757974,0,0,0,0,0,0
X003816.SZ,0,0,0,-0.0920534523955567,0,0,-0.179378747403522,0,0,0,0,0,0,0,0,0,0,0.0998709547091912,0,0,-0.0208955750149021,0,0.0534790739741084,0.10243340864402,0,-0.0438934833228389,0,0,0,0,0,0,0,0,0,0,0.136123775375363,0,0,0,0,0,0.356884470583853,0,0,0,0.094210948129645,0,0,0,0,0,-0.12336311294075,0,0,0,0,0,0
X002475.SZ,0.0301998883250578,0,0,0,0.0415579457692583,0,0,0,0,0,0,0.0190988260713896,0,0,0,0,0,0,0,0,0,-0.0761211626652968,0,0,0.392764842125765,0,0,0,0,-0.102424147049868,0,-0.0816166317771382,0,0,0.343433551454324,0,0,0,0,0,0,0,0,0.203788127831825,0.180824168457082,0,0,0,0,0.013665332557206,0,0,-0.0277570446905064,-0.197256150214355,0,0,0,0,0
