,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X600031.SH,X002475.SZ,X600703.SH,X000568.SZ,X600741.SH,X000338.SZ,X000063.SZ,X300003.SZ,X600271.SH,X601877.SH,X002456.SZ,X002236.SZ,X600809.SH,X300124.SZ,X002008.SZ,X600867.SH,X600487.SH,X000596.SZ,X000100.SZ,X000625.SZ,X600066.SH,X000661.SZ,X600566.SH,X000977.SZ,X002294.SZ,X600498.SH,X000157.SZ,X300142.SZ,X300136.SZ,X002179.SZ,X000981.SZ,X002180.SZ,X002007.SZ,X300146.SZ,X002241.SZ,X000050.SZ,X000869.SZ,X600779.SH,X002049.SZ,X600522.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600066.SH,0,0.144734263680291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353212180215613,0.066644121693448,0.0349218682082818,0.360872653269005,0,0.125830004591324,0.0809500002994003,-0.0256859356080023,0,-0.0305593737065888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177780805139024,0.0544119735854935,0.0531873701562342,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0,0,-0.408717638118281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13003423630064,0,-0.0338098751301959,0,0,0,0,0.443316616719362,0,0.108071118824554,0,0,0.178952433705002,0,0,0,0,0.106795990964359,0,0,0,0,0.165125399487355,0,0,0,0,-0.0157494751396697,0.0344859214892198,0,0,0,0,0,0
X600566.SH,0,0,0,0,0,0,0,0,0,0,-0.207679197907482,0,0,0,0,0,0.517832790136794,0.00542911787309861,0,0,0,0,0,0,0,0,0,0,0,0.280136150458433,0.269881563572708,0,0,0.028940805599247,0,0,0,0,0.0483127255520083,0,0,0,0,0,0,0.0341170272075538,0,0,0,0,0,-0.00301153880576905,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177470031387166,0,0.206102496313487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117868131020829,0.383034956353304,0,0,0,0,0,0.176353033129967,0,-0.112192683897576,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0368562547241392,-0.0565404268141507,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0.333533577216857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762631839174991,0,-0.0295180860325704,0,0,0,0,0.349333538385495,0.222000136494945,0,0,0,0,0.0604193619322529,0,0,0,0.0155175436479828,0,0,0,0,0,-0.0203657658725686,0.0633013488421865,0,0,0.0196858983169232,-0.00503384122270041,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,-0.0628442897978987,0,0,0,0,0,0,0,0,0,0,0.0177563377783441,0,0,0,0,0,2.16840434497101e-19,0,0.424353489202247,0,0,0,0,0,0,0.178911571881031,0,0,0,0,0,0,-0.0201738371673846,0,0,0,0,0,0.288638293406645,0,0,0,0,0,-0.0294359487333973,0.0240288185818403,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0.0136691198071315,0.102719558218004,0,0,0,0,0,0,0,0,0,0,0,-0.0104754879800975,0.0425090393327263,0,0,0,0,0.0543191185095152,0,0,0.0209107737574398,0,-0.00328898201039171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00582586962038948,0,0,0,0.0780284775549139,0,0.0106174212635859,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0.0565522630264942,0,0,0,0,0,0,0,-0.0602575714782974,0,0,0.200233211742476,0,0,0,0,0.233889647319181,0,0,0,0,0,0,0,0,0.50717115856415,0,0,0,0,0,0,0.0557798172906476,0,0.17358406037522,0,0.0748699550959137,0,0,0,0.018598427393921,0,0,0,0,0,0.0200282972059553,0,0,0,0,0,0,0
X300136.SZ,0,0,0.113743287406695,0,0,0,0,0,0,0,0,0,0,0,0,0.0878443918322771,0,0,0.0795116554207911,0,0,0,0,0,0,0.177634938446728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689481866781388,0,0.194436054899437,0.446845200104288,0,0,0,0.169614865739381,0,0,0.0513800384061622,-0.00604580263025371,-0.0294088036053444,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0.0495844442638862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950425067866079,0,0.0225949594869042,-0.115596152449264,0,0,0,0.00731537477186936,0,0,-0.0304789092373143,0.20031786489561,0,0,0,0,8.67361737988404e-19,0,-0.0882570160051852,0,0,0,0.108118019495617,0,0,0.161470903124152,0,-0.147884262993166,-0.0152354234487372,0.02510330338764,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465471197065066,0,0,0,0,0,0.0592274926563324,0,0,0,0,0,0.0854439131210498,0,0,0,0.0886316081769637,0.364810235376066,0,0,0,-0.0163347768146927,-0.113740102412881,0,0,0,0,0,0.0450483943918048,0,0,0.0275131016279912,-0.0488334385641866,0,0,0,0,0,0
X002180.SZ,0,0,0,0,-0.216953737821518,0,0,0,-0.135815632175427,0,0.194343979998063,0.102426250476662,0,0,0,0.0816695953928308,-0.0815909097241915,-0.0639974879754438,0,0,0.161867594425996,0,0,0,0,0,0.199212531797563,0,0,0,0.0337447964734587,0,0,0,0,0,0,0,0,0.394916625003134,0,0,0,0,0,0,0,0.173625162458575,0,0,0,-0.0434397591473972,-0.0594079514346561,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0.144163121427776,0,0,0,0,0,0,0,0,0,0.104559233826863,0,0,-0.0737188077291193,0,0,0,0,0,0.106612449517953,0,0,0,0,0,0.425122365838548,0,0,0.063175382321898,0,0,0.129099543549152,0,0,0,0,0,-0.101196085199161,0,0,0,0,0,0,0,0,-0.00521547109536796,0.0240144802797746,0,-0.233669282612423,0,0,0,0
X300146.SZ,0,0,0,0,0,0.0786394987882287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0842807500410908,0,0,0,0,0.0231145673306657,0,0,0,0.0598680589718348,0,0,0,0,0,0,0,0,0,-0.0230755416230948,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265035263549916,0.000574366466723504,0,0,0,0,0,0,0,0,0,0.0455301134816554,0,0,0,0,0.0173695154498931,0.296505221190894,0,0,0,0,0,0,0.115041584073698,0,0,0,0.338372607051108,0,0,0,0.00174280060958852,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0.343492472370659,0,0,0,0,0,0,0.243378042839716,0,0.0929529009047818,0,0,0.173884696490893,0,0.0128032538475108,0,0,0,0.186570837680854,0,0,0,0,0,0,0.0318434712792601,0,0,0,0,0.0230803614500223,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000471664543653481,-0.0149213738571844,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0.0628324113333858,0,0.233421842759508,0,0,0,0.112986946456487,0,0,0,0,0,0,0,0,0.237283197222858,0,0,0,0,0.0064906968701031,0,0,0,0,0.0217023087276909,0,0,0.0626651198241174,0,0,0.109927506735638,0,0,0.0977552479100959,0,0,0,0,0,0,0,0.00227224069113828,0,0,-0.00596380814677695,0.00326796484541749,0,0,0,0,0,0
X600779.SH,0,0,0,0,0,0.0918497874831274,0,0,0.294081015103068,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.181101536682624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761981320060024,0,0,0.0596052601370895,0,0,0,0,0,0,-0.0806867544226346,0,0,0,0.000356023589913535,-0.0382136437945674,0,0,0,0,0,0
X002049.SZ,0,0,-0.0827749839912235,0,0,0,0,0.158980026370218,-0.121269283175502,0,0,0,0,0,0,0,0,0,0.0753394838315379,0.333782454826831,0,0,0,0,0,0,0,0,0,0,0,0,0.323469854585792,0,0,0,0,0,0,0,0.209350405569324,0,0,0,0,0,0,0,0,0,-0.0810405194874891,-0.00639619638665062,-0.0274013309388721,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0.0977687000732151,0,0,0,0,0,0,0.120868100497808,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.311283272012099,0,0,0,0,0,0,0.0682021930071404,0,0,0,0,0.0253349655689833,0,0,0,0,0,0.144535313782942,0.103548045347357,0.138725029137889,0.0228011011171914,0,0,0,0,0,-0.00404252446172583,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0.127749351939647,0,0,0,0,0,0,0,-0.00588117037959764,0,0.199538720559787,0.165145599013,0,0.104496656834242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0720183725713981,0,0,0.118119181784419,0,0,0,0.0857994983900059,0.0468122335626501,0,0,0,0,0,0,0.017322415285685,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916839192775455,-0.125980956267852,0,0,0,-0.186695963293602,0,0,0.586056372119565,0,0,0,-0.042802733808905,0,0,0,0,0,-0.0559307716462567,0,0,0,-0.023099998632121,0,-0.0987476966768072,0,-0.153214772653956,-0.0688771545666813,0.0119895507868428,0,0,0,0,-0.0575441883945375,0,0,0,-0.0189216385111533,0.02161153119288,0,0,0,0,0,0
Slope,0,0,0,0,0,0.102215259733518,0,0,0,0,-1.38777878078145e-17,0,0.22681326646918,0,0,0.680825927130082,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00759972733544,-1.03335736731727,0,-1.04699767546067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343361255441525,0,0.248335967014767,0,0,0,0,0,0
TED,0,0,0,0,0,0,0.295391746143678,0,0,0,0,0,0,2.05829986911228,0,0.531197570101707,0,0,0,0,0,0,0,0,0,0,0.312389435806095,0,0,0,-0.652974197558737,0,-0.238386419119221,0,0,0,0,0,0,-1.18237682635582,0,0.288111727486104,0,0,0,0.210321920222434,0,-0.962579473676689,0,0,0,-0.25875932326946,0,0,0,0,-3.87339914272479,0,0
RealEstate_excess,-0.0823999251333961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134653866756363,0,-0.134284229967319,-0.030030320047589,0,0,0,-0.0992039342334299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108267526780186,0.0300880906629219,-0.00637719352761425,0,0,0,0,0,0,0,0.0769822811018131,0,0,0,0.0896514411428143,0,0,0,0
MKreturn,0,0.123451648538827,0,0,0,0,0,-0.0996617832463084,0,0,0,0,0,0,0,0,0,0,0,0,0.0323177576508767,0,-0.0112746966092123,0,0,0,0.0267587208163738,0,0,0,0,0,0,-0.0585982899492708,0.00991734673347734,0,0,0,0,0,0.0620979618892423,0,0,0,0,0,0,0,0,0,0.0691632162526145,0.0262931693048666,0.00950323768902288,0.420222728338005,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,-0.000395743019778057,0,0,0,0.000905819486778437,-0.00270780526159524,0,-0.00181654844214275,0,0,0,0,0,0,0,0,-0.00166960190551818,0,0,0,0,0,0,0.00117966858989781,0,0,0,0,0,0,0,0.00179467028747576,-0.000746932434822959,0,0,0,0,-0.00012771042064841,0.00567504123452664,0,0,0.00123891969444306,-0.00270380043380901,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0.0490735337970368,0,0,0,0,0,0,0,0,0.0179854923296915,0.0223529896074254,-0.0757776454497385,0,0,0,0,0,0,0,-0.215504350005135,0.0156416163435808,0,0,0,0,0.00320233302425419,0,0,0,0,0,0,-0.0890537863736558,0,0,0,0,0,0,0,0,-0.220706222642213,-0.0339006794066473,-0.106320910209958,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0.00828031010927335,0,0,0,0,0,0,0,0,0.0115662406616085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00293839633718831,0.0083333575214782,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377656592867355,0,0,0,0,0,0,-0.0022100869333076,0,0,0,0.00243569489236949,0,0,0,0.00444087350153125,0,0,0,0,0,0.0012807623401878,0,0,0,0,-0.00832031332566793,0,0,0,0,0,0,0,0,0.0175951118000196,0,0.00691940981774729,0,0,0,0,0,0
