,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600741.SH,X600703.SH,X000338.SZ,X600031.SH,X002475.SZ,X002236.SZ,X300003.SZ,X300124.SZ,X000063.SZ,X002008.SZ,X600809.SH,X600867.SH,X600271.SH,X601877.SH,X000596.SZ,X600066.SH,X000625.SZ,X002456.SZ,X600487.SH,X002294.SZ,X600566.SH,X000100.SZ,X000661.SZ,X002241.SZ,X000157.SZ,X002179.SZ,X002508.SZ,X000981.SZ,X002007.SZ,X300142.SZ,X300136.SZ,X000977.SZ,X000050.SZ,X002180.SZ,X600177.SH,X600779.SH,X000869.SZ,X600522.SH,X600498.SH,X600707.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.120077715957564,0,0.152203901826617,0,0,0.227042585024357,0,0,0,0.0245169754876513,0,0,0,0,0.0351912445196817,0.0346789288421288,0,0.0761276999753905,0,0,0,0,0,0,0,0,0,0.0840460698699291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349805388995493,0,0.0433327856688578,0,0,-0.00401370841326467,-0.0138654902373106,0,0,0,0,0,0
X600104.SH,0,0,0.0264773602657655,0,0,0,0.112382680362115,0,0,0,0.134876814525541,0,0,0,0,0,0,0.048474682685024,0.0982248384484742,0,0,-0.0990471803734551,0,0,0,0,0,0,0.0270014339740028,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162426269211238,0,0,0,0,0,0,0,0,-0.071185851436991,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.092026622093302,0,0,0,0,0,0.0320769910073726,0,0,0.206587182378673,0,0.0434409225646784,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.165565352943577,0.0191164327369754,0.204656893195602,0,0,0.0735698485769127,0,0,0.20545524779579,-0.0518966850537363,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00988004168806429,-0.0341700991359179,0,0,0,0,0,0
X000858.SZ,0.277076958984397,0,0,0,0,0.0712843650214962,0.153196494246707,0,0.0368721021604073,0.087463801766079,0,0,0,0,0,0.214827456893145,0,0,0,0,0.0606314534672501,0,0,0,0.105308434243999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659987383454941,0,0,0,0,0,0,0,0,0,0.0124595194887747,-0.0112559627970328,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0121758930698357,0,0.0433179354876456,0.157917385617467,0,0,0,0,0,0,0.264197413284237,0,0,0,0,0,-0.0653529916771911,0,0,0,0,0,0,0.130796360221373,0.21719785193729,0,0.185117688415034,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.045611849349222,0.0133212767811913,0,0,0,0,0,0
X000651.SZ,0,0,0,0.377116408803069,0,0,0,0,0.0381294255919371,0,0,0,0,0,0,0,0,0,0,0,0.109419045217993,0,-3.46944695195361e-18,0,0,0,0,0.266288815176473,0,0,0,0,0,0,0,0,0,0,0,-0.146947158099804,0,-0.116692033306285,0,-0.0130696082893902,0,0.141223849515567,0,0.0542323295010268,0,0,0,-0.0429067696507183,0.0505697421885727,0,0,0,0,0,0
X002304.SZ,0,0,0,0.143760567439567,0,0,0,0,0.304583500025598,0,0,0,0,0,0,0,0,0.201150790576639,0,0,0.216322318640908,0,0.0109249001758561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156628873315725,0,0,0,0,0,0,0,0.0296872633948469,-0.0149928959998603,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347530861306176,0,0,0,0,0,0,0,0,0,0,0,0,-0.0734310966257018,0.263879454250843,0,0,0,0.0215665112642136,0,-8.67361737988404e-19,0.176598929776252,0,0.0643395536509419,-0.0926594334273948,0,0.0164646674789744,0,0,0.18295325296191,0,0,1.73472347597681e-18,0.041780980810251,0,0,0,0,0,0
X600690.SH,0,0,0,0.420890139133378,0,0,0.175234651426672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607123808485627,0,0,0,0.0371304298329365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424671904314827,0,-0.0468382404219051,0,0,0,0,0.0581471428001039,0,0,0,0,0.0157219098270364,0.00925395867570953,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.13612844449282,0,0.221035270354883,0,0,0,0,0,0.117204672942211,0,0.0264351685605971,0,0,0,0,0,0.308774730438576,0,-0.016836877414761,0,0,0,0,0.0321132419520278,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055004961173893,0,0,0,0,0,0,0.0380812728624155,0,0,0,0,0,0,0,0,0,0
