,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X002241.SZ,X600703.SH,X000596.SZ,X300003.SZ,X600183.SH,X002007.SZ,X002236.SZ,X601877.SH,X000066.SZ,X000157.SZ,X300142.SZ,X000100.SZ,X002179.SZ,X002008.SZ,X300124.SZ,X300136.SZ,X002463.SZ,X600271.SH,X300014.SZ,X000625.SZ,X000977.SZ,X600867.SH,X002506.SZ,X600177.SH,X002129.SZ,X002371.SZ,X002049.SZ,X600066.SH,X600498.SH,X002456.SZ,X002180.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.100190389109787,0,0,0,0.564628988191137,0,0,0,-0.0388961276828969,0,0,0,0,0.0412760313434489,0,0,0,0,0,0,0,0,0,0,0.0443475115744904,0,0,0,0,-0.0356865267804572,0,0,0,0.00476452507904021,0,0.0246395049833451,-2.71050543121376e-20,0,0,0,0,0.0152877096165981,0,0,0,0,0,0,0,0.0169890363459982,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0546861632554039,0,0.0339049750267469,0,0.599346115762413,0,0,0,0,0.16073539679738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154780497427195,0,0,0,0,0,0.0176976838583947,0,0,0,0,0.0576728294284571,0,0,0,0.00882011018326702,0,0,0,0,-0.00295843872644391,0,0
X600276.SH,0,0,0,0,0,0,0,0.0831637960278062,0.000758534574989065,0,0,0.218412598236026,0,0,0,0.11889845905384,0,0.140665274506983,0,0,0,0.00779781735665953,0,0,0,0,0.0177697802757813,0,0.0307795235974063,0,0,0.0127577095412917,0,0,0,0,-0.0346001173089907,0,0,0,0.0659821285939863,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0248492105670839,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286460973198707,0,0,-0.0695272479955781,0,0,0,0.0200989242827049,0,0,0.078861135161279,0,0,0,0,0,0.0964958420797304,0,-0.0455193071725024,0,0,0,0,0,0.0394837495056891,0,-4.33680868994202e-19,0,0,0,0,0,-0.00422724115354589,0,0,-0.0213344969442276,0,0,0,0,0.0194233685864303,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0361918292924616,0,0,0.0631995854899472,0,0,0,0.0965889377961977,0,0,-0.0441903233938161,0,0,0,0,0,0.52833699095349,0.0734896005835572,0,0,0,0,0,0.00768704632261006,0,-0.023639542485009,-0.0106368584322534,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178159050945186,0,0.0662245543831686,0,0.0273757219027318,0,0,0,0,-0.0183585151457391,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0138953519404792,0,0,0.175936946962135,0,0,0,0,0,0,-0.0134626813842106,0,0,0.122871698919293,-0.0119553611690542,0,0,0,0,0.0439974722890689,0,0,0,0,4.33680868994202e-19,0,0,-0.0221040987134971,0,0,0.0156772150199381,-2.16840434497101e-19,0.031915167822844,0,0,0,0,0.0250222318551601,0,0.0102590035173486,0,0,0,0,0.0160495058696129,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072499611814703,0,0.0410160401818804,-0.103159467363111,0,0,0,-0.111163724058516,-0.238605108330061,0,0,0,0,0,0,-0.0798052249994783,0,-0.0596843646313112,0,0,0,0,0,0,0,0.0948257721911574,0,0,0,0,0.0271398405542544,0,0,0,0,0,0,0.117697500979918,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0055327881528606,0,0.109147395370704,0,0,0,0.037705761384003,0,0,0,0,0,0,0.0333434215722186,-0.0586055328641241,0,0,0,0,0,0,0,0.175384380211748,0,0.0575684171003519,0,0,0,0,0,0,0,0,0,0,0.100112527801049,0,0,0.231949105937943,0,0,0,0.0411591047158168,0,0,0,0,-0.0391085840279275,0,0
X002304.SZ,0.0433200275131613,0,0.097175621653808,0,0.106981456837098,0,0.196276167717635,0.0139042395913627,0,0,0,0.0349682602169687,0,0,0,0,0,0,0,0,0.119777363398615,0,0.0802817214183592,0,0,0,-0.0443760332572522,0,0,0,0,0,0,0,0,0,0,0,0,0.171218154024922,0,0,-0.00562949803894788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0680521988245422,0,0
X000063.SZ,0,0,0,0,0,0,0,0.165115857138771,0,0,0.127772378623456,0.123911791983976,0,0,0,0,0.0553734541280282,0,0,0.197236054226331,0,0,0,0,0.0479550788191677,0,0,0,0,0,0,0,0,0,0,0.0242734055006361,0.0546972144260222,0,-0.014968936864606,0,0,0,0,0,0,0,0.0694447952222446,0,0,0,0,0,0.0293009309357974,0,0,0,-0.0224438228059993,0,0
