,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X002475.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600183.SH,X600809.SH,X000661.SZ,X600703.SH,X000596.SZ,X002241.SZ,X002236.SZ,X000100.SZ,X002463.SZ,X601877.SH,X300003.SZ,X002007.SZ,X000157.SZ,X000066.SZ,X002008.SZ,X300142.SZ,X002179.SZ,X300124.SZ,X600271.SH,X000625.SZ,X600867.SH,X002129.SZ,X300136.SZ,X002049.SZ,X002371.SZ,X000977.SZ,X002456.SZ,X600498.SH,X002506.SZ,X002180.SZ,X600177.SH,X600584.SH,X600066.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.411895771491956,0,0,0.052344078217153,0,0,0,0.155502551996525,0,0,0.0867628858447022,0,0,0,-0.0978120085044276,0,0,0.00464045864979734,0.0291160715675053,0,0,0,0,-0.0466562256396338,0,0,0,0,0,0.0158687629924387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235641445280454,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0475968631688514,0,0,0,0,0,0,0,0,0,0,0.306758311185605,0,0,0,-0.0121766322787863,0,0.347004450234344,0,0,0.127587960421752,0.0323567260814551,0,0,-0.0839011870608119,0,0,0,0,0,0,0,0,0,0,0,0,0.0678949504214651,0,0,0.0538633160152089,0,0,0,0,0.00423322179658913,0,0,0,0,0,0,-0.0107999550994418,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.142768573910091,0,0,0.178317812030849,0,0,0,0.048683202113974,0,0,0.0802118652181947,0,0,0,0,0,-0.0073316305908255,0,0,0,0,-0.035048777761844,0,0,0,0,0,0,0.0852711870162282,0,0,0,0,0,0.00846105909800087,0,0,0,0,0.0311600004825587,0,0,0.162524456288986,0.0138660213582822,-0.0416645219001377,0,0,0,0.0190974225422167,0,0
X000651.SZ,0,0,0,0,0.0568795186170997,0,0,0,0,0,0,0,0,0,0,0,0,0.185458168257527,0,0,0,0,0,0,0,0,0,0.103975970476001,0,0.0916137270142866,0,0.0586470610657496,0,0,0,0,0.0576401839938875,0.00800429664867483,0,0,0,0,0,0,0,-0.0261853480794354,0,0,0,0,0,-0.0440690861065983,0.0600413066767823,0,0,0,0.0268194362186663,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.169516845854135,0,0,0,0.0280102444607698,0,0,0,0,0,0,0,0,0.0845814200386492,0.0580116391381863,0,0,0.0711292703903979,0,0,0,0,0,0,0,0,0,0,-0.0283095668637099,0,0,0,0,0,0.0129380594887916,0,0,0.0066255293520921,0,0.102693239211346,0,0,0,0.00248539516178764,0,0,0,0,-0.0213411796277514,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517439449472386,0.18345559737465,-0.06998412711838,0,0,0,0,0,0,0,0,0.0772455289622127,-0.0130886999865574,0,0,0,0.0617949446685352,0,0,0,0,0.127629630186259,-0.0369629169880335,0,0,0,0,0.0184560618184342,0,0,0,0,0,0,0,0,0,-0.00818690010205765,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011190021451425,0,0,0,-0.0713930550295665,-0.0182906706005479,-0.0354395960540912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195853195629139,0.0160829939941144,0,0,-0.0213284360224941,-0.0121762780614332,0,0,0,0.175166919683446,0,0
X002304.SZ,0,0,0.100263143270952,0,0,0,0.0987119598157866,0,0.021693758575139,0,0.0175554901665686,0.0143187066623233,0,0,0,0,0,0,0,0,0.263082840208861,0.00690123318863685,0,0,0,0,0,0,0,-0.0703669769202002,0.174143138431479,0,0,0,0,0,0.0113467612494517,0,0,0,0,0,0.0158665840682468,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X002475.SZ,0,0.0607978754174624,0,0,0.175354101493401,0,0,0,0,0,0,0,0.0305257694996787,0,0,0.00690239431389974,0,0.110137215188689,0.258501793210224,0,0,0,0.0871279213543779,0,0,0,0,0,0,0,0.145218644622225,0,0,0,0,0,0,0,0.0859896415307492,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0986317148272177,0,0,0,0.0113168624740153,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.332541215135448,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.130494564961361,0,0.102840566229205,0,0,0.0137778452739403,0,0,0,0,0,0,0,0,0,0,0,0.174359263224053,0,0,0,0,0,0,0,0,0,0,-0.000272293035370552,0,0,0,0,0,0,0.0175473646965091,0,0,0,0.000168071660346751,0,0
