,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X300014.SZ,X300124.SZ,X002241.SZ,X002371.SZ,X000063.SZ,X003816.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X601877.SH,X002179.SZ,X000661.SZ,X600741.SH,X000100.SZ,X300142.SZ,X600089.SH,X002180.SZ,X002074.SZ,X600460.SH,X000157.SZ,X600702.SH,X000733.SZ,X002236.SZ,X600884.SH,X000799.SZ,X002414.SZ,X000977.SZ,X601799.SH,X600779.SH,X600183.SH,X002007.SZ,X600584.SH,X002008.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.600697063100859,0,0,0,0.0261551501126509,0,0,0,0,-0.0133843532403285,0,0,0,0,0.0489741949025467,0.00459452595084414,0,0,0,0,0,0,0.0820191813813896,0,0,0,0,0,0,0,0,0,0.0278255507684004,0,0,0.0505059732264131,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382188411049773,0,-0.0148678201099331,0,0,0,0,0,0,0
X000858.SZ,0.357380898965402,0,0,0.20039885789507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746171691509215,0,0,0,0,0,0,0,0.0729019141862632,0.0107047553254315,0,0,0.0644630252911021,0,0.0686238499930635,0,0,0,0,0,0,0.114393971919741,0,0,0,0,0,-0.091575224991826,0,-0.00565220529296928,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.1558082514807,0,0,0.314095853248873,0,0,0,0,0,0,0,0.0798573904106829,0,0,0,0,0,0,0,0,0,0,-0.0245004554237349,0.0510581511962386,0,0,-0.0409696065201127,0,0,0,0,-0.0586679579340036,0,0.217756052540718,0.0199894458081799,0,0.0911441384666573,0,0,0,0,0,0,0,-0.0819577892041159,0,0,0,0,0,0,-0.0415174520762606,0,0
X600809.SH,0,0.24050977086511,0,0,0,0,0,0,0,0,0,0,0,0,-0.0749932034742527,0,0,0,0,-0.239904658820628,0,0,0,0,-0.134020842267961,0,-0.0918131607304564,0,0,0,0,0,0,0,0.0306304100544237,0,0.300273295365244,0,0,0,0,0.0757639391363327,0,0,0,0,0,0,0,0,0,0,0.00663219928777946,0,0,0,-0.00494098921850409,0,0
X000568.SZ,0.287914847095397,0,0,0,0,0,0,0,0,0,0.143456412143484,0,0,0,0,0,0,0,0,0,0,0,0,0.290033978170987,0,0,-0.0449060043137132,0.209495793745981,0,0,-0.0273545561103809,0,0,0,0,0,0,0,0,0,0,-0.107227664142278,0,0,0.134995904182503,0,0,0,0,-0.025587820019422,0,0,0.0315891182646334,0,0,0,0,0,0
X002475.SZ,0,0,0.06049132844829,0,0,0,0,0,0,0,0,0,0,-0.0564558457948363,0.260365923522688,0.28096496390641,0.00638403967483231,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0189003104231723,0,0,0,0,0,0,0,0,0,0,-0.0189038902705949,-0.177053283904163,0,0,0,0,0,0,0,0,0.105029093091317,0,-0.0344654736571116,0,0,0,0,-0.00335801369526542,0,0
X600276.SH,0,0,0,0,0,0.0694240502758173,0,0.18484702446455,0,0,0,0,0,-0.0545864660203617,0,0,0,0,0,0,0,0,0,0,0,0,-0.111174681043548,0.06873118722948,0,0,0.0464584591953143,0,0,0,0,0,0,0,0,-0.0500435338134526,0,0,0,0,0,0,0.208593108446907,0,-0.0372800095822037,0.0865346713539041,0,-0.0341367180843318,0,0,0,0,-0.0149695187532973,0,0
X600690.SH,0,0,0.015865603323666,0,0,0.0304704237757666,0.05487516852585,0,0.0786167073599821,0,0.210763538369705,0.347646717296996,0,0,0,0.0100628535942123,0,0,0,0.00935177541073291,0,0,0,0.0559628269948689,0,0,0,0,0,0.194500751865939,0.0564831345683788,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0165585170866133,0,-0.000265951371171034,-0.0425730711769823,0,0,0,0,0,0
X002304.SZ,0,0,0.166945010574843,0,0,0,0,0.109187792530573,0,0,0,0,0,0,0,0.014364002933067,0.063272275718967,0,0,0,0,0.0466257678523339,0,0.0841061983681022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603138863545971,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.118429156214583,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0608094080965926,0.112865526733886,0,0,0,0,0,0.180789977808662,0,0,0.041038430472657,0.00706402402978206,-0.132870460401583,0,0,0,0,0,0,0,0.0362504279854726,0,0,0,0,0,-0.0524528007667617,0,0,0,0.10232185409727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167786525334643,0,0
X000651.SZ,0,0,0,0,0.0745697535138283,0,0,0.158002800245699,0,0,0,0,0,0,0,0.101114388743923,0,0,0,0,0,0,0,0.0474887753707999,0,-0.208113450459008,0,0,0,0,-0.0889336577044332,0,0,0,0,0,0.0418196546259613,-0.119085911485642,0.0424528272186129,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610142191111314,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0186355965642424,0,-0.0402539823909131,0,0.0785537651746661,0,0,-0.0384199657204213,0,0,0,0,0,0.315446780022784,0,0,0,0,0.108361593971482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0729400968589446,0,0,0,0,0,0,0,0.00467070858247826,0,0,0,-0.0370217890187759,0.0208788923431366,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0115322681808091,0,0.0478790515506458,0,0,0,0,0,0,0,0,0,0,0,0.0386765934996844,0,0,0,0,0,0.00416225874008345,0,0,0,0.360198508948083,0,0,0,0,0,0,0,0,0.00281742067940323,-0.0193742594906502,0,0,0,0,0,0,0,0,0,0,0,-0.00549142977485653,-0.00775108073099863,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148714239541281,0,0,0.147876646326788,0,0,0,0,0,0.256529441629482,0,0,0,0,0,0.313150733779926,0,0,0,0.0880931279518778,0,0,0,0,0,1.73472347597681e-18,0,0.0402903020479083,-0.0633309516819347,0,0,0,0.00138166106312812,0,0
