,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X600703.SH,X000338.SZ,X000568.SZ,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002236.SZ,X002008.SZ,X600498.SH,X002456.SZ,X600487.SH,X002007.SZ,X000100.SZ,X300146.SZ,X000661.SZ,X002179.SZ,X000625.SZ,X600566.SH,X600867.SH,X000596.SZ,X600809.SH,X002180.SZ,X600177.SH,X000157.SZ,X300142.SZ,X002294.SZ,X002506.SZ,X300136.SZ,X600089.SH,X600066.SH,X000977.SZ,X600372.SH,X002241.SZ,X600522.SH,X000981.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.774840585397233,0,0,0.090005410981543,0,0,0,0,0,0,0,0.0422121324499616,0,0,0,0,0,0,0,0.1020538245968,0.00648142659611099,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0330871967811383,0,0,0,0,0,-0.0136441089219072,0,0,0,0,0,0,0,0,0,0.0129644807160454,0.00161128054258455,0,0,0,0,0,0
X600104.SH,0,0,0.132949465102599,0,0,0,0,0,0,0,0,0,0,0,0,0.269383993056913,0,0,0,0,0.029839600731935,0,0.142859249890615,0,0,0,0,0,0.00704985809948253,0,0,0,0,0,0.197702736901323,0,0,0,0,0,0,0,0,0,0.116670294543851,0,0,0,0,0,-0.154769946109818,0,-0.00435320829274491,0,0,0,0,0,0
X002415.SZ,0,0.00813516089224372,0,0.0387284318283972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589739458729881,0.0994731392219624,0.124258454745329,0,0,0,0,0,-0.0520189469965198,-0.091804755000109,0.044321512175791,0,0,0,0,0.0704372360288912,0,0,0,0,0,0,0,0,0,-0.0458908376565374,0,0,0,0,0.216950212437277,-8.67361737988404e-19,0.104166423457561,0,0,0,0.103240639840755,0,0
X600276.SH,0,0.0587882404952608,0.133177464845932,0,0,0,0,0,0,0.0107964830471207,0,0.0131396546532854,0,0,0.0316468150725609,0,0.395403208006426,0,0,0,0.0103094486284197,0,0,0,0,0,0,0,0,0,0,0.0442431413490007,0.0415632122894148,0,0,0.024809793783273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897883860317342,0,-2.16840434497101e-19,0.0212409649867349,0,0,0,0,0,0
X000651.SZ,0.155155451304776,0,0,0,0,0.142668606942314,0,0,0,0,0,0,0,0,0.185465018240171,0,0.0818298043423218,0,0,0.068558952254283,0,0,0,0,0,0,0,0.024597568543731,0,0,0,0,0.0669684762581939,0,0,0,0,0,0.0237542140281369,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0
X000858.SZ,0.129204161581524,0.0453549572284215,0,0,0,0,0.182038076802037,0,0,-0.0166971300897909,0,0,0,0,0.101953658798598,0,0,0,-0.0168775390940746,-0.000947351297374049,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182988191987348,0.132582771767035,0.258208081529305,0,0,0,0,0,0,0,0,0.110920116660801,0,0,0,0,0,0,0,0.019144390155127,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.36006472868789,0,0,0,0,0,0,0,0,0.441367400260023,0,0,0,0,0,0,0,0.0279982400843173,0,0,0,0,0.0709447850082242,0.0269513495927447,0,0,0,0.0536848917238077,0.0321243786038386,0.185815526916997,-0.108565499848026,0,0,0,0,0,0,0,-0.0137885644759133,0,0,0,0,0,0,0,0,0.0434961977653963,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0403456098155015,0,0,0,0,0,0,0,0,0,0,0,0,0.0528921992151093,0,0.0816850627918574,0,0,0,0.252649292298992,0.00808402011347483,0.127101916180223,0,0.256922822163101,0,0.0809019002217956,0,0,0,0,0,0,0.0533269091033924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.312482041908207,0.0199164729403426,0,0,0,0,0,0,0,0,0,0,0,0,0.0889637402028743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157838763971292,0,0.104240795991063,0.315701620052066,0,0,0,0,0,0,-0.0226391030189367,-0.0237298197191523,0,0,0,0,0,0
X000063.SZ,0,0,0.202310690717238,0,0,0,0,0,0,0,0,0.295086947515177,0.216294544460053,0,0,0,0,0,-0.0366534161665306,0,0,0,0.16642819656346,0.16907633406865,0.22599081354394,-0.0669455332656648,0,-0.141015564789946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218765956148906,-0.116335264983767,0,0,0,0.00792301615543253,0,0
