,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000338.SZ,X000625.SZ,X002456.SZ,X600031.SH,X600066.SH,X601877.SH,X000100.SZ,X002008.SZ,X300124.SZ,X600809.SH,X600487.SH,X300136.SZ,X002508.SZ,X300003.SZ,X600522.SH,X600089.SH,X002294.SZ,X002085.SZ,X600498.SH,X600699.SH,X600867.SH,X600271.SH,X000596.SZ,X600177.SH,X000157.SZ,X000050.SZ,X600566.SH,X600118.SH,X000559.SZ,X600584.SH,X002180.SZ,X000661.SZ,X300142.SZ,X300115.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.322404746929265,0,0,0.11586528046087,0.122192142874393,0,0,0,0,-0.106764267192399,0,0,0,0,0,0,0,-0.0474779458741858,0,0,0,0,0,0,0,0,0,0.0299339948285097,0,0,0,0,0,0,0,0,0,0,0,0.00124923514813062,0,0.110294392756485,-0.0381061425752104,0,0,-0.0256670427082302,0,0,0,0.0293919979110949,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0367352994609155,0,0,0,0,0,0,0,0.312711205553546,0.0865467833668515,0,-0.182424449395514,0,0,0,0,0,0,-0.00245672052716723,0,0,-0.0068119316504713,0,0,0,0,0,-0.114005117862464,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254526635091266,0.0380255680944198,0,0,0,0,-0.0506303634398548,0.0578931583209696,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.13021013861559,0,0,0.0563654081514918,0,0,0,0,0,0,0,0.114311763908118,0.0945253335394156,0,0,0.0876346731472626,0.0337879888331398,0.00474818544606341,0,0,0,0,0,0,0.0387241931286252,0,0,0,0,0,0,0,0,0,0.0630368787870585,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,-0.0483103878146344,0,0,0,0,0.106929753474639,0,0,0,0.360519869505745,0,0,0,0,0,0,0.0728230490191837,0,0,0.0339541525037258,0,0.0479980675436908,0,0.168441207254517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10495920916193,0,0,0,0,0,0,-0.0179483672898914,0.000127712867346633,0,0,0,0,0,0
X000651.SZ,0,0.0919204625090067,-0.112046984005723,0.12524276456353,0,0,0,0,0,0,0,0,0.0828582512553447,0,0,0,-0.0478153958540384,0,0.00870777160194288,0.063181719313372,0,0,0,0,0,0.00819437244389119,0,0,0.0449046625480328,0,0,0,0,0,0,0,0,-0.00252790191827376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121841640350001,0,-0.0462990554004989,0,0,0,0,0
X000725.SZ,0,0,0.0435843212764939,0,0,0,0,-0.0864719058609174,0.162022132540971,0,0,0,0,0,0.0395367713843137,0,0,0,0,0,0,0.297144380872893,0,-0.0998936459477171,0,0,0,0.149101509850741,0,0,0,0,0,0,0,0,0.221736969283589,0,0,0,0,0.123656888189799,0,0,0,0,-0.126852802194575,0,0,0,0,-0.0416245148109322,0.0701215374707131,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.159065889596957,0,0,0,0,0,0,0,0,-0.129699827438406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134261015766749,-0.0738417838850177,0,0,0,0,0,0.0418621455100814,0,0,0,-0.0230435922762221,0,0.0777365250124666,0.00625144896855278,0.044002487469832,0,-0.00210340228269019,0,0,0,0,0,0,0
X002304.SZ,0,0,-0.008796573668754,0.362073622160735,0,0,0,0,0,0,0,0.0329942432942547,0,0,-0.156000496749414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021136013291922,0,0,0,0,0,0,0,0.0167415077427434,0,0,-8.67361737988404e-19,0,-0.0551062642226574,0,0,0.0923676764797991,0,-0.0415479373482251,0.0518179305505921,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.345114502687802,-0.126039482334568,-0.187668016370248,0,0,0,0,0.176837514072412,0,0,-0.0854822079868955,0.089687161898063,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258921731156576,0,0,0,0,0,0,0,0,0,0,0,0.113304311699742,0,0,0,0.144060861488238,0,0,0,0,0,-0.0709213160202824,0.0885364123584389,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0.149205758647383,-0.127026832806308,0,0,0.229882828204014,0,0,0,0,0,0,0,0,0,0,-0.223335191477406,0,0,0,0,-0.112352684939636,0,0,0,0,0,0,0,0.178503377410514,0,0,0,0,0,0,0,0,0,0,-0.010795684382345,-0.0305557445022426,0,0,0,0,0.0037706467724272,0,0,0,0,0,0,0
