,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002304.SZ,X000661.SZ,X000725.SZ,X600031.SH,X000568.SZ,X003816.SZ,X600809.SH,X600703.SH,X600690.SH,X000338.SZ,X002371.SZ,X002241.SZ,X300014.SZ,X000100.SZ,X000596.SZ,X002007.SZ,X300142.SZ,X600741.SH,X300003.SZ,X600183.SH,X002129.SZ,X002049.SZ,X300124.SZ,X000625.SZ,X600584.SH,X002236.SZ,X000157.SZ,X000800.SZ,X000977.SZ,X601877.SH,X300136.SZ,X002456.SZ,X002414.SZ,X002179.SZ,X002463.SZ,X000066.SZ,X002185.SZ,X002008.SZ,X600118.SH,X002180.SZ,X000021.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.138340793778533,0.168048585134142,0,0,0,0,0,0.0233531306246138,0.0811083688620757,0,0,0.0483270100804455,0,0,0,0,0,0,0,0,0,0.0938100421868351,0,0,0,0,0,-0.0101789410098399,0.0544602287736117,0,0,0.0136824240421493,0.0892941906484579,0,0,-0.0381489410465014,0,0,0,0,0,0,0,0,0,0,0,-0.0330702143347514,0,0,-0.00083173797466357,0,0,0,0,0,0,0
X000858.SZ,0.249183324567439,0,0,0,0,0,0,0,0.00261765438340191,0,0,0,0.233712819169918,0,0.190962037844923,0,0,0,0,0.0387782330841296,0,0,0,0,0.143021235522559,0,0,0,0.0400464597919235,0,0.0174677725647191,0,0,0,0,0,0,0,0,0,0,0,0,0.14068170476295,0,0,0,0,0,0,0,-0.00437029126843673,0.00640765044375596,0,0,0,0,0,0
X600276.SH,0,0,0,0.173408517788196,0,0,0,0,0,0,0,0,0,0,0.0621102861164486,0,0,0,0.0255541307540579,0,0,0,0,0,0,0,0.149958134446322,0,0,0.00305137909356448,0,0,0.0569938980115969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195437246776154,0,-0.0149669905688954,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0271055123356399,0,0,0.0108564337083332,0,0,0,0.282698020310471,0,0,0,0,0,0,0,0,0,0.0372706557630992,0,-0.0507429856946164,0,0,0,0,0,0,0.128789820483582,0,0,0,0,0,0.0174166627019774,0,0,0,0.0618280595171463,0,-0.046166273100019,-0.00900820412103227,-0.0180090442868361,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.126629509020548,0,0,0,0,0,0.271563839664119,0,0,0,0.00494153222254068,0.382234716169591,0,-0.0458477415293509,0,0,0.0520919806216106,0,0,0,0,0,0,0,0.0105241817917332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102402386513672,-1.73472347597681e-18,0,0,-0.00684003585564319,0,0,0.00173819007485835,0.00652860117806983,0,-0.0299237038947619,0,0,0,0
X002415.SZ,0,0,-0.046248765316549,0,0.256187755549238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163736947456297,0,0,0,0,0,0,0.195432032879109,0,0,0,0.298628310528925,0,-0.032012294171577,0.202827682907025,0,0,0,0,0,0,0,0,0.0520149194119754,0.0479495979975913,0,-0.067487564301501,0,0,-0.00175671443726607,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0957227118122824,0,0,0,0,0,0,0,0,-0.101854822174808,0,0,0,0,0,0.0534064802633799,0,0,0,0,0.21805618867576,0,0.100527162138778,0,0,0,0,0,0,0,0,0,0.0969954371603861,0,0.05684208687733,0,0,0,0,-0.139332461048311,0.0120787390493509,-0.0252379179533062,0,-0.124013154712284,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132918858935614,0.02995898110419,0,0,0,0,0,0,0.0256883742038073,0,0,0,0,0,0,0,0.15862875861269,0,0,0,0,0,0.0212766098861009,0,0,0.0958509141579852,0.0405209197826529,0,0.17039547431006,0,0.091192741867503,0,0,-0.0622572191613877,0.0211000085045939,-0.0379294219264453,0,0,0,0,0,0
X002304.SZ,0,0.403386341768478,0,0,0,0,0,0,0,0,0,0,0.0800481370900646,0,0,0.0655473384097252,0,0,0.0207929267296547,0,0,0,0,0,0,0.0701453886752224,0,0,-0.0937542914955784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362482704971217,0,0,0,0,0,0
X000661.SZ,0,0,0.156888073944796,0.156240101592707,0,0,0,0,-0.0808794292810591,0,-0.105566781398322,0,0,0,0,0,0,-0.037138351217356,0.125161226655531,0,0,0,-0.0168746834441818,0.0887022002137219,0,0,0.0489839982992756,0,0,0,0,0,-0.123015874876299,0,0,0,0,0,0,0,0,0,0,0.0643174899641911,0,0,0.0352209752930089,0,0,0,0.0904025995332647,0.00199728186448433,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.050657307407919,0,0,0,0,0,-0.0819658429543192,0,0,0.0117112029784285,-0.0175756210434375,0,0,0.424042931403715,0,-0.0952517424975134,0,0.169443395594888,0,-0.0205426932321929,-0.0283442685994699,0,0,0,0,0,0,0,0,0,0,0,0,0.127408415857664,0,0,0,0,0,0,4.33680868994202e-19,0.0901439463970195,0,-0.000937704458464533,0.0142761234483478,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.128293788247515,0,0,0,0.036571507982531,0,0,0,0,0,0,0,0,0.248967895748019,0,-0.00460325373308487,0,0,0,0,0,0.148278331678195,0.0987301553364016,0.0200367528508226,0,0.0197416971878351,0,0,-0.0563100951834064,0,0.172415455115853,0.00141924112547733,0,0,0,0,0,0,0,0,0,0.195156400109539,0,0,0,0,0,-0.0130070502814065,-0.0185055962459573,0,0,0,0.0945763958110066,0,0
X000568.SZ,0,0.773952460930498,0,0,0,0,0,0,0.0195657030492663,0,0,0,0,0,0,0.0582767178772368,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554113178550441,0.104739507684054,0,0.0171559474665909,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497707730949881,0,0,0.0167640258225389,0,0,-0.00258706588663592,-0.0140941787506909,0,0,0,0,0,0
