,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000625.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X000596.SZ,X300014.SZ,X000100.SZ,X600089.SH,X002179.SZ,X600703.SH,X002241.SZ,X002129.SZ,X000157.SZ,X600372.SH,X002236.SZ,X600741.SH,X002049.SZ,X000661.SZ,X600584.SH,X601877.SH,X000977.SZ,X002028.SZ,X600183.SH,X002463.SZ,X600522.SH,X000800.SZ,X002074.SZ,X601799.SH,X002007.SZ,X600460.SH,X300142.SZ,X002223.SZ,X600066.SH,X002294.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0885240270436833,0,0,0.00751205673405714,0.363104106442095,0,0.038219135061007,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223112269057997,0,0,0,0,0,0.0447098700791757,0,0,0,0,0,0,0,0,-0.010484519873245,0.00183688854795932,0,0,0,0.0181728278950594,0,0
X000858.SZ,0.150653305070786,0,0,0,0,0.394038597348664,0,0.0766809027319054,0,0,0,0,-0.0338018158370241,0,0,0,0,0,0.0775683079528835,0,0.0936990106246089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180849553107513,0,0,0,0,0,0,0,0,0,0.0396351109587507,0,-0.0287380550412166,0,0,0,-0.00506124802015593,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.196623952808669,0,0.0241462728154874,0,0,0,0,0,0.269083221336462,0,0,0,0.0875228570329045,0,0.0311790814189994,0,0,0,0,0,0,0,0,0,0.0399345248262567,0.0353157973588116,0,0,0,0,0,0,0,0,0,0,-0.0291692312031981,0,0,0,0,5.42101086242752e-20,0,0,0,-0.0375085495522843,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00394813848878535,0,0,0.179502508027771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333429517480747,0,0,-0.0313539376503482,0,0,0,0.0369990593494955,0,0,0,0.221433821704942,0,0,0.0952833997829068,0.176141746892564,0,0,0,-0.0278139037685101,0,0,0,0,-0.0108063954960491,0,0
X600809.SH,0.111069273969467,0,0,0,0,0.368162260831131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379048527914775,0.155509890549905,0.0407456428465416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.210935154909198,0.0108322803246183,0,-0.0534416385698996,0,0.0407685875776921,0,0,0,0,0,0,0,0,-0.0103227276540539,0,0,0,0,-0.0601053663323935,0,0
X000568.SZ,0.279268800370781,0.692301649541936,0,0,0.00657265777688741,0,0,0,0,0,0,0,0,0.0456683027180668,0,0,0,0,0,0,0,0,0,-0.212163694489081,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171701276183046,0,0,0,0,0,0,0,0.00922552664514151,0,0,0,0,0,0.0138650378040622,-0.0150311839217485,0,0,0,-0.0467622013047256,0,0
X002475.SZ,0,0,0.00985068762948637,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451344632894181,0,0,0.0388998287835502,0,0,0,0,0,0.0845035880811651,0,0,0,0,0,0.00927164052000215,0,0.208400702226882,0,-0.0924748346742457,0,0.114351135474232,0,0.258094770717376,0.0397569677298627,0,0,0,0,0,0,0,0,0,0,-0.0556106477825313,0.0276298267037384,0,0,0,0,0,0
X600690.SH,0,0.00232863709489852,0,0,0,0.313793429000764,0,0,0.0275023761270873,0,-0.00452810166396608,0,0,0,0,0.0691952196083425,0,0,0,0,0,0,0,0,0,-0.0269356337966905,0,0,0,0,0,0,0.0734280812819594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265326272755408,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0772184538568917,0,0,0,0,0,0,0,0,0.0778385308524832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919748625875386,0,0,0.0290484020629529,0,0,0,0,0,0,0.180805793068554,0,0,0,0,0,0,0.365621350012776,0,0.0168793255532377,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052131476945898,0,0.033152493031629,0,0,0,-0.0231295762452949,0,0,0,-0.0894652572591027,0,-0.0130023531856746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429527569424892,0,0,0,0,0,0,0,0.124896022106892,-0.0245810996445302,0.0193715232636628,0,0,0,0.0889009856334032,0,0
X600104.SH,0.0599425283079351,0,0,0,0,0.0962110135500191,0,0,0,0,0,0.169066679660502,0.0513509264196524,0,-0.0610499217827983,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0746840586022443,0,0,0.111844865361614,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.0200580753195284,0,0.0570767496870891,0,-0.0110671031960528,-0.0386103525757872,0.0896932237478248,0,-0.0127485461838244,0.0333106577647336,0,0,0,-0.000915147867774987,0,0
X300124.SZ,0,0,0.0925787903535251,0,0,0,0,0,0,0,0,0,0.122567615038251,0,0,0,0,0,0,0,-0.285410387839092,0,0,0.0208672589283508,0,0.16762318830828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0764315713326285,0.217628195310134,0,0,0.193500286352037,0,-0.110910295402087,0,0,0,0,0,0,0,0,-0.0178738033346622,0,0
X000625.SZ,0,0,0,0,0,0.204216746222221,0,0,0,0,0,0.0364095396603601,0,0,0,0.292456175839259,0,0,0,0,0.125616273581226,0,0,0.00597800695009833,0,0,0.206895659989626,0,0,0,0,0,-0.0753749166033429,0,0,0,0,0,0,0,0.0276678535188734,0,0,0,-0.361263289302027,0,0,0,0.221721285850175,0,0,0.00807470980737548,-0.0163063920634522,0,0,0,0,0,0
