,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X600276.SH,X002304.SZ,X002475.SZ,X600104.SH,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X003816.SZ,X002129.SZ,X300014.SZ,X002371.SZ,X000338.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X600703.SH,X000596.SZ,X300142.SZ,X002179.SZ,X000625.SZ,X601877.SH,X600089.SH,X000100.SZ,X000661.SZ,X000157.SZ,X600741.SH,X600460.SH,X000733.SZ,X002180.SZ,X600884.SH,X600522.SH,X002074.SZ,X600702.SH,X000799.SZ,X002236.SZ,X600584.SH,X002414.SZ,X000977.SZ,X000800.SZ,X600779.SH,X600183.SH,X002008.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.3162802434457,0,0,0,0.190487670407193,0,0.0667911814229029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836246678318221,0,0,0,0,0,0,-0.0247909704741632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00612631322779184,0,0.0748518485581936,0,0,0,0,-0.0306244515411482,-0.00379257088810402,0,0,0,-0.0384495912771204,0,0
X000858.SZ,0,0,0,0,0.237423228333264,0.159029439130383,0,0.12930605268019,0,0,0,0,0.0333894415641361,0,0,0,0,0,0,0,0,0.0849009889485848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497082801253278,0.00356664040008724,0.0430658537556408,0,0,0,0,0,0,0,0,0,0,0,-0.0126773243442527,0.0154659756405328,0,0,0,0,0,0
X002415.SZ,0,0,0,0.127428232729764,0,0,0,0.056069170128135,0.0573063305311984,0,0,0,0,-4.33680868994202e-19,0,0,0.123692122100914,0,0,0,0,0,0,0,0,0,0.022063770281408,0,0,0,0,0,0,0,0,0.0903574744350635,0,0,0,0,0,0,0,0,0.194091454239082,0,0,0,0,0,0,0.00103113362109431,0.00395059821317541,0,0,0,0,0,0
X600809.SH,0,0.149396946207415,0.175151993944609,0,0.436283592788648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730962574786547,0,0,0.193924386530985,0.00206150301015774,0,0,0,-0.0620174460416065,0,0,0,0,0,0.0649581482821685,0.0492519847704916,0,0,0,0.0702540476909996,0,0,0,0,0,0,0,0,0,0,0,0.0728625479098395,-0.0292487080800646,0,0,0,0,0,0
X000568.SZ,0.0454391153944165,0.0606489089305075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349035284961141,0,0,0,0,0,0.201411028663235,0.0202287612419289,0,0,0,0,0,0,0,0,0,0,0.148036641577002,0,0,0,0.0641987950727495,0,0,0,0,0,0,0,0,0,0,0,0,0.0443029842927639,0,0,0,0,0,0
X600690.SH,0.0532731400669904,0.0841201553181374,0,0,0,0,0.0752019021328068,0,0,0,0,0,0.176669713368113,0,0,0,0,0,0,0,0,0,0,0.136115656176274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104516852848653,0,0.0605800146550343,0.00389680993930041,0,0,0,0,0,0,0,0.139214814704829,0,0,0,-0.006006091105298,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.239534340467944,0,0,0,0,0,0,-0.0904147888657897,0,0,0,0,0,0,0,0,0.232893815797883,0,0,0,0,0,0,0,0,0.092561739104311,0,0,0,0,0,0,0,0,0,0.116275459996171,0,0,-0.0825344527172979,0.0791353179722054,0,0,0,0,0,0,0,-0.01857083324291,0,0,0,-0.0325415523881642,0,0
X002304.SZ,0.0646832967577223,0,0,0.00907470057518582,0.122315995802119,0,0,0,0,0,0,0,0,0.0736754338977615,0,0,0,-0.0731053780722022,0,0,0,0,0,0.255496544086577,-0.0128443540545328,0,0,0,0,0,0.0177258703232474,0,0.356446496414832,0,0,0,0,0,0,0.184841331753039,0,0,0,0,0.0985442921631514,0,0,0,0,0,0,-0.0130566911409267,0,0,0,0,0.0167144717630248,0,0
X002475.SZ,8.67361737988404e-19,0,0,0,0.119605563806549,0,0,0,0,0,0,0,0,0,-0.251091676476803,0.0183442965149499,0.0302347231278433,0.211668779010455,0,0.44742524567867,0,0,0,0,0,0,0,-0.13596899335281,0,0,0,-0.0301736722116582,0,0,0,0,0,0.049413785113502,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419652960044051,0,0,0,0,0,0,0
X600104.SH,0.0355424022156155,0,0,0,0,0,0,0.0957704001227538,0,0,0,0.00411357927460587,0.0666541044775246,0,0.125838568273454,0,0,0,0.0793262292603968,0,0,0.0144274912211485,0,0,0,0,0.124808098962066,0,0,0,0,0,0,0,0.0375693267884797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424752327486027,0,0,0.0116045973229012,0,0,0,0,0,0
