,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X600031.SH,X000568.SZ,X600809.SH,X000725.SZ,X000063.SZ,X000661.SZ,X600690.SH,X003816.SZ,X002241.SZ,X000338.SZ,X300124.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300014.SZ,X000625.SZ,X300142.SZ,X600741.SH,X002371.SZ,X000100.SZ,X002049.SZ,X002129.SZ,X601877.SH,X000157.SZ,X002236.SZ,X600584.SH,X002179.SZ,X300003.SZ,X002414.SZ,X600183.SH,X000800.SZ,X300136.SZ,X000977.SZ,X000066.SZ,X601799.SH,X002456.SZ,X600118.SH,X002185.SZ,X600066.SH,X000547.SZ,X002008.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.108702123848258,0,0.0471722945728964,0.0361920209225821,0,0,0,0,0.219267419785051,0.190132408493075,0,0,0,0,0,0,0,0,0.0639156116348251,0.0113496570177202,0,0,0,0,0,0,0,0.012543856933688,0,0,0,0.0164888952908249,0,0,0,0,0,0,0,0,0,0.0701546659077578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.151151247750796,0,0,0,0,0,0,0.190511373978428,0.0833236520656564,0,0.390506393816029,0,0,0,0,0,0.104489746452234,0,0,-0.0385497090659115,0,0,0,0,0,0,0.0122525259607873,0,0.00757488822886404,-0.021938830459962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218755773694248,0.0406063352381979,0,0,0,0,0,0,0,0.0472646805039483,0,0,0,0,0,0
X600276.SH,0.182190523647883,0,0,0,0.0328877838392737,0,0,0.066495266123956,0,0.0334404135712839,0.0750375939946452,0,0,0,0,0,0,0,-0.073853708434862,0.0700426072959091,0,0.0607443983197083,0,0,0,0,0,0,0,0,0,0,0.153932050228778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00790709641416525,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00480057548249755,0,0.305310663446248,0,0,0,0.00159662323561934,0,0,0.0760895135800675,0,0,0.00447331325385594,0.0518914021072939,0,0.0100393147852498,0,0,0,0.143850965712277,0,0,0,0,0,0,0,0,0.0593291191976425,0,0.00375509612622889,0.0621965368245323,0,0.0170272434848568,0.108080815852079,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.193522601995819,0,0,0,0,0,0,0,0,0,0,0.112008448217911,0,-1.38777878078145e-17,-0.0488584035242428,-0.0353816270471993,0,0,0,0,0,0,-0.0437439624440195,0,0,0.0985348998649692,-0.00928724131950052,0,0,0.17745553230266,0,0.0417112013784638,0,0,0,0,0.0334424988384399,0,0,0,0,0,-0.0328230865265292,0,0,0,0,0,0.0293094173806949,-0.0373840663826107,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269378148425474,0,0,0,0.000128296945886454,0.0110745238943388,0.0169606984471342,0,0,0,0.128682050178354,-8.67361737988404e-19,0,0,0,0,0,0.107720843090157,1.73472347597681e-18,0,0,0,0,0,0,0.103835907011584,0,0.0486353046231209,0,0,0,0,0,-0.0275863071091811,-0.0245961473642582,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.154760289673728,0,-0.0340507842939242,4.33680868994202e-19,0,0,0,0,0,0.125630548174696,0,0.0806533611311577,0,1.73472347597681e-18,0,0,6.93889390390723e-18,0.150379777516929,0.0244880680109584,0,0,-0.0127609208299024,0,0.0273142358901178,0,0,0,0,0,0.00887031154144097,0,0,0,0.037025011194905,0,0,0,0,0.0228894576328012,0,0.0345860556887906,0,0,0.00956316270901521,0,0,0,0,0,0,0
X002304.SZ,0,0.271601381912309,0,0,0,0,0,0,0,0.265112406341221,0.0210484758121622,0,0,0,0,0,0,0,0,0,0.0839771527884879,0,0,0,0,0,0,0,0,0.182114795154579,0,0,0.0296999151289845,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0138632474985375,0,-0.0157899661052788,0,0,0,0,0,0,-0.00386883156835854,0,0,0,0,0,0,0
X600031.SH,0,0.0229563878547237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31062699019998,0,0,0.0613786776522547,0,0,0,0.018052545817617,0.0933877236587216,0,0,0,0,0,0.330103943906991,0,0,0,0,0,0,0,0.0203776730769782,0,0,0,0,0,0,0,0,-0.0499365185848622,0,0,0,0.00335613806401898,0,0,0,0,0,0
X000568.SZ,0,0.459863962537155,0,0,0,0,0,0.222823416717806,0,0,0.0101653551207075,0,0,-0.0841834412087598,0,0,0.033634194060471,0,0,0,0.0915629796033532,0.0740719870765284,0,0,0,0,0,0,0,0.0188256796703334,0,0,-0.0479104785929584,0.036328602607242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225553238683495,0.00551363751378475,0,0,0,0,0,0
