,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X000625.SZ,X600031.SH,X600690.SH,X000100.SZ,X600276.SH,X600118.SH,X600372.SH,X600271.SH,X000157.SZ,X002129.SZ,X000338.SZ,X600703.SH,X000559.SZ,X600839.SH,X600089.SH,X002241.SZ,X600741.SH,X600177.SH,X600066.SH,X600582.SH,X002456.SZ,X600198.SH,X002292.SZ,X002236.SZ,X002475.SZ,X000800.SZ,X300124.SZ,X002465.SZ,X600060.SH,X300003.SZ,X600435.SH,X000568.SZ,X002008.SZ,X000977.SZ,X601877.SH,X000727.SZ,X000581.SZ,X002223.SZ,X600166.SH,X000869.SZ,X000050.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.053118148473802,0,0,0,0,0.0554884667535592,0,0,0.0774200504969798,0,0,0,0,0,0,0.0676786651010012,0,0,0,0,0,0,0.0451510278760047,0,0,0,0,0,-0.0305691098224707,0,0,0,0,0.222933737677924,0,0,0,0,0,0.0263172464805965,0,0,0,0,0,0,0.011058145690601,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497530316717378,0.035004783096972,0,0,0,0,0,0.0151357503512412,0,0,0.0158129395334262,0.0566804928859809,0,0,0,-0.0231710431616242,0,0,0.0456128873021753,0.044620614425021,0,0,0,0,0,0.330255415553891,0,0,0,0,0,0,0,0,0,0.074948633539902,0,-0.000767412759992581,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0268064418196159,0,0,0,0.0955631990956835,0,0,0,0,0,0.138567249290555,0,0.0828439319783139,0.0482540655665481,0,0,0,0,0.175917336456308,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0694572845154046,0,0,0,0,0.090429178033939,0.11675085475091,0,0,0,0,0,0,0,0.00156074559172913,-0.00543968522649186,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.106469810368937,0,0,0.0178062926342983,0,0,0,0.051364616585015,0,0,0,0.0107408698664592,0,0,0.0758955803413233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419047924091426,0,0,0.0281714456033618,0,0.0127400656445882,0,0,0,0,0,0,0,0,0,-0.00083737225931889,0.00864772041243366,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.00510538244409482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191000904321674,0,0,0,0.318792222323025,0,0.0427475582965717,0,0.0976382054136034,0,0,0.0660860256005182,0,0,0.0729989163530478,0,0,0,0.090908763747745,0,0,0,0,0,-0.0141779858360987,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0686226247233351,0,0.025762990259313,0,0,0,0,0,0.0535746478671927,0.0421900022398574,0,0.083465327231432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236951479188496,0,0,0,0,0,0,0,0.0833982784071437,0,0.04682787788152,0,0.000917696734700494,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.00352101836324809,0,0,0,0,0.0829103333720134,0.0205627343340879,0,0,0,0.123093725804402,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.020949550204424,0,0,0,0,0,0,0.0259509394048615,0.0733920674474486,0,0.0843229101320037,0,0.0915099248190921,0,0,0,0,0,0,0,-0.00297645957723841,0,0,0,0,0,0,0
X000063.SZ,0.0529082777635786,0,0,0,0.0236136348578846,0,0,0,0,0,0,0,0,0,0.0506973254106642,0,0.261338282662412,0,0,0,0,0.012464016099216,0.10343550800286,0,0,0.216748084201795,0,0,0,0,0,0,0,0,0,0,0.0206312652343859,0,0,0.039395836290431,0,0.140324706899341,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.00660165699976524,0,0,0,0,0,0,0
X000625.SZ,0.0285995906642497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629819108971997,8.67361737988404e-19,0,0,0.0373237944338376,0,0.0624864683704028,-1.73472347597681e-18,0,0,0.119911406005147,0,0,0,0,0,0,0,0,0,0,0,0.0141719934794416,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.00140472905519956,0.0532841295404236,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155251633348384,0,0,0,0,0,0,0,0.150448093315251,0,0.0176247676632817,0,0,0,0,0,0,0,0,0,0,0,0.0229607059022263,0,0.000493347864806963,0,0,0,0,0.0133996339882829,0,0,0,0,0,0.262512860209611,0,-0.00872416278268616,0,0,0,0,0,0,0
