,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X002475.SZ,X601877.SH,X600271.SH,X300003.SZ,X002236.SZ,X300124.SZ,X600809.SH,X000100.SZ,X600487.SH,X002008.SZ,X600498.SH,X000625.SZ,X002007.SZ,X000661.SZ,X300142.SZ,X600867.SH,X000157.SZ,X000596.SZ,X600566.SH,X002179.SZ,X002456.SZ,X600177.SH,X600066.SH,X600089.SH,X002506.SZ,X600372.SH,X300146.SZ,X600522.SH,X002180.SZ,X002241.SZ,X600699.SH,X000977.SZ,X002294.SZ,X300136.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.348177193538719,0,0.0857910788452511,0,0,0.0796735705010061,0,0,0,0,0,-0.0109310650128879,0,0,0,-0.0659431739528359,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.480801273352987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348383887360915,-0.00785193536534746,0,0,0.00183341083509358,0,0,0,0,0,0,0
X600104.SH,0,0,0.0557630580710005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160448082963608,0.108285939492761,0,0,0,0,0,0.0784318957253818,0,0,0,0,0,0,0,0.0622588312392767,0,0,0,0,0,0,0,0,0,0,0,0,0.159953810722844,0,0,0,0,-0.0229526157104801,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.662304602051543,0,0,0.127533207478519,0,0.241843242957544,0,0,0,0,-0.0847085986540869,0,0,0.0747817113025853,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0332274636235251,-0.0241412835853736,-0.0122107347442533,0,0,0,-1.73472347597681e-18,0,0
X000651.SZ,0.0932398022387336,0.115677131982758,0,0,0,0,0.13905868203776,0,0.326337963984303,0,0,0,0,0.0852135694723435,0,0,0,-0.0111236234710592,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0607357515751955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235306047917731,0,0,0.00120348235345508,0,0,0,0,0,0,0
X000858.SZ,0.121286690898461,0,0,0,0,0,0.186181568357537,0,0,0,0,0,0,0.101264834988471,0,0,0,0,0,0,0,0.216470943796727,0,0,0,0,0,0,-0.0478289474415158,0,-0.0110462747313646,0,0.302959777623264,0,0,0,0,0.0143208272373151,0,0,0,0,0,0,0,0,0,0,0.00947524868330778,0,0,0.00398301599470083,0.0226695178075783,0,0,0,0,0,0
X600276.SH,0,0,0.22320626216249,0,0,0,0,0.0036070781852565,0,0,0,0,0,0.0377388333533025,0,0,0,0,0.445450633659891,0,0,0.022702394646508,0,0,0,0,0,0,0,0.00642961508815616,0,0,0,0,0,0,0.187264121321759,0,0,0,0,0,0,0,0,0,0,0.0455111132612168,0,0,0,0.00763615351233098,0.0238959057087507,0,0,0,-0.0596304067149651,0,0
X002304.SZ,0,0,0,0,0.0318789954195034,0,0,0,0,0,0,0,0.320813932464747,0,0,0,0,0,0.081384192263958,0,0,0.369039539784674,0,0,0,0,0,0,0,-0.0419524325904572,0,0,0.200082149023479,0,0,0,0,0,0,0,0,0.0027067199885276,0,0,0,0,0,0,0,0,0,0.00476040650385585,0.0372260872538934,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.118444959988889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235803291295766,0,0,0,0,0,0,0,0.198095366846999,0,0,0,0.0162553472063903,0,0,0,0,0,0,0,0.0955278432841209,0,0,0,0,0.0900226478227902,0,0,-0.0299528369669036,3.46944695195361e-18,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.112925192372101,0,0.0113130406734098,0,0,-0.0351614741318637,0,0,0,0,0,-0.109779513833081,0,0,0,0,0.15557383439906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180268372139725,0,0,0,0.150882830886111,0,0,0,0,0.460994893372549,0,0,0,0,-0.00374857137355233,-0.00840615954483186,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725662556291711,0,0,0,0,0.141653933860627,0,0,0.124156010830427,0,0.485889804328111,0,0,0,0.110877061016024,0,0,0,0,0,0.0187534008082238,0,0,0,0,0,0,0,0,0,0,0,0,0.0440342632190081,0,0,0.0294592323226109,-0.0448770077435611,0,0,0,0.178846702628706,0,0
