,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X002506.SZ,X000100.SZ,X600031.SH,X002292.SZ,X600066.SH,X002241.SZ,X002236.SZ,X600118.SH,X000157.SZ,X600741.SH,X002049.SZ,X000559.SZ,X002465.SZ,X002475.SZ,X600372.SH,X000338.SZ,X600089.SH,X000568.SZ,X600498.SH,X300124.SZ,X600177.SH,X002294.SZ,X600867.SH,X000869.SZ,X300003.SZ,X601877.SH,X002456.SZ,X000977.SZ,X600582.SH,X002129.SZ,X002074.SZ,X002426.SZ,X000550.SZ,X600584.SH,X002085.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.0187682446803045,0,0,0,0,0,0,0,0,0.0950096380047029,0,0,0,0,0,0.0109302068597111,0,0,0,0,0,0,0.00985875288557034,0,0.142417445992002,0,0,0,0.0590699885862412,0,0,0,0,0,0,0,0,0,0.020747068036506,0.00655629515404249,0,0,0.00211849300872941,0,0,0,0,0,0
X600104.SH,0,0,0,0.112783989349457,0,0,0,0,0.0326362180632104,0,0,0,0,0,0,0.0136772067348158,0,0.162039538296962,0,0,0,0,0,-6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747323814095235,0.0302808233359467,0,0,0,0.0190144524700978,0,0,0,0,0,0,0,-0.00129194503659334,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616852269736366,0,0.00889386874151875,0,0,0,0,0,0,0,0,0.336153969210391,0,0,0.121907412348578,0,0,0.228961793558537,0,0,0,0.0304921656882126,0,0,0,0,0,0,0,0,0,0,0,-0.026087365116621,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0771265054482518,0,0,0,0,0,0,0.385663951257878,0,0,0,0,0.0606463661219616,0,0,0,0,0,0,0,0,0,0,0.248846231120181,0,0,0.120513675890551,0,0.00846299073638371,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.051287853886302,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022670353976681,0,0,0,0,0,0,0,0.0347363346786939,0,0,0,0,0,0,0,0,0.225142570391733,0,0,0,0,0,0.0599308180959639,0,0,0.104013374115252,0.0500953719035708,0.0317049862024317,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0289297557221492,0,0,0.138418090069732,0.236970744780311,0,0,0.128025764126853,0,0,0,0,0,0,0,0,0,0,0.0152332506468762,0,0,0,0,0.133994079361065,0,0,0,0,0,0,0.0756981194060515,-0.0044654026552229,0,0,0,-0.0745065487340033,0,-0.00495351067308798,-0.00855750705511641,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.196011956070577,0,0,0,0,0,0,0,0.0789404183108968,0,0,0,0,0,0,0,0,0,0,0,0,0.0572110853581105,0,0.130753780768928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097374493151648,0,0,-0.00158959042519226,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0527795509101832,0,0,0,0,0,-0.0274145612399858,0,0,0,0,0,0,0.107047073108397,0,0,-0.0851316990342945,0.130738807897733,-0.0450429883731992,0,0,0,0,0,0.0385006821825062,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0113686249499616,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.00824326917728995,0,0,0.0317809799526411,0,0.0011338799396906,0,0,0,0,0,0.268535952379227,0,0,0,0,0,0,0,0,0.186285069029377,0,0,0,0,0,0.00688856894220275,0,0,0.00801276755050688,0,0,0.144052119413948,0,0,0.0486263014491524,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.105185393453846,0,0,0,0,0,0,0,0,0.0627077888913731,0,0.0293552430731947,0,0,0,0.023880180139429,0,0,0,0,0,0,0,0.171526187561042,0.142997679554133,0,0.0420390120613035,0,0,0,0,0,0.0634460766001548,0.0282910743105837,0,0.123623233931567,0,0,0,0,0,0,-0.00949561477131907,0,0,0,0,0,0
