,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X002475.SZ,X600741.SH,X000338.SZ,X300003.SZ,X000063.SZ,X600031.SH,X002236.SZ,X600809.SH,X002008.SZ,X600867.SH,X300124.SZ,X000596.SZ,X002456.SZ,X601877.SH,X600271.SH,X000661.SZ,X600566.SH,X600487.SH,X600066.SH,X000100.SZ,X002294.SZ,X000625.SZ,X002179.SZ,X002007.SZ,X300136.SZ,X000977.SZ,X300142.SZ,X002180.SZ,X002241.SZ,X000157.SZ,X000981.SZ,X000050.SZ,X600498.SH,X002049.SZ,X000869.SZ,X600522.SH,X600779.SH,X002038.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.210122145418161,0.171112406160625,0,0.0212895315680999,0,0,0,0,0,0,0.0123479305098829,0,0,0,0,0.00167284604687646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535091089345886,0,0,0,0,0,0.0549300783863698,0,0.105711964525533,0,0,0,0,0,0.0104707323249685,0,0,0,0,0,0,0
X600104.SH,0,0,0.111286642456226,0,0,0,0,0,0,0,0,0.0622503511714841,0.33046644986593,0,0,0,0.0324827751584523,0,0,0.0344630279693599,-0.028039536185847,0,0,0,0,0.0297966503262174,0,0.0229692031380637,0,0.051511572690824,0,0,0,0,0,0,0,0,-0.131135894255214,0,0,0,0,0,-0.211634538899731,0,0,0,0,0,0,0.0255300854464337,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0289745151414902,0,0,0,0,0,0,0,0,-0.0672991646978113,0,0.274421677375478,0,0.034658016155405,0,0.115819357831167,0,0,0,0,0,0.188735924781098,0.0629217900728892,0,0,0,0,0,0,0,0.0110159273501408,0,0,0.0789586226913393,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.12757183085072,0,0.00910876970969136,-0.040533217550604,0,0,0,0,0,0
X000858.SZ,0.1378454905713,0,0,0,0.11540275498063,0.0716118744234613,0.150843056968979,0,0.126764617313026,0,0,0.0384275367020387,0,0,0,0,0,0.140969247718873,0.00674378155344835,0,0,0,0.146921623065827,0,0.0360299889175463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00448254401485349,0.0146770162509911,0,0,0,0,0,0
X000651.SZ,0,0,0,0.523657185721054,0,0,0,0,0.0205872846642108,0,0.388818382709433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146606668567756,0,0,0,0,0,0,0,-0.0466710379303197,-0.106784618461503,-0.188387438730114,0,0,0,0,0,0.153882755550793,0,0.0793449347929482,0,0,0,0,-0.0290716306236818,0.0368826333957534,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0742672967777424,0,0,-0.0719311100951916,0,0.00769947331565239,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.231946992340512,-3.46944695195361e-18,0,0,0,0.0904525293229898,0,0,0,0,0,0,0,0,0,0,0,0.0572009063882424,0,0,0.0818605162949933,0.109589421926397,0,0,0,0.0448998861634551,0.0183106140578528,0,0,0,0,0,0
X002304.SZ,0,0,0.0694642942786021,0,0,0,0,0,0.325060523232502,0,0,-0.000627420110520992,0,0,0.0840237075420015,-0.103940965385131,0,0,0.374144708623784,0,0,0,0,0,0.0480132384878251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716441881634861,0,0,0,0,0,0,0,0,0.0741609551033553,0.0190736729720518,0,0,0.024448575981453,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019318534593324,0,0,0,0.255177468293286,0,0,0,0.0146454771643461,0,0,-0.187642197314839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.118515438704046,0.177028892449866,0,0,0.255183388413211,0,0,0,0,0,-0.0665208109678105,0,0,0,0.032285654451797,0,0
X600690.SH,0,0,0,0.317441124237398,0,0,0.164376193157744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044872953199606,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665378021674674,0.0741533824113494,0,0,0,0,0,0,0,0.154067165761236,0,0,0,0.0942721724033651,0,0,0.025819038558808,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.0747290970413735,0.070263897061185,0,0,0.115773090236448,0,0,0,0,0.0649165457726857,0,0,0,0,0,0,0,0,0.258937883305016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04011906172039,0,0,0,0,0,0,-0.0612404299329371,0,0.0807620748653363,0,0,0,0,0.0223857569592434,0.0152446868995401,0,0,0,0,0,0
