,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X600031.SH,X000338.SZ,X600703.SH,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X002236.SZ,X002007.SZ,X300124.SZ,X002008.SZ,X000661.SZ,X600809.SH,X600498.SH,X000100.SZ,X600867.SH,X600487.SH,X600566.SH,X002179.SZ,X300146.SZ,X000625.SZ,X002456.SZ,X300142.SZ,X000596.SZ,X000157.SZ,X002294.SZ,X600177.SH,X600066.SH,X002180.SZ,X300136.SZ,X600089.SH,X600372.SH,X002506.SZ,X600522.SH,X002241.SZ,X000977.SZ,X600699.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.574707417575863,0.182595800356619,0,0,0.0438275614685754,-0.0307016152588124,0,0,0,0,0,0,0,0,-0.0743093687897411,0,0,0,0,0,0,0,0.0344286591686142,0.0540113514579702,0,0,-0.019386975728906,0,0,-0.0255236730656852,0.148792422608186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071103004386597,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0255978428945273,-6.93889390390723e-18,0,0,0,0.155233837364354,0.238033036337245,0,0,0.15343272012099,0,0,0,0.00954560578953981,0.0866303759497938,0.056018279521235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157825665326303,0,0,0,-0.00144954355016593,0.00852140424465975,0,0,0,0,0,0
X002415.SZ,0,0.0683772396194803,0,0,0,0,0,0,0,0.0382204030035734,0,0,0,0,0,-0.0752147106398416,0,0,0,0.694156853094083,0,0,0.181323430239459,0,0,0,0,0,0,0,0,0,0.106255930892108,0,0,0,0,0,0,0,0,0,0,-0.0213721543886139,0,0,0,0,0,0,0.0660259074046071,-0.000572723545953678,0,0,0.170544490733616,0,0.0877122978594866,0,0
X600276.SH,0.0147582116499385,0.144363433471099,0.0884212328178803,0,0,0,0,0,0,0,0.0299558480946732,0,0,0,0,0.383288247409931,0,0,0,0.0350840783890055,0,0,0.0328735335232227,0,0,0,0,0.0507982528368468,0,0.0691774771376236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00751206096558052,0,0,0,-0.00926491239922545,0.00407534799762583,0,0,0,0,0,0
X000651.SZ,0.233602064267913,0,0,0,0,0,0,0,0,0,0,0.173460226352488,0.0611506494936633,0,0,0.104738326263036,0.110673681264738,0,0,0,0,0,0,0,0,0,0,0.0179794033668933,0,0,0,0,0,0,0,0,0.0119713339301375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134231383381245,0,0,0,0,0,0.119662421566922,0
X000858.SZ,0.220766520806744,0,0,0,0,0,0.170576487829617,0,0.0246195022933685,0,0,0,0,0,0,0,0.145595343333599,0,-0.0188236391892262,0,0,0,0,-0.0279623470749595,0.18285812439467,0,0,-0.0314423648193125,0,0,0,0.00728775569900523,0,0,0,0.195489910013548,0,0,0,0.028908915185895,0,0,0,0,0,0,0,0,0,0,0,0.00192465162558126,0.0288028027616947,0,0,0,-0.0220095500809152,0,0
X002304.SZ,0,0,0,0,0,0.297765854542218,0,0,0,0,0,0.309268460530227,0,0,0,0,0,0,0,0,0,0,0,0,0.076797036606877,0,0,0,0,0,0,0.174133706001829,0,0,0,0.308271726269183,0,0,0,-0.0633597006426588,-0.0292974612579119,0,0,0,0,0,-0.0459850099605188,-0.0691309994522218,0,0,0.116751526874065,-0.00456002880664808,0.0572499737381112,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.0547262683441612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235881760534463,0,0,0,0.0601889887883405,0.282396390094232,0,0,0,0,0,0,0.137891399820444,0,0,0,0,0.0520910103293865,0,0,0.0360562139463989,0,0,-0.0131592592847542,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.137978990404693,0.127204294969724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222570208687298,-0.0481726660936498,0,0,0,0,0,0.0639448683190079,0,-0.00638684704540273,0,0,0,0,0,0.385085707620599,0,0,0,-0.0125599279449646,-0.0313463538847476,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.454125225765213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17875951239961,0,0,0.292383417315352,0,0,-0.0412286450476181,0,0.136347540831742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279165639930822,-0.116727114256662,0,0,0,0.0326736944210259,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0224252489847333,0,0,0,0,0,0,0.00764783221971485,0.0166374115755914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686171624057222,-0.0307618618752218,0,0,0,0,0,0,0.153548345428725,0,0,0,0,0,0,0.211538065201288,0,0,-1.0842021724855e-19,0.124319942745205,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0.0704255169781963,0,0.0760201111476753,0,0,0,0,0,0,0,0,0,0,0,0.179028529808461,0,0,0,0.536914796306574,0,0,0.0423885962122394,0,0,0,0,0,0,0,0.101989131768758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00636549849824164,0.0320139119156423,0,0,0,0,0,0
X600031.SH,0,0,0.0148305145174371,0,0,0,0,0,0,0,0,0,0,0,0,0.0901297657376768,0,0,0,0,0,0,0,0,0,0,0.0942155774080713,0,0,0,0,0,0,0,0.0438996582065461,0.205875614608028,0,0,0,0,0,0,0,0.152721044602071,0,0,0,0.0344650078088986,0,0,0,-0.023170595137673,-0.0436341723089064,0,0,0,0,0,0
X000338.SZ,0,0.0538073205427939,0,0,0,0.0057174433187707,0,0.0541067920701627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524327859791345,0,0,0,0,0,0.146352511890913,0.0188633318442251,0,0,0,0,0,0,0,0,0.0171757904941369,0,0,0,0,0,0,0,0,0,-0.0216615309609738,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28151389928367,0,0,0.000565594469493749,0,0,0,0,0,0,0,0.354316058010557,0,0.19461582982625,0.22684132501003,0,0,0.0151536169061705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248267790226104,0,0,-0.0116860183563474,-0.0634671799432219,0,0,0,0,0,0
X300003.SZ,0,0,0,0.838398362002187,0,0,0,0,0,-0.140499450132844,0,0,0,0,0,0,0.0510462297834396,-0.324428383675143,-1.35525271560688e-20,0,0.205263140351744,0.132561156253856,-0.165539170357203,0,0,0,0,0.0457942111865707,0,0,0,0,0,0,0.0408713245161791,0,0,0,0,0,0,0.139902994605623,0,0,0,0,0,0,0,0,0,0.032122727295928,0,0,0,0,0,0,0
