,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002304.SZ,X000651.SZ,X600690.SH,X002475.SZ,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X003816.SZ,X600703.SH,X002241.SZ,X000625.SZ,X000596.SZ,X000100.SZ,X002371.SZ,X300142.SZ,X000157.SZ,X002129.SZ,X000799.SZ,X002179.SZ,X002049.SZ,X600702.SH,X600741.SH,X002007.SZ,X600779.SH,X002236.SZ,X601877.SH,X300146.SZ,X600584.SH,X002414.SZ,X300003.SZ,X601799.SH,X000800.SZ,X600183.SH,X600460.SH,X002074.SZ,X002508.SZ,X000977.SZ,X600089.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.0215097002448136,0,0,0,0.0293347222765311,0,0,0,0.133880281224532,0,0,0,0,0,0,0,0,0,0,0.00553986345982793,0,0,0,0,0.00282370337872238,0,0,0,0,0,0,0,0,0,0,0,0.0549203760444179,0,0,0,0.0885833083517521,0,0,0,0,0,0,-0.000995286216866735,0,0,0,-0.010644872982125,0,0
X000858.SZ,0,0,0,0.110538488997503,0,0.386625226570499,0,0,0,0.0464269797742946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604668075778908,0,0.0783239039654939,0.0841198202655665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616361981291176,0,0,0,0,0,0,0,0,0,0,-0.0136882686041046,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715058355847763,0,0,0,0,0,0.174123846645056,0,0,0.0123791108049254,0,0,0,0.0726368033184985,0,0,0,0,0,0,0,0.0996300904926382,0,0.0342660971953784,0,0,0,0,0,0.0635394700612191,0,0,0,0,0,0,0,0,0,0,0,0.00415874543221801,0,0
X600276.SH,0,0,0,0,0,0.00739759761887369,0.131814042486211,0,0,0.0928155401389421,0,0,-0.0966875636163567,0,0.0162938459844696,0,0,0,0,0,0,0,0,0,0,0.00313950490775959,0,0,0,0,0.191984197898659,0,0,0,0,0.146271680175823,0,-0.135298201400145,0,0,0,0.0896121846490796,0,0,0,0,0,0,0,0,0,0.159966674661853,0,0,0,0,0.0222251519295831,0,0
X600809.SH,0,0,0,0,0,0.0866733938758303,0,0,0,0,0,0,0,0.0257356485163522,0,0.0971346145694112,0,0,0,0,0,0.0177242707985641,0.0348780451145599,0,0,0.0244043596251934,0,0,0.407728349098726,0,0.00884250965692424,0.043113615796603,0,0,0,0,0,0,0,0,0,0.091777552809781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671711382920572,0,0
X000568.SZ,0,0.351932483069633,0,0,0.0246885412674083,0,0,0,0,0,0,0,0,0,0,0.0421725876878475,0,0,0,0,0,-0.0215305451832294,0.157493464675109,0,0.090177089006685,0.017440382022278,0,0,0,0,0,-0.0119877766610278,0,0,0,0,0,0,0,0,0,0.16090957023012,0,0,0,0.188089065528206,0,0,0,0,0,0,-0.0552056099586305,0,0,0,0,0,0
X002304.SZ,0,0,0,0.29675648363924,0.100521522075078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385218393179288,0,0,0.0740606098145921,0,0,0.00126049658538532,0,0,0,0,0,0,0,0,0.0972500788741052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149080529636198,0,0,0,0.0071479332234293,0,0
X000651.SZ,0,0,0,0,0,0,0.0662883096430359,0,0.0261278784221006,0,0,0,0,0,0.0588761015273489,0,0,0,0,0,0.0251755524022949,0.0325343580586722,0,0.220378530512243,0,-0.0325958469592047,0.0484313375026868,0,0,0,0,0.0455609144284342,0,0,0.0422861005473434,0,0,0,0,0,0,-0.0128560446103929,0,0,-0.0537636001362705,0,0,0,0,0,0,0,0,0,0,0,-0.00151418218229595,0,0
X600690.SH,0,0,0.0700169260825252,0,0,0,0,0,0,0,0,0,0.189858972395448,0,0,0.0169629451249034,0,0.0460411662390433,0,0,0,0,0,0,0,0,0,0,0.0768929157583584,0,0,0,0,0,0.0760392640760397,0.0767519058545791,0.221081378284065,0,0,0,0,0,0,0,0,0.0753309143240731,0,0,0.0456356153680731,-0.0209138462155928,0,-0.00475255058771584,0,0,0,0,0.024083641264355,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429658017518215,0.0158545623241526,0,0.132991895721074,0,0.320549297845399,0.0427376467486675,-0.0400166662166497,0,0.125368360410478,0,0,0,0.0893870939514812,0,0,0,0.0170099472601731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0474378243927388,0,0
