,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X600276.SH,X000651.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002129.SZ,X000725.SZ,X000625.SZ,X003816.SZ,X002371.SZ,X002241.SZ,X000063.SZ,X000596.SZ,X002049.SZ,X000338.SZ,X600089.SH,X600703.SH,X002179.SZ,X000661.SZ,X002074.SZ,X601877.SH,X300142.SZ,X600741.SH,X002180.SZ,X600460.SH,X000733.SZ,X600522.SH,X000100.SZ,X600702.SH,X000799.SZ,X600884.SH,X000157.SZ,X000800.SZ,X002236.SZ,X600584.SH,X601799.SH,X002056.SZ,X002176.SZ,X600779.SH,X002414.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.201553461611572,0.22141713883863,0,0,0.00209001467888002,0,0.0483594623294318,0,0,0,0,0.138389712157851,0,0,0,0,0.108432053114036,0,0,0,0.0782562886369961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0.00343956557054174,0,0,0,-0.0414374193675621,0,0,0,0,0,0
X000858.SZ,0.264034040788014,0,0,0,0.419736125350855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942723121838479,0,0,0,0,0,0,0,-0.00850051392258737,0,0,0,0,0,0,0,0,0.0646490864920517,0,0,0,0,0,0,0.0475062639176392,-3.46944695195361e-18,0.0905561188001774,0,0,0,0.0144886343962157,-8.67361737988404e-19,0,0,0,0,0,0
X600809.SH,0,0.572612995883535,0,0.0298117515936679,0,0,0,0,0,0,0,0,0,0,0,0,-0.00617707536722951,0,0,0,0,0.147618885902877,0,0,0,0,0,0,0,0,0,0,0,0,0.00158106475830635,0.0936419947845989,0,0.206503268341661,0,0,0,-0.0280874543571616,0,0,0.0103454425169482,0,0,0,0,0,0,0.00854641365028275,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.191377181627572,0,0,0,0,0,0,0,0,0,0,-0.240418786436918,0,0,0.141559965420724,0,0,0,0,0,0,0.0580928564604151,0.0176343297296597,0,0,0.0763460164630357,0,0,0,0,0,0,0,0,0.150443554704867,0,0,0.684787995507157,0,0,0.0160827477232828,0,0,0,0,0,0.0356200676817768,0.150686213929885,0,0,0,0,0,0
X000568.SZ,0,0.231536274518698,0,-0.0214039956873538,0,0.174769414783919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171912786258253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266201838770585,0.00448922902383433,0,0,-0.0176687013969531,0,0,0,0,0,0,0,0,0,-0.00472267439503241,0.0780505381115869,0,0,0,0,0,0
X002304.SZ,0,0,0.104126025781601,0,0.28778349572192,0,0,0,0,0,0,0,0.158650051061952,0,0,0,0,0,0,0,0.147181799972177,0.00626965371264101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960017503959517,0,0,0,0,0,0,0,0.0143862681024891,0,0,0,0,0,0.018633718327489,-0.148153024234569,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0401263701868599,0,0,0,0,0,0,0,0,0.0845319705864534,0.37547969622597,0.0250726434684195,0.117885884870734,0,0,0,3.46944695195361e-18,-0.0519664040770302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203001598176052,0,0,0,0,0,0,0.0380685081717618,0,0,0.00783003584924593,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.244120447093969,0,0,0,0,0,0,0.0927515888549016,0.063887858951439,0,0,0,0,0,0,0.0532553756192042,0,0,0,0,0,0,0,0,0,0,0.00678293497582707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032296325926167,-0.0571409020575751,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128568749145169,0.0333333806325549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175827998687224,0.0314909087523462,0,0,0.0464222895007327,0,0,0,0,0,0.0781129197395096,0,0,0.0295356357563745,0,0,0,0,0,0.0579551542793175,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.241247681031376,0,0,0,0,0,-0.226020416907902,0,0,0,0.11947301117107,0,0,0,0,0,0,0,0,0.0241071291790467,0,0,0.114281935731897,0,0,0,0,0,0,0,0,0.104501951502312,0,0,0,0.174693808014772,0,0.0965887507572361,-0.000620802503091145,0,0,0.207184032232001,0,0,0,0,0,0,0,0,0,0,0
