,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X002371.SZ,X000063.SZ,X600104.SH,X003816.SZ,X000568.SZ,X300124.SZ,X000725.SZ,X600031.SH,X000625.SZ,X000338.SZ,X002304.SZ,X000100.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X600418.SH,X002179.SZ,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600183.SH,X000157.SZ,X600066.SH,X600703.SH,X600372.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X000066.SZ,X600522.SH,X000921.SZ,X002156.SZ,X600839.SH,X600460.SH,X002281.SZ,X000988.SZ,X000800.SZ,X600487.SH,X002456.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0340495819430864,0,0,0,0,0.00593227635067011,0,0,0.33246210890384,0,0,0,0,0,0,0,0.104922802755886,0,0.0244250983478776,0,0,0,-0.00628794620956174,0.0508433516799665,0,0.0645865161222906,0,0,0,0,0,0,0,0,0,-0.03157428387488,0.0614483699149855,0,0,0,0,0,0,0,0,-0.042338002797907,0,0.00245277735698544,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0693899043194234,0,0,0,0,0.491641273223106,0,0,0,0,0,0,0,0.123210328054002,0,0.00723938060908118,0,0,0,-0.0426292741506434,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135029710843334,0,0,0,0.103218515374135,0,0,0,0,0.0585092447609922,-0.0920901107941228,0,0.00437612471000696,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.133204356199206,0,0,0,0,0,0,0,0,0,0,0.00249568764274857,0.307983866553043,0.0461936003177377,0,0.16763844921021,0.0744960252396175,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260155300317354,0,0,-0.0187011254280653,0.0669801148165037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,-0.00642669601409327,0,0,0,0,0,0,0,0,-0.0422206103870128,0,0.0518690498605857,0.0642427631480539,0,0,0.211491405010341,0.0752301991120539,0,-0.0304690334775719,0,0,0,0,0,-0.115936502927736,0,0.186454508906659,0,0,0,0,0,0,0,0.0854160719999979,0,0,0,0,0,0,0,0,0,0,0,0.0346956847284688,0,0.0509069185159795,0,0,-0.0942380068588627,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0797680738515386,0.038745050833061,0.137701657661025,0,0,0,0.00281972034093284,0,0,0,0,0,0,0,0.0196343193869852,0,0,0,0,0,0.111107468120114,0,0,0,0,0,0,0,0,0.0235798355431923,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.012132118644073,-0.0108833930960722,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0439244452965703,0,0,0,3.46944695195361e-18,0.0331861186927545,0,0,0,0,0,0,0,-0.031421403918349,0.0397234229144061,-0.00444172417464651,0.00453917058973233,0,0,0,0,0,0,0.232762707518345,0,0.0717483803972598,0,0,0.112172621060257,0,0,0,0,0,0,0.330162759669456,0,0.0350644929515064,0,0,0,0,0,0,0,0.0176689580624502,-0.00470932003348793,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0690842221061785,0,0,0,0,0.0329059881736483,0,0,0,0,0,0,0,0,-0.000430856596151526,0,0,0,-0.0708019121923361,0,0,0,0,0,0,0,0.267131661268777,0,0,0.171628342231745,0,0,0,0,0,0,0,-0.0611075029595033,0,0,0,0.122132683577813,0,0,-0.0290584726368801,0,0,0.0169851133725478,0,0,0,0.0121240159465731,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.0665504310365659,0,0,0.534714875094368,0,0,0,0,0,0,0,0.246572523380864,0,0,0,0,0,0,0,0.0935198835323494,0,0,0,0,0,0,0,0,0,0,-0.0263706602925904,0,-0.0426683352225748,0,0,0,0,0,0,0,0,0.0334029894148203,0.00411866170526428,0,0,0,0,0.00648720207054612,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,-0.0577889497423652,0,0,0.306012128284253,0,0,0,0,0,0,0,0,0,0.068100364348316,0,0,0.237378840466557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16231845600289,0,0,0,-6.93889390390723e-18,0,0,-0.0684215782593667,0,-0.00609942582728523,0.0128865798620136,0,0,0,0.0683736551327192,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.134305569634281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271541380288758,0.0753116437594156,0,0.0362304583859471,0,0,0,0,0,0,0.57633395379913,0,0,0.0977830569896954,0,0,0,-0.0121759568085169,-0.224934387800041,0,8.67361737988404e-19,0,0,-1.73472347597681e-18,-0.0125724965847869,-0.0233074136684071,-0.0428523651651647,0,0,0,0,0,0
