,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000063.SZ,X000858.SZ,X600276.SH,X600690.SH,X600031.SH,X000100.SZ,X600372.SH,X600118.SH,X000338.SZ,X000157.SZ,X600089.SH,X600271.SH,X600703.SH,X002129.SZ,X600741.SH,X002241.SZ,X600177.SH,X600582.SH,X600066.SH,X000800.SZ,X002236.SZ,X300124.SZ,X601877.SH,X002292.SZ,X000581.SZ,X000623.SZ,X600839.SH,X002475.SZ,X000568.SZ,X000550.SZ,X000977.SZ,X000559.SZ,X600060.SH,X000869.SZ,X002007.SZ,X002294.SZ,X002465.SZ,X000050.SZ,X600252.SH,X002456.SZ,X300146.SZ,X300003.SZ,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.0936407996593877,0.0412779212542947,0,0,0,0.190574124567745,0,0,0,0,0,0,0,0,0,0.0816258908168025,0,0,0,0.020574296395534,0,0,0,0,0,0.120567017927256,0,0,0,0,0,-0.00659193906476748,0,0.036733901201541,0,0,0,-0.0158072239282848,0,0,0,0,0,0,0,0,0,-0.00743127668802056,0,0,-0.00541094886786585,0,0,0,0,0,0
X600519.SH,0.19725924956753,0,0,0,-1.0842021724855e-19,0,0,-3.3881317890172e-21,0,0,0,0,0,0.0362411989757691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810647271483642,0.00852113359323681,0,0,0,0,0,0.0105742520270027,0,0,0,0,0,0.0142268785940609,0,-0.0282688077097361,0,0,0,-2.16840434497101e-19,0.0543823299279365,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23349250463596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563391175658893,0.0504587970994822,0.116432296435882,6.93889390390723e-18,0,0,0,0,0,0.0188052421710941,0,0,0.120073090613724,0.115025327672859,0,0,0.2192268730145,0,0,-0.0244622134022638,0,0,0,0,0,0,0
X000651.SZ,0.266403288206707,0,0,0,0,0.0380560791437461,0,0,0,0,0,0,0,0,0,0,0,0.0527859609605156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162205663756028,0,0.0140984142525313,0.267819349593359,0.0954693040113701,-0.0134983582597567,0,0,0,0,0,0,0,0,0,0,0,0,0.00533423476490264,0.00496206992465379,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0417353635772408,0,0.0480485747742095,0,0.0178754569116837,0,0,0,0,0.00875120133384868,0,0,0,0,0.111048889256944,0,0,0,0,0,0,0,0,0,0.0581784636328674,0,0,0,0,0.153420094965072,0,0,0,0.0674001767499341,0,0,0,0,0,0,0,0,0,0.0597478593373149,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.285299724955175,0.237685729409264,0,0,0,0,0,0,0,0,0,0,0,0.0479208174997864,0,0,0,0,0.0626445904925601,0,0,-0.068930110670329,0,0,0,0,0.000416290822210661,0,-0.103560396582869,0,0,0,0,0,-0.00909171959702535,0,-0.016529286807815,0,-0.0505311677318494,0,0,-0.0105459207347263,0.0311387057694664,0,-0.0303844637266559,0,0,0,0,0.0605461572414014,0,0.112628407659117,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.0953087094004372,0.591063505155008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040253329127754,0.00915817583100381,0.167247789870277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196106961120315,0,0,0,0,0,-0.0286912557345916,0,0,0,0,0.0171798831365316,0,0,0,0,0,0,0
X000063.SZ,0,0.0740772114962326,0,0,0,0,0.0704166922387078,0,0,0,0,0,0.145872651213166,0.0693426309088534,0,0,0,0.055021799480734,0,0,0,0,0,0,0,0,0,0.107464176266414,0,0,0,0,0.128480526133666,0.0858663144485886,0,0.0481407783975636,0,0.0718927267100239,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00812737279322166,0.0331874535638303,0,0,0,0,0,0
X000858.SZ,0,0,0.0616800676806688,0,0,-0.000212900908964609,0.0921597853137625,0,0,0,0,0.0126584812801448,0.0107114243483598,0,0,0,0,0.0605874097882672,0,0,0,0,0,0.0418398302499123,0,0,0,0,0,0,0,0,0.128738209751572,0.129963170299369,0,0.133090289232486,0,0,0,0,0,0,0,0,0.0358265105536907,0,0,0,0,0,0,0,0.00864016380343202,0,0,0,0,0,0
X600276.SH,0,0.0536764981863724,0,0,0,0,0,0,0,0,0.0192839635586708,0,0.0446356545643941,0.0724762531156491,0,0,0,0,0,0,0.0334473589677011,0,0.058765056972427,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256597926624929,0.0295513671004626,0,0,0,0,0,0
X600690.SH,0,0,0.0200598290956544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484378854724942,0.0660504202872656,0.200954035421362,0,0,0,0,0.127319757761985,0,0,0,0,-0.00868271216905699,0,0,0,0.00353073897484361,0,0,-0.0154905889630769,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0234084348307841,0.072218688182235,0,0,0,0,0.0271557432920043,0,0,0.0442757430802003,0.245599583493722,0,0,0,0,0,0,0,0,0.0822588098021369,0,0,0,0,0,0,0.0514578113729313,0,0,0,0,0.0569854509578544,0,0,0,0,0,0,0,0,0,0,0,0,-0.0623326615692688,0.00370741059021507,0,0,0,0,0,0
