,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X300014.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X002371.SZ,X000725.SZ,X600031.SH,X002241.SZ,X300124.SZ,X600703.SH,X000063.SZ,X003816.SZ,X002129.SZ,X000338.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X000100.SZ,X600460.SH,X600089.SH,X600741.SH,X002074.SZ,X002236.SZ,X600702.SH,X000799.SZ,X600779.SH,X601799.SH,X000157.SZ,X600584.SH,X002414.SZ,X600884.SH,X600183.SH,X000733.SZ,X600563.SH,X600522.SH,X002180.SZ,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.465019283617668,0,0.0537539853211109,0.0779537279907017,0,0,0,0,0,0,0,0,-0.105009745012197,0,0,0,0,0,0,0,0,0,0,0,0,0.0209660737802166,0,0,0,0,0,0,0,0,0.0420309786232642,0,0,0,0,0,0,0,0,0,0.0108109208088215,-0.00131869211349081,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.451204981430244,0,0,0,0.111728929355946,0,0,0,0,0,0,0,0,0,0,0,-0.0234047410418857,0,0,0.0117328657293234,0,0,0.163403032427465,0,0,0.00820790905211712,0,0,0.042372379216592,0,0,0,0,0,0.0844577943535875,-8.67361737988404e-19,0,0,0,0,0,0,-0.0248033182325947,0,0,0,0,0,-0.0159410573862598,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.263345628231412,0,0,0,0.0379802587095894,0,0,0,-0.063985820063065,0,0,1.73472347597681e-18,0,0,0.0340831267018198,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0379420333838969,0,0.139005198078099,-0.0170762215534169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146901078298859,0,0,0,0,0.00459365848585818,0,0
X600809.SH,0,0.191550663295011,0,0,0,0,0.0870242453252591,0,0.0725335541985708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0591755478207471,0,0,-0.29039495339509,0,0,0,0,0,0,0.582163433918161,0,0.0865614370362973,-0.0205842609667081,0,0,0,0,0,0,0,-0.104511938286316,0,0,0,0,-0.035476140432787,0,0,0,0.0170099836386658,0,0
X000568.SZ,0,0.182870153244065,0,0.0307079222505559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118189330002685,0,0,0,0,0,0,0,0,0,0,0,0.239899930776278,0.1644699885059,0,0,0,0,-0.0330069386890123,0,-0.0255742835210087,0,-0.0399725983919347,0,0,0,0,0.047573710403176,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0614510742349201,0,0,0,0,0.230432167278813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171526677969282,-0.00240201970385325,0,0,0,0,0,0,0,0.397823822569922,0,0,0,0,0,-0.183020522856612,0,0,0,0.105026434569889,0,0,0,0,0,0.0128679629339703,0,0,0,0.0542664978460461,0,0
X002475.SZ,0,0.110020588257732,0,0,0,0,0,0,0,0,0,0,0.0116085471899365,0,0,0,0.130423064278277,0.210282632937453,0,0,0,0,0,0,0.00234971241985759,0,0,0,0,0,0,-0.108044655586914,0,0,0,0,0,0,0,0,0,0,0,0,-0.0834345276337832,0,0.0425370615839872,0,0.076966460643622,0,0,0.0027479114571567,0.0102765003298682,0,0,0,0.0953365396141266,0,0
X300014.SZ,0,0,-0.125124422261666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053672406639674,0,0,0,0,0.0119509036498206,0,0.124873791345825,0,0.170212659583736,0.0777854574104583,0,0,0,0,0,0,0.117602293729214,-0.112653497183945,0,0,0.111232583180977,0.170173244300972,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618757697819516,0,0,0,0.117678463280203,0,0
X002304.SZ,0,0.364128778765502,0.0286951265375729,0.0735995897169416,0,0,0,-0.00165478074420002,0,0,0,0,0,0,0,0,0,0,0,-0.0367819981908326,0,0,0.041171059531346,0,0,0,0,0,0,0,-0.0259991609473519,0,0,0,0,0,-3.46944695195361e-18,0.136450012763532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219927160828614,0,0,0,0,0,0,0
X600690.SH,0,0.100776894375895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00649654312599487,0,0,0,0,0,0,0,0,0,0.12330237693872,-0.0923081710889856,0.0429069336608358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418969955875704,-0.0338260652034757,0,0,0,0,0,0,0,0,0,0,0,0
