,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X002475.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X000338.SZ,X000063.SZ,X300003.SZ,X600271.SH,X002236.SZ,X601877.SH,X002456.SZ,X300124.SZ,X002008.SZ,X600809.SH,X600867.SH,X600487.SH,X000596.SZ,X000100.SZ,X000625.SZ,X000977.SZ,X000661.SZ,X600566.SH,X600066.SH,X600498.SH,X002294.SZ,X000157.SZ,X300136.SZ,X300142.SZ,X002179.SZ,X000981.SZ,X002180.SZ,X002007.SZ,X300146.SZ,X002241.SZ,X000050.SZ,X002049.SZ,X600779.SH,X600522.SH,X000869.SZ,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.36834305605478,0,0,0,0,0,0.0631031785490431,0,0,0.0726908300185734,0,0,0,0.100467405048656,0,0,0,0,0.0056080055255596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227000950237701,0,0,0,0,0,0,0.0471871725520783,0.0273604692886233,0,0.0153623052877735,0,0,0,0,0.00106643439567061,-0.000357391885619455,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0604893408320423,0,0,0,0,0,0.145099008774731,0,0.215049886170532,0,0.0203375648198358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202585743905307,0,0,0,-0.0265136980813433,0,0,-0.0822905738457107,0.0266141110088154,0,0,0,0,0,-5.42101086242752e-20,0,0,0.0806454108235184,0.0116453427165708,0.0440619749884775,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.130913280197937,0,0,0,0,0,0,0,-0.116801661601233,0,0,0.256444397450162,0,0,0,0,0.0100965812212864,0,0,0,0,0,0.0325268614606078,0,0,0,0.150758503440023,0,0,0.0598668508894024,0,0,0,0,0,0,0,0,0,0.0768734529846765,0,0.0283352597051153,0,0,0.0182795127341548,0.0425125892156189,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.193157127189835,0,0.170038319358896,0.0923256760133169,0,0,0,0,0,0,0,0,0.0342028914705712,0,0,0,0.125551466197233,0,0,0,0.166424678500325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209069778755703,-0.00171199430311331,0,0,0,0,0,0
X600276.SH,0,0,0,0.0303071888837358,0,0,0,0,0,0,0,0,0,0,0,-0.0754423410804074,0,0,0,0,0,0.121153918386516,0,0,0,0.0761827288413627,0.00507084774454233,0,0,0,0.189712611324591,0.102728300644403,0,0,0.230244805930702,0,0,0,0,0,0,0,0.161277451564141,0,0,0,0.109183597276043,0,0,0,0,0.0189486718741651,0.0263415347957659,0,0,0,0,0,0
X000651.SZ,0,0.0322674386568329,0,0,0,0,0,0,0.231549466966225,0,0,0.0282495016147651,0,0,0.159458131659169,0,0,0,0,0,0,0.0672769882115198,0.0782515104088528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365208888837054,0,0,0,0,0,0,0,0,0,0.0100100113087208,0.0255246539506937,0,0,0,0,0,0
X002304.SZ,0,0,0,0.379076677551717,0,0,0,0,0,0,0,0,0.229952344082598,0,0,-0.0959540346501765,0.316486892491031,0,0,0.0517843708744125,0,0.136314761902819,0,0.104342353702254,0,0,0,0,0,0,0,0,0,0,0.0124323956446908,0,0,-0.071572334178572,0,0,0,0,-0.0814208933131051,0,0,0,0.0442728373244441,0,0,0,0,0.0116164306449638,0.0108386876113363,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159511838146228,0,0,0,0,0,0,0,0,0,0,0.406496782133122,0,0.12060635733053,0,0,0,0,0,0,0,0.0811619477352684,0,0.0798006396329815,0,0,-0.112123914390776,0,0.0107793414872863,0,0,0.228414342828089,0,0,0,0.000252071179091095,-0.00475767531410842,0,0,0,0,0,0
X600690.SH,0,0,0,0.427111877793638,0,0.229069784057186,0,0,0,0,0,0,0,0,0,-0.104124549820654,0,0,0.043396986676265,0,0.0889187150187873,0,0,0,0.114699920342923,0,0,0,0,-0.0715262434780606,0,0,0,0,0,0,0,0,0.254904003577372,0,0,0,0,0,0,0,-0.029278133935165,0,0,0,0,0.00742526865397891,0.0078081605494862,0,0,0,0,0,0
X002475.SZ,0,0.143824052171806,0,0,0.0503727245724414,0.0675267861800276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615007909914642,0.0530728951171136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123452881109691,0.0611066637405964,0,-0.0711090387776233,0,0,0,0,0,0,0.0107692556845859,0.00346914387871209,0,0,0,0,0,0
