,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000725.SZ,X000596.SZ,X600031.SH,X002371.SZ,X000625.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X600703.SH,X002049.SZ,X000100.SZ,X600089.SH,X600372.SH,X002236.SZ,X000157.SZ,X600741.SH,X600584.SH,X000661.SZ,X000977.SZ,X002241.SZ,X601877.SH,X600522.SH,X600702.SH,X000733.SZ,X601799.SH,X002074.SZ,X000800.SZ,X002007.SZ,X002028.SZ,X002180.SZ,X002463.SZ,X300142.SZ,X600460.SH,X600183.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0215757329675807,0.216758943720694,0,0.106550433059227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458566259359967,0,0,0.179843360266742,0,0,0,-0.108297889369001,0,0,0,0,-0.0185508771514251,0,0,0,0.0554726451559645,0,0.0779032023772641,0,0,0,0,0.0180561463666949,0,0,0,0,0,0,-0.0124227521266805,0.00900407553428512,0,0,0,0,0,0
X000858.SZ,0,0,0.457826510981631,0,0,0,0,0,0,0,0,0,0,-0.00703337721334228,0,0.037795363504019,0,0.0220299439091967,0.0749468796198292,0,0,0,0,0,0,0,-0.0294569409941068,0,-0.0705118350126817,0,0,0,0,0,0,0,0,0.101934789105329,0,-0.159794465251131,0,0,0,0,0.171413526635513,0,0.084339911100264,0,0,0,-0.0841302736877089,-0.0271730301502348,0,0,0,0,0,0,0
X000568.SZ,0.141536252612594,0.271507549426636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409584738338691,0,0.0805213357833305,-0.0242794743272397,0,0,0,0,-0.0248084702104464,0,0,0,0,-0.0310946220392187,0,0,0,0,0,0,0,0,0.163951846376887,0,-0.0273245663026247,0,0,0,-0.122230306808095,0,0.0530453424668166,0,0,-0.0889403958652328,0,0,0.0260703471357711,0.019985320021472,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.365581236914367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153914147293391,0.0525428187685807,0,0,0,0.385479644395194,0,0,0,0.012091049640757,0,0,0,-0.305811365029139,0,0,-0.11197232851308,0,0,0,0,0.124989067430629,-0.11327914570027,0,0.0132751470839207,0,0,0,0,-0.00180819005229947,0,0,0,0,0,0
X600809.SH,0,0,1.73472347597681e-18,0.0496258806467546,0,0,0,0,0,0,0,0,0,-0.183198312491979,0,0,0,0,0.0913816502518779,0,0,0.161044903093142,0,0,0,0,0,0.0879949393493938,0.030064362556481,0,0,0,0,0.00126639509202207,0,0,0,0.357810689570406,0.0283460407618645,-0.0851945701144809,0,0,0,0,0,0,0,0,0,0,0,0,0.0332170471330163,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111308168320122,-0.170373980466587,0,0,0,0,0,-0.189584257896847,0,0,0,-0.309404198874357,0,0,0,0.579730451906585,0.268505943946638,0,0,0,0,0,0.0971775031972779,0,0,0,0,0,0,0,0,0,0,0,-0.016531767964343,-0.0329668931419247,0,0,0,0,0,0
X600690.SH,0,0.0474228562506051,0,0,0,0,0,0.00905119402954037,0,0.0298386233873905,0,0,0,0,0,0,0.118895010120694,0,0,0,0.0478354839107148,0,0,0,0.0250823951428605,0,0,0,0,0,0,0,0,0.00969267467928019,0,0,0,0.0718442572105936,0,0,0,0,0.0645934117240369,0,0,0,0,0.0223700527489849,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0814855525563253,0,0,0,0,0,0,0,0,0.250201031247584,0,0,0,-6.93889390390723e-18,0.0679105645886488,0,0,0,0,0,0.239436972237621,0,0,0,0.198870855938422,0,0,0,0,0,0,0,0,0,0.108705504211913,0,0,0,0,0,0,0,0,0,0,0,0,-0.0413856924021963,0.0576715582457292,0,0,0,0,0,0
X002304.SZ,0,0.495144832661403,0,0,0.0773358390719966,0,0,-0.029985839229449,0,0,0,0,0,0,0,0.0385252913495487,0,0,0.0472106570568759,0,0,0.00257706489564322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599277084712522,0,0,0,0,0,0,0.000806887524537486,0,0,0,0,0,0,0.00644856485325969,0,-0.147440560243569,0,0,0,0,0
X000651.SZ,0,0.099220853193834,0,0,0,0,0.296598759773799,0.0956582878932737,0,0,0.00792065942906643,0,0,0,0,0,0,0,0.100789296120309,0,0.0149555099435495,0,0,0,0,0,0,0,-0.0796564121974856,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.119453203401469,0,0,0,0,0,0.0397890674295604,-0.0360977169791189,0,0,0,0,0,0,0.00390749961344319,0,0,0,0,0,0
