,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X002371.SZ,X003816.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X600703.SH,X002241.SZ,X002129.SZ,X000625.SZ,X000596.SZ,X002049.SZ,X601877.SH,X000661.SZ,X300142.SZ,X002179.SZ,X000100.SZ,X600089.SH,X000799.SZ,X600460.SH,X600741.SH,X000157.SZ,X002236.SZ,X600702.SH,X002074.SZ,X600779.SH,X600584.SH,X002414.SZ,X600884.SH,X601799.SH,X000733.SZ,X002007.SZ,X000800.SZ,X600183.SH,X300003.SZ,X300146.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.350953200053003,0,0.0260912340831457,0.00363572189086081,0.0965401226428003,0,0,0,0,0,0,0,0,0,0,0.0636056821194053,0.0230452017822644,0,0,0,0,0,0,0,0,0.0421018324573965,0,0,0,0,0,0,0,0,0,0.0473202023592253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025773381417502,0,0
X000858.SZ,0,0,0,0,0.0472234825755817,0.349850160171034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066280421783911,0,0,0,0,0,0,0,0,0,0.0919804139383297,0,0.220617733017373,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0379500265110678,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0699138749935209,0,0,0,0,0,0,0.136734979407273,0,0,0,0.133086894455588,0,0,0,0.0940159496005875,0,0,0,0.00894300092217526,0,0,0,0,0,0,0,0.0278810752588556,0,0,0.00133122750477953,0,0,0.0895467630221049,0,0,0.00506044719137038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0014092004181099,0,0.173453326256314,0,0,0,0,0,0,0,0,0,0,0.0224442459093132,0,0,0,0,0,0,-0.0671410928487923,0,0,0,0,0,0.520038076759068,0,0,0,0,0.156231573179306,0,0.0228465131030427,0,0,0,0,0.0578187700247789,0,0,0,0,0,0,0,0.00340034665857314,0,0,0,0,0,0,0
X600276.SH,0,0.28888703587618,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0210610392407429,0,0.0217116890428692,0,0,0.0895676367053782,0,0,0,0,0,0,0,-0.237558908046818,0.102227829177153,0.200897352367137,0,0,0,0,0.175712130641066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527303073668092,0,0,0,0,-0.0367182145772232,0,0,0,0,0,0
X000568.SZ,0,0.628853804323284,0,0.0347401314606694,1.0842021724855e-19,0,0,0.00175489973736097,0,0,0,0,0,-0.0383570940534318,0,0,0.0160827349217786,0,0,0,0,0,0,0.0930513428088755,0,-0.055143125738435,0,0,0,0,0,0.0554658504328745,0,0,0,0,0,-0.00878406242997573,0.041441956729508,0,0,-0.0472351721402584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0.029305074423084,0.00768465260890029,0,0,0,0,0,0,0,0,0,0.126384295332867,0,0,0,0,0,0,0.111197683205807,0,0,0,0,-0.0882612752138379,0,0,0,0,-0.221886369463659,0,0.0322490609594144,0,0,0,0,0,0,0,0,0.0436726968006814,0.0953231805946012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.166255234704856,0,0,0,0,0,0,0,0,0,0,-0.0728632989931021,0,0,0,0,0,0,0,0,0.262255417032461,-0.0976438045471026,0,0,0,0,0,0,0.0538666197595389,0,0,0,0,0,0,0.0382995097654014,0,0,0,0,-0.0223019167072757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.0590445421073835,0.145361532667198,0.204474541179429,0,0,0,0,0,0,0.053363807757499,0,0,0,0.0332538292696731,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0109356389749167,0,-0.072075903368526,0,0.128026263028095,0,0,0,0.0735414439645554,0,0,0,0,0,0,0,0,0,0,0,0,-0.018250471018545,0,0,0,0,-0.137034281951938,0,0
X000651.SZ,0,0,0,0.0104624049409711,0,0,0,0,0,0,0,0.0880772650150221,0,0,0,0,0,0,0,0,0,0,0,-0.0371115388656277,0,0,0.0230929192325685,0,0,0,-8.67361737988404e-19,0,0,0,0.0842672001409821,0,0,0,0,0,0,0,0,0,0.0466104873612966,0,0,0,0,0,0,0.0239852108220579,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351768998500866,0,0,0.0346663456297369,0,0,0.00872662412981213,0.166406602362782,0,0,0,-0.0326150545154936,0.0461098869231003,0.0911789534682142,0,0,0.0807179994175615,0,0.0927725640289122,0.0654982729977852,0,0,0,0,0,0,0.0289951529686984,0,-0.112726562753374,0,0,0,0,0,0,0,-0.0191863199208435,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.123653823533789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418943250429024,0,0,0.028039519559182,0,0,0,0,0,0.333675760587587,0,0,0.0525580915334068,0,0,0,0.0281198587678803,0,0.00967178555412649,0,0,0,0,0,0,0,0.0143575848450626,0,0,0,0,0.160852852242891,0,0
