,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000559.SZ,X000338.SZ,X002241.SZ,X002129.SZ,X600089.SH,X600066.SH,X600741.SH,X002236.SZ,X600839.SH,X002475.SZ,X002506.SZ,X600177.SH,X000547.SZ,X000568.SZ,X000800.SZ,X600582.SH,X002465.SZ,X300124.SZ,X600435.SH,X000016.SZ,X300003.SZ,X002294.SZ,X000977.SZ,X600252.SH,X002456.SZ,X002007.SZ,X000581.SZ,X002008.SZ,X002179.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.223393607266374,0,0,0,0,0,0,0.0795811309987833,0.0309840761193874,0,0,0,0,0,0,0,0,0,0,0.122291650974503,-4.33680868994202e-19,0.0198656352352485,0,0,0,0,0.063201966960255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130471539715702,0.00475220258597081,0,0,0,0,0,0
X600104.SH,0.130701257641778,0,0,0,0,0,0.324477043954984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735978549612919,0,0,0,0.0390107434309914,0,0,0.045973388175838,0,0,-0.0454307841088188,0,0,0,0,0,0,0,0.0211297438064454,0,0,0,-0.0132839548455833,0,0.0980315555531624,0,0,0,0,0.0334449225641105,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0919817950173285,0.17315097147936,0,0.0948151652991706,0,0,0.078976425796513,0.106566749656722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117163717407041,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0645124750333089,0,0.0334911705811818,0.0774846548902288,0,0,0.112419171999092,0.00415111119515962,0,0,0,0,0,0,0,0,0,0,0,0,0.408636886971614,0,0,0.00755316940220954,0.0194077616923942,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141311823870393,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.177451882618088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186286715202009,0,0,0.0444401519108938,0,0.121898658845874,0,0,0,0,0,0.0200652290876801,0,-0.0761123242604109,0,0,-0.0571537860861532,0,0.0667963046885002,0,-0.0395080058254424,3.46944695195361e-18,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.236327783464947,0,0,0,0,0,0,0,0,0,0,0.0241884866568199,0,0.154893685409663,0,0,0,0.0345786492675551,0,0,0,0,0,0,0,0.434705546051407,0,-0.0328254813631164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109874570372437,-0.014763977686673,0,0,0,0,0,0
X002304.SZ,0,0.278022561150554,0,0,0,0.408867637788365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124659258447248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632840445168051,0,0,0,0.0533266660696636,0,0,0,0,0,0,1.73472347597681e-18,0,-0.0792588632255097,0.0112802604734026,0.022283629665478,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.360927066520163,0,0.175026997102313,0,0,0,0.0546105147954362,0,0,0,0,0.0413406260115472,0,0,0,0.145954096563933,0.0075163620548667,0,0,0,0,0,0,0.00904553899061399,0,0,0,0,0,0,0.022875010598412,0,0,0,0,0,0,0,0,0,0,0.00985745515904797,0,0,0,0,0,0
X000063.SZ,0,0.0514604042017878,0,0,0,0,0,0,0,0,0,0.254049523706706,0,0,0,0,0,0,0,0,0.0884071182412375,0,0.224367745228947,0,0.0943753275117755,0,0,0,0,0,0,0,0,0,0,0.0088026768330362,0,0,-6.93889390390723e-18,0,0.00290754225038857,0,0,0,0,0,0,0,0,0,-0.0476364540588792,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0908740749472171,0,0,0,0.0469337149769574,0,0,0.0805790922444679,0,0,0.054039098880593,0,0.0239340070475585,0,0,0,0,0,0,0.0394424260492962,0.0977350442674435,0.12976204754414,0,0,0,0,0,0,0.150749662436896,0.0765105305747041,0,0,0,0.00975517724648259,0,0,0,0,0,0,0,0,0,0,0.013722905343003,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.114411720252411,0,0,0,0.0589841061682068,0,0,0,0.0251149090595863,-1.73472347597681e-18,0.142723517506285,0,0,0,0,0,0,0,0,0,0,0,0.0849584437556199,0.109034776315209,0,-0.0302564774479507,0.189169946896414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233215713798047,0,0,0,0,0,0,0
