,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000725.SZ,X000568.SZ,X600031.SH,X000661.SZ,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300014.SZ,X300142.SZ,X300124.SZ,X002371.SZ,X000100.SZ,X600741.SH,X002049.SZ,X002236.SZ,X002129.SZ,X601877.SH,X300003.SZ,X000157.SZ,X600584.SH,X000800.SZ,X300136.SZ,X002414.SZ,X600183.SH,X000625.SZ,X000066.SZ,X002456.SZ,X002179.SZ,X000977.SZ,X600118.SH,X601799.SH,X002185.SZ,X000050.SZ,X002008.SZ,X002508.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0539884413059993,0,0.0244635359736974,0,0,0,0,0,0.115763867760298,0,0,0,0,0,0,0,0,0,0.17914172201508,0,0,0,0,0,0,0,0.0481056611155257,0,0.0200168407631867,0,0,0,0.0641666641667125,0,0,0,0,0,0,0.0289644356759297,0,0,0,0,0,0,0,0,0,0,0.00510312081006115,-0.00953161972476004,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.3133648473942,0,0.126561759271117,0,0,0,0.277503171314563,0,0,0.00960490590764559,0,0,0.0713209532375784,0,0,0,-0.0294763104090089,0,0,0,0,0,0,0,0,0,0,0,0.0517655943394142,0,0,0,0,0.0837165812126442,0,0,0,0,0,0,0,0,0,0,0.00275075963467442,0.00694183182836922,0,0,0,0,0,0
X600276.SH,0.159764645115764,0,0,0,0,0,0,0.0635251995467888,0,0,0,0.164042220188806,0,0,0,0,0,0,0.014626423460324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823912266635299,0,0,0,0,0,0,0,0,0.00670895872146779,0,0.0320888533395352,0,0,0,0,0,0,0.00159185174905859,5.42101086242752e-20,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356663424462184,0,0,0.0633150163892217,-8.67361737988404e-19,0,0,0,0,0.0341062910843297,0,0.0010712977820108,0,0.0383756817320522,0,0,0,0.107805777695402,0,0.00938920360825802,0,0,0,0,0.130731290437491,0,0,0,0,0,0,0,0,0,0,0,-0.0182437833773486,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.125444175444447,0,0,0.0574374816611662,0,0,0,0,0,0.0176509632150376,0,0,0,0,0,0.0307368776184526,0.105347182626448,0,0,0,0,0,0,0,0,0.00121140701444718,0,0.119022983451211,0,0,0,0,0,0,0,0,0,0.0664915765238679,0,0.0283626145705289,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.128869407803336,0,0,0,0,0.0314530328909458,0.0971038198496765,0,0,0,0,0.0217119913287771,0,0.147502664282524,0,0,0,0,0,0,0,0,0,0.0125006167531911,0,0,0,0,0,0,0,0,0,0,0,0,0.113261681916244,0,0,0,0,0,0,0.0331242660251495,0,-0.0273135160887395,0,0,-0.0110757011134261,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289868554997653,0,0,0,0,0,0,0.00217922701774212,0,0,0,0,0.0140875315051883,0.00553010189622864,0,0,0.152513925619869,0.016311964184214,0,0.0762370662361152,0,0,0,0,0.0512501086404542,0.127334846239139,0.0192088443111145,0,0,-0.0475372262332275,-0.0517497432918105,0.0104208511772715,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.344052363207153,0,0,0,0.269178683199885,0,0.0240824868882859,0,0,0,0.132137130482799,0,0,0,0,0.00147640501035639,0,0,0,0,0.0561537614390872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538328662991097,0.0360824583583947,0,0,0.0264286233507805,0.00117156904164803,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0050100885585455,0,0.0291148935756627,0,0,0,0,0,0,0,0,0.0370267697142583,0,0,0,0,0,0,0.33794603000216,0,0,0,0.0500579952109924,0,-0.0624824667066534,0,0,0,0,0,0.158901836321427,0,0.0541141448934772,0,0,0,0,0,0,0,0,0,0,0,0.031282156757752,0.0266737076287396,0,0,0,0,0,0
X000568.SZ,0,0.645376157208469,0,0,0,0,0,0.104527919655521,0.00829352905221439,0,0,0,0,0.0345155806221241,0,0,0.00749822374906074,0,0,0,0,0,0.0039341698906832,0,0.00198281790269206,0,0,0,0,0,0,0,0,0.0586969300903296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399091612344774,0.0536702345714948,0.0147888531436423,0.00259448480574454,0,0,0,0,0,0
