,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600271.SH,X600690.SH,X002292.SZ,X600703.SH,X600741.SH,X000100.SZ,X600031.SH,X600066.SH,X002241.SZ,X002506.SZ,X600118.SH,X002236.SZ,X000559.SZ,X600177.SH,X002475.SZ,X000157.SZ,X600372.SH,X000338.SZ,X000568.SZ,X002074.SZ,X002085.SZ,X300003.SZ,X300124.SZ,X002294.SZ,X600089.SH,X600867.SH,X002426.SZ,X002456.SZ,X002465.SZ,X600498.SH,X601877.SH,X600699.SH,X002180.SZ,X002007.SZ,X000977.SZ,X002512.SZ,X000869.SZ,X002049.SZ,X300001.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.117079722045026,0,0.221506283762083,0.35712160303679,0,0,0,0,0,0,-0.0387839826806105,0,0,0.0508579107438546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119211951652853,0,-0.149767130532615,0,0,0,0.100466749636071,0,0,0,0,-0.00657960546693772,0,0,0,-0.00913759932747352,0.00238170499634511,0,0,0,0,0,0
X600104.SH,0.0668049474977158,0,0.135063212348583,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.330217294800934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158115834298039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.0673475157055889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230300784118386,0,0,0,0.0482788053630364,0,0,0.00414717829126053,0,0,0,0,0,0,0.165712930835932,0,0,0,0,0,0,0,0.0557039816976256,0,0,0,0,0,0,0,0,0.107220851882015,0,0,0.0611942231687628,0,0.0493807885970733,0,0,0,0,0,0,0
X000651.SZ,0.00758533595431726,0,0,0,0,0,0,0,0.0298652855898769,0.0862785867999324,0,0,0,0,0,0.039921971270667,0,0,0,0.0184788598821445,0,0.0334360444627847,0,0,0,0,0,0,0,0,-0.0279477084054558,0,0,0,0,0,0,0,-0.0496187185749563,0,0.0182801728906106,0,0,0,0,0,0,0,0,0,0,0.0536221885305872,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.105626727279291,0,0,0,0,0,0,0.126396989759107,0,0,0,0,0,-3.46944695195361e-18,0.0332638898123643,0,0.0280769742762579,0.0307953411760556,0,0,0,0,0.0810875966124127,0,0,0,0,0,0,0,0,0,0.0266526097319444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0.335227768103776,0,0.0465166847422899,0,0.403453198516389,0,0,0,0,0,0,0,0.0949302958144202,0.147677390081105,0,0,0,0,0,0,-3.46944695195361e-18,0.000242031312056595,0,0,0,0,0,0,0.089601151642717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123571554160278,-0.0422881384845248,0,0,0,0.00324522653319839,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0112281469514595,0,0.171230328425424,0,0,0,0,-0.0420057422465397,0,0,0,0.320979118835219,0,0,0,0,0,0.039196697614104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243654815105956,0,-0.0269441911124762,0,0,0,0,0,0,0,-0.0081561447407668,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0561474705669039,0,0,0,0.0367314407822295,0,0,0.0910283604723385,0,0,0.226122559401018,0.0589077832049624,0,0,0,0,0,0,0,0,0,0,0.0687919607387984,0,0,0.082260272468303,0,0,0.0147339199789024,0,0,0,0,0,0,0,0,0.0643169284364371,0,0.0286093260138256,0,0,0,0,0,0,0
X000625.SZ,0.086042113125382,0,0,0,0,0,0,0,0,0.084105310734927,0,0,0,0,0.0337204801573136,0,0.0182256265579499,0,0,0.0289127436221796,0,0,0,0.0478480689897283,0.0289873910817291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233588333830169,0,0,0,0,0.0903757859024553,0,0,0,0,0.061714141256107,0.118566068067021,0,0,0,0,0,0,0,0,0
X000063.SZ,0.0533561060760755,0,0,0,0,0,0,0,0.0598695803531345,0,0,0,0,0,0,0,0.00780712574641297,0,0,0.00960473592577331,0,0,0.219130449012557,0.267507144468907,0,0,0,0,0,0,0,0,0,0,0.197294161785282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131774964084814,-1.38777878078145e-17,0,-0.0390431526638434,0,0,0,0,0,0,0
