,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600703.SH,X600741.SH,X002241.SZ,X600271.SH,X600177.SH,X600066.SH,X002129.SZ,X600582.SH,X600118.SH,X002236.SZ,X601877.SH,X000550.SZ,X000568.SZ,X000581.SZ,X000800.SZ,X000623.SZ,X002475.SZ,X000559.SZ,X600839.SH,X002294.SZ,X300146.SZ,X600060.SH,X000050.SZ,X000869.SZ,X000977.SZ,X000400.SZ,X002465.SZ,X300124.SZ,X300003.SZ,X600166.SH,X002292.SZ,X600498.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.121195512769701,0,0,0,0,0.158342748837441,0,0.125149277434214,0,0,0,0,0,0,0,0.0932459434850133,0,0,0.103068668882572,0.00846159949885116,0.128366532583694,0,0,0,0.0173766159272951,0,0,0,0,0,0.00154053290485712,0,0,-0.00637183176578953,0,0,0,0,0,-0.0183530240017363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.212241936115337,0.185825181970495,0,-6.93889390390723e-18,0,0,0,0.0818365019441415,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363633366773683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0079257741317523,0,0,0,0,0.014659859549836,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213566526538478,0.0295995314350993,0,0,0.0147902481940861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228680730171088,0,0,0.107355691282492,0,0,0,0,0,0,0,0.0810920760569677,0,0.226242790451553,0,0,0.3226287071236,0,0,-0.0374595647651741,0,0,0,0,0,0,0
X000651.SZ,0,0.307611738379609,0,0,0,0,0,0.0550808298135524,0,0,0.138258995026176,0,0,0.193315664212239,0,0,0,0,0,0,0.00644248206517431,0,0,0,0,0,0,0,0,0,0,0,0.0218115286574705,0,-0.00704373165495767,0,0,0,0,0,0,0.0613012896663926,0,0,0,0,0,0.00984391316883163,0,0,0,0.0060470874479385,-0.0286523802283277,0,0,0,0,0,0
X002415.SZ,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0441616694465127,0,0,0,0.0514719458493012,0,0,0,0,0,0,0,0,-0.0289348276965639,0,0,0,0,0.100361806607255,0,0.271884396361174,0,0,0.123168235584245,0.197460154928233,0,0,0,0,0,0,0,0,0,0.142887703755711,0,0.0606694550002983,0,0,0,0,0,0,0.00919715061172241,-4.33680868994202e-19,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.440904925758433,0.0780732461257343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366206912693401,0,0,0,0,-3.46944695195361e-18,0.155443824015774,0.0753285884663306,0,0,-0.143111268529281,0.0120646875073905,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0289353289998676,-0.0383516521829325,0,0,0,0,0,0
X000858.SZ,0,0,0.0586542120184582,0,0,0.104681366413526,0,0,0,0.0763589293074718,0,0,0,0.0258025919873843,0,0,0,0,0,0,0,0.0386945813775304,0.0889956275099669,0,0,0,0,0,0,0.161423247999195,0,0.0922649246954821,0.150085732235261,0,0,0.0658599748347931,0,0,0,0,0,-0.0078951825969029,0,0,0.0215333338626594,0,0,0,0,0,0,0.00119570494746639,0,0,0,0,0,0,0
X000063.SZ,0,0.0425537780308833,0,0,0,0.0169596375582276,0,0,0,0.154451335798708,0.0378528187094993,0,0.0986437534841544,0.130847044240681,0,0,0,0,0,0,0,0.0209966128171285,0,0,0,0,0,0,0,0,0,0,0.126081525078143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213584886715435,0,0,-0.00401535131969514,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.181269092714794,0,0,0,0,0.00121739567859293,0,0,0,0,0,0,0,0,0.195684102234152,0,0,0,0.075812061190506,0,0,0,0,0,0,0,-0.0063611653348777,0,0.0313260459718931,0,0,0,0,-0.0173883232037919,0,0,0,0,0,0,0.0740549562887582,0,0,0,0,0,0,8.67361737988404e-19,-0.0207151822251527,0,0,0,0,0,0
X600031.SH,0.160211624068987,0,0,0,0,0,0,0.0125949816273515,0,0,0,-0.0390143271974368,0,0,0.654269623794606,0,0.0781198389417099,0,0,0,0,0.010545543023637,0,0,0,0,0,0,0,0,0,0,0.0582824470738334,0,0,0,0,0,0,0,0,-0.0424674539762717,0,0,0,0,0,0,0,0,0,0,0.0147637281940153,0,0.0719740843901946,0,0,0,0
