,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X002475.SZ,X002236.SZ,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002456.SZ,X600118.SH,X600271.SH,X300124.SZ,X000157.SZ,X600089.SH,X002085.SZ,X600177.SH,X600522.SH,X600372.SH,X002007.SZ,X000066.SZ,X002508.SZ,X300136.SZ,X000981.SZ,X600699.SH,X300003.SZ,X600867.SH,X002294.SZ,X600487.SH,X000559.SZ,X002180.SZ,X002292.SZ,X002008.SZ,X002074.SZ,X600498.SH,X600809.SH,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0.0528289646079039,-0.0530708556630393,0,-0.0291884629649859,0.0260857029103599,0,0,0,0,0,0,0.0515497174205262,0,0.0409775019076112,0,0,0,0,0,0,0,0,0.0150887460196845,0,-0.01068641399729,0,0.0486832872575692,0,0,0,0,0,0.106950837638273,0,0,0,0,0,0,0.14118076358718,0.0651721377640064,0.0123969617504184,-0.0218225883133436,0.0083832760832328,0,0,0,0,0,0
X600104.SH,0,0,-0.092543273210771,0,0,0,0,-0.0331407395126882,0,0,0,0,0,0,0.778673843901408,0,0,-0.106697044755128,0,0,0,0,0,0,0,0,0,0,0,0,-0.0450139191879591,0,0,-0.0824808484699508,0.160831905605105,0,0,-0.108600821268743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016160597684035,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0768827758660705,0,0,0,-0.00807285248996421,0,0,0,0,0,0,0,0.190958675022764,0,0.0357022058440059,0.0392868221681173,0,-0.0343263003127994,0,0,0,0,0,0,0.0736812359277566,0,0,0,0,-0.144283522916475,0,0.0262969224658503,0.0359790450410396,0,0,0,0,0,0,0,0,0,0,0,-0.249174202554109,0,0,-0.0162273333520415,0,0.00372025983018001,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0160353295211896,0,0,0,0,0,0.0928430605682527,0,0,0,0,0,0,0,0,0,0,0.04919091058509,0,0.276213957933924,0,0,0,0,0,-0.0396799242100708,8.67361737988404e-19,0,0,0,0,0,-0.0582607216846565,0,0,0,0,0,0,0,0,0.0916167889911207,0,-0.134334915953502,-0.00468664830687848,0.00894075384315149,0,0,0,0,0,0
X000858.SZ,0,0,0,0.221974494338227,0,0,0,0,0.143849365345639,0,0,0,0,0.336137131597519,0,0,0,0,0,0.0501430638188172,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259832483312115,0,0.0413211494994261,0,0,0,0,0,0.0474134077831227,0,0,0,0,-0.0102023999379439,0,0,0.00745244419008008,0,0,0.00262478978448316,0,0,0,0,0,0
X002304.SZ,0,0.138449832146407,0,0.155711014616807,0,0,0,0,0,0.0809465205806192,0,0,0,0.122873679262493,0.148723202580817,0,0,0,0,0,0.0721048911162158,0,0,0,0,0,0,0,0,0,0,0,0,0.0279858130433734,0,0,0,0,0,0,0,0,0,0,0,0,-0.00391265448436329,0,0.106358775222436,0,-0.0686769533862157,-0.000695886149330396,-0.00149009023179127,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.186269223062759,0,0,0,0,0,-0.0346525777532677,0,-0.10921667741948,0,0,0.0305874707162268,0,0,0,0,0,0,0,0,0,0,0.0648587514603786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627088911572045,0,-0.0900106142233447,0.00774504014459092,0.00243150805380346,0,0,0,0,0,0
X000725.SZ,0,0,0,0.382762978918886,0,0,0,0,0,0,0,0,0,0.0822923877884579,0,0,-0.162690719142026,0,0,0,0.10215477892301,0,0,0,0,0,0,0,0,0,0,0,0.0649902672235461,0,0,0,0,0,0,0,0,0,0,0,0.180317107125736,0,0,0,0,0,0.373086599810593,-0.0941908458742348,0.0263225890764356,0,0,0,0,0,0
X000625.SZ,0,0.377319647984168,0,0,0,0,0,0.0385606905426019,0,0,0,0,0,0,0,0.110996324647349,0,0.20490899208604,0,0.0493133811204978,0,0,0,0,0,0,0,0,0,0,0,0.0998242882584323,0,0,0,0,0,0,0.0211240361350301,0,0,0,0,-0.139854523711307,0.161550558147351,0,0,0,0,0,0,-4.33680868994202e-19,-0.00317916263237891,0,0,0,0,0,0
X000063.SZ,0,0,0,0.170049286859405,0,0,0,0,-0.257325092111982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245553880900702,0,0,0,0,0,0,0,0.135970138570805,0.0233988670266217,0,0,0,0,0,0,0,0.0804201041299377,0,0,0,0,0,0,0,0,0,0.00389717781512804,0.00717512415419877,0,0,0,0,0,0
